...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,5747.33,7471.32,11302.51,15050.5,29272.17,35331.279999999999,43578.25,55352.99,63827.75,61402.37,54000.5
　　存放同业和其它金融机构款项,NA,NA,NA,2753.45,1650.11,629.88,6610.35,4210.37,14846.16,13450.28,54323.24,23899.01,27191.59,33195.25
　　拆出资金,NA,NA,NA,0.1,300,192.53,480,200,6995.5,10254.870000000001,5119.97,2604.4899999999998,15563.14,19602.41
　　交易性金融资产,1479.18,3955.76,1207.55,2058.38,1437.98,3226.72,3318.63,6170.33,6551.19,3482.39,2062.87,5066.29,11164.32,5967.3
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,2.34,18.45,153.01,116.32,309.82,72.52,325.89
　　买入返售金融资产,NA,NA,NA,1013.55,97,40,1453.57,433.46,12855.21,6947.7,10040.08,11765.09,3852.7,19533.91
　　应收利息,NA,NA,NA,144.97,161.78,211.09,351.38,489.7,652.77,977.3,1515.43,2141.09,2424.9699999999998,2695.53
　　发放贷款及垫款,NA,NA,NA,26539.37,33613.279999999999,40023.15,57227.519999999997,84505.24,104831.15,124159.96,148341.43,169317.51,192032.58,209574.59
NA,NA,NA,NA,26684.34,33775.06,40234.239999999998,57578.899999999994,84994.94,105483.92,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,286.33999999999997,708.01,882.17,577.25,1669.19,3745.96,12403.37,15499.73,37826.5,117799.41
　　持有至到期投资,NA,NA,NA,6164.54,10161.48,11301.84,12639.85,21908.15,24785.66,23623.26,20340.84,26108.58,31092.67,43402.94
　　长期股权投资,NA,NA,NA,8.4,8.4,8.4,13.4,13.4,13.4,309.86,403.8,480.53,613.05999999999995,900.13
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,953.54,6206.6,10570.59,12107,15740.6,31874.37,34830.79
　　固定资产,166.83,174.81,180.07,307.97000000000003,423.12,516.88,758.96,838.82,883.24,929.72,1181.22,1606.8,1568.03,1549.99
　　无形资产,99.2,116.41,12.76,127.75,122.67,140.55000000000001,145.69,147.85,193.64,193.34,215.57,240.83,225.91,210.73
　　递延所得税资产,NA,NA,NA,123.35,102.55,68.94,89.17,72.09,105.62,399.23,809.55,1132.02,996.83,1135.18
　　其他资产,NA,NA,NA,1392.54,1112.6099999999999,900.73,595.89,196.58,1490.3,1161.55,650.79,448.42,639.67999999999995,590.01
资产差额(合计平衡项目),30402.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
