...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1623.86,1603.71,1725.1,3016.75,5067.6000000000004,8229.42,10426.24,10904.28,11568.7,10699.62
　　存放同业和其它金融机构款项,338.12,47.05,282.2,192.6,173.16,9018.68,3007.09,1305.3599999999999,3184.21,1642.54
　　拆出资金,NA,NA,14.9,14.9,32.119999999999997,1.87,30.57,46.33,NA,NA
　　交易性金融资产,NA,NA,NA,NA,10.91,9.82,10.82,8.41,14.9,14.11
　　买入返售金融资产,NA,NA,400,3690.4,787.59,6778.02,7307.79,5550.96,1002.51,1664.46
　　应收利息,NA,NA,22.66,88.92,117.69,321.37,556.94000000000005,634.33000000000004,1387.99,2273.27
　　发放贷款及垫款,NA,NA,5935.68,8024.09,10558.23,13126.07,17640.14,21341.07,26707.03,31764.71
NA,NA,NA,5958.34,8113.01,10675.92,13447.44,18197.079999999998,NA,NA,34037.979999999996
　　可供出售金融资产,NA,NA,NA,270.16000000000003,458.72,7582.32,16474.96,21064.74,32420.53,38088.04
　　持有至到期投资,NA,NA,827.39,1237.21,2495.44,2556.1799999999998,2951.62,3327.88,3277.71,2447.4499999999998
　　长期股权投资,NA,NA,2.4500000000000002,22.45,40.25,142.25,0.25,0.25,NA,NA
　　固定资产,NA,NA,214.4,216.8,252.28,266.7,359.95,436.84,449.77,398.44
　　无形资产,0.52,0.42,0.31,0.21,1.33,25.87,55.15,NA,113.48,142.04
　　递延所得税资产,NA,NA,NA,NA,NA,NA,81.180000000000007,NA,142.72999999999999,274.27
　　投资性房地产,NA,NA,NA,NA,NA,24.38,17.28,15.88,14.53,10.75
　　其他资产,NA,NA,673.69,1575.58,3990.87,3650.03,3548.84,NA,5798.72,506.71
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,5423.51,NA,NA
资产总计,6575.33,8737.31,10098.790000000001,18350.07,23986.19,51732.98,62468.82,70059.83,86082.81,89926.41
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,9.82,1331.09,370.05,11761.5,7527.67,6869.13,9134.8799999999992,7224.48
　　向中央银行借款,250,250,NA,NA,NA,300,45.5,70,2091,1855
　　拆入资金,NA,NA,NA,NA,NA,6.3,4.4000000000000004,135.07,180,900
　　卖出回购金融资产款,NA,NA,NA,NA,NA,5129.26,6012.14,5640.2,3088.9,2329.52
　　吸收存款,NA,NA,9402.06,15734.56,21707.79,30421.87,42732.98,50486.85,56457.66,66884.929999999993
NA,NA,NA,9411.8799999999992,17065.649999999998,22077.84,47618.929999999993,56322.69,63201.25,70952.44,79193.929999999993
　　应付职工薪酬,NA,NA,18.829999999999998,17.3,20.58,63.18,82,77.28,116.21,80.400000000000006
　　应交税费,11.39,13.82,21.03,23.73,37.950000000000003,98.87,74.33,149.16,112.48,169.88
　　应付利息,NA,NA,68.790000000000006,66.510000000000005,75.67,134.38,252.49,624.53,914.97,1357.3
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,497.75,498.63
　　递延所得税负债,NA,NA,NA,NA,NA,NA,1.86,NA,12.36,75.8
　　其他负债,NA,NA,42.37,71.56,219.93,387.75,1467.43,NA,5718.19,172.79
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,1216.3599999999999,NA,NA
　　负债合计,6170.64,8287.02,9562.91,17244.740000000002,22431.97,48303.12,58200.81,65268.59,78324.39,81548.740000000005
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,310.02999999999997,337.4,337.4,537.4,627.4,1137.4000000000001,1137.4000000000001,1137.4000000000001,1706.8,1706.8
　　资本公积金,2.12,2.12,2.12,300.22000000000003,470.23,1501.1,1500.83,1333.49,2989.39,2987.4
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,28.47,219.4
　　盈余公积金,96.96,50.81,29.64,41.65,55.57,78.58,119.03,183.3,349.34,415.61
　　未分配利润,-4.42,59.96,120.11,207.78,302.19,573.46,953.61,1043.51,1485.34,1647.89
　　一般风险准备,NA,NA,46.6,18.27,98.82,139.32,326.99,757.15,840.96,978.52
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,0,NA,NA
　　归属于母公司所有者权益合计,404.69,450.29,535.88,1105.33,1554.22,3429.86,4037.87,4454.8500000000004,7400.3,7955.63
　　少数股东权益,NA,NA,NA,NA,NA,NA,230.14,336.39,358.12,422.05
　　所有者权益合计,404.69,450.29,535.88,1105.33,1554.22,3429.86,4268.01,4791.24,7758.42,8377.68
负债及股东权益总计,6575.33,8737.31,10098.790000000001,18350.07,23986.19,51732.98,62468.82,70059.83,86082.81,89926.41
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,保留意见,保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-29,2008-04-29,2009-04-28,2010-04-28,2011-04-30,2012-04-26,2013-04-27,2014-04-28,2015-04-28,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
