...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,855.83,1097.78,1493.12,2701.92,4202.5,7789.82,11627.57,16467.07,17809.66,15379.25
　　存放同业和其它金融机构款项,102.66,141.91,320.58,313.63,2594.75,7155.25,7317.91,23519.06,22115.919999999998,16227.38
　　拆出资金,NA,NA,NA,90,NA,214.57,4.3600000000000003,21.19,365,NA
　　买入返售金融资产,NA,NA,NA,209,2383.65,4124.2700000000004,9102.8700000000008,1200,4158.2,12432.3
　　应收利息,NA,NA,4.32,35.409999999999997,59.92,202.49,279.02999999999997,438.41,1021.71,972.46
　　发放贷款及垫款,NA,NA,5042.01,7616.27,10147.709999999999,14167.22,19152.7,23397.93,30446.55,44122.51
NA,NA,NA,5046.33,7651.68,10207.629999999999,14369.71,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,NA,2885.22,3774.06
　　持有至到期投资,NA,NA,1115.76,2553.2399999999998,914.38,1154.32,1389.99,1139.44,1703.83,2903.14
　　长期股权投资,NA,NA,25,25,28.41,5,5,5,NA,NA
　　应收款项类投资,NA,NA,NA,NA,2815,5491.13,10100.81,29094.32,29841.06,44767.57
　　固定资产,NA,NA,83.33,84.99,315.72000000000003,347.25,405.89,525.33000000000004,789.33,1051.0999999999999
　　无形资产,NA,0.56000000000000005,6.81,8.42,13.59,33.15,38.51,64.58,81.64,83.71
　　商誉,NA,NA,NA,NA,NA,0.43,0.43,0.43,0.43,0.43
　　递延所得税资产,NA,NA,NA,NA,12.44,32.700000000000003,81.349999999999994,152.71,184.48,258.62
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,1.52,1.33,1.07
　　其他资产,NA,NA,1099.1600000000001,1552.41,878.37,1555.7,11338.05,7488.7,2080.31,1662.52
资产差额(特殊报表科目),NA,NA,NA,NA,1196.8499999999999,457.35,218.77,536.16999999999996,NA,NA
资产总计,4288.45,7185.29,9190.09,15190.28,25563.3,42730.66,71063.23,104051.85,113484.67,143636.10999999999
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,3.33,0.08,201.16,69.81,1829.76,5328.21,11147.35,28403.27,23862.03,34406.57
　　向中央银行借款,250,460.18,140.18,140.18,330.18,180.18,417.08,880,608.24,835
　　拆入资金,NA,NA,NA,290,NA,90,NA,90.81,18.63,NA
　　卖出回购金融资产款,NA,75,NA,200,500,3027.06,8306.35,NA,449.9,1000
　　吸收存款,NA,NA,7594.83,12917.25,20988.21,30927.59,46464.07,67976.45,74711.83,87531.03
NA,NA,NA,7936.17,13617.24,23648.149999999998,39553.040000000001,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,5.52,8.4600000000000009,11.29,10.220000000000001,53.76,75.34,83.55,78.260000000000005
　　应交税费,4.96,15.76,1.41,-2.82,1.76,11.62,120.73,139.56,130.46,33.049999999999997
　　应付利息,NA,NA,20.82,26.86,38.56,205.39,360.99,871.59,1258.0899999999999,1105.72
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,2991.6,9564.34
　　其他负债,NA,NA,662.89,461.09,36.159999999999997,125.5,403.47,545.59,2653.62,670.08
　　负债合计,4039.24,6744.09,8626.82,14110.83,23735.91,39905.78,67273.789999999994,98982.6,106767.94,135224.06
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,223.08,400,400,600,827.84,1062.06,1249.95,1393.71,2208.09,2521.1799999999998
　　资本公积金,2.0499999999999998,2.0499999999999998,47.75,247.75,565.80999999999995,917.14,1026.25,1350.29,1552.58,2327.7800000000002
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,57.16,89.18
　　盈余公积金,NA,14.63,14.63,23.12,70.400000000000006,115.65,181.93,406.14,505.36,582.54999999999995
　　未分配利润,12.64,24.52,57.93,125.62,236.18,167.38,453.6,566.84,453.71,609.36
　　一般风险准备,NA,NA,42.96,82.96,112.96,345.65,571.11,1028.8,1555.78,1870.07
　　归属于母公司所有者权益合计,249.2,441.2,563.27,1079.45,1813.19,2607.88,3482.84,4745.78,6332.69,8000.12
　　少数股东权益,NA,NA,NA,NA,14.2,217,306.60000000000002,323.45999999999998,384.04,411.94
　　所有者权益合计,249.2,441.2,563.27,1079.45,1827.39,2824.88,3789.44,5069.25,6716.73,8412.06
负债及股东权益总计,4288.45,7185.29,9190.09,15190.28,25563.3,42730.66,71063.23,104051.85,113484.67,143636.10999999999
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),带强调事项段的无保留意见,带强调事项段的无保留意见,带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-29,2008-04-29,2009-04-30,2010-04-30,2014-03-14,2012-04-26,2013-04-26,2014-04-30,2015-04-29,2016-05-31
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
