...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,56778.78,107734.38,110280.84,184778,226054,266835,332805,420418,433802,471632,432831
　　存放同业和其它金融机构款项,NA,NA,NA,10639.25,9034.35,8697.1,14748,61848,125462,232336,236161,88885,75462,101428
　　贵金属,NA,NA,NA,NA,NA,416.89,110,265,279,527,3723,2913,25639,18425
　　拆出资金,NA,NA,NA,8192.84,11826.59,17438.07,17095,20716,36453,37745,80082,108026,176416,229217
　　交易性金融资产,4865.63,793.1,10335.23,NA,NA,2572.31,4405,4747,6024,20423,26318,22262,27213,26959
　　衍生金融资产,NA,NA,NA,41.69,211.75,1285.47,1216,465,476,587,1234,1986,3231,5175
　　买入返售金融资产,NA,NA,NA,20009.64,20321.349999999999,62797,35313,52299,112932,141022,732662,570424,675878,570657
　　应收利息,708.61,1233.4100000000001,1382.8,1664.29,2104.4899999999998,3750.49,3402,4234,5169,7210,9638,12339,16593,19164
　　发放贷款及垫款,NA,NA,NA,373232.23,441030.68,547295.67000000004,646475,867738,1037723,1178285,1351512,1539447,1774159,1997625
NA,NA,NA,NA,374896.51999999996,443135.17,551046.16,649877,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,41188.67,50162.43,60715.35,53472,48910,35067,64732,117150,111387,159724,157000
　　持有至到期投资,NA,NA,NA,35288.67,40302.300000000003,45816.05,38716,57142,128610,117886,83653,133124,176834,278364
　　长期股权投资,50,50,50,NA,NA,NA,125,125,125,125,125,145,NA,13
　　应收款项类投资,NA,NA,NA,3671.84,10228.09,47449.43,37066,45567,11117,8319,15040,37818,234393,451239
　　固定资产,1330.68,1596.63,2698.03,4898.58,5344.02,5958.47,6496,7440,8119,8823,12161,21478,33375,37726
　　无形资产,6.35,34.76,69.55,117.96,151.25,159.36000000000001,198,209,1519,4770,4961,5392,5273,5293
　　递延所得税资产,NA,228.88,383.15,407.63,745.73,1021.11,1079,3181,4455,6982,8817,10683,11764,15863
　　其他资产,NA,NA,NA,1373.21,1251.8900000000001,4142.8,4403,8578,14084,21592,33537,43556,58726,81130
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,5253,16874,29288,44895,74809,82543,88824,92579
资产总计,246280.85,361064.41,445398.68,557505.28000000003,700449.32,919796.41,1054350,1426392,1823737,2229064,3212001,3226210,4015136,4520688
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,NA,33893.17,55886.7,79296.72,120244,138470,190296,262891,735851,544473,848671,920380
