...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,6195.09,5919.42,7404.53,14114.32,18095.580000000002,21042.48,24573.42,23908.03,22882.720000000001
　　存放同业和其它金融机构款项,387.76,1813.33,2088.36,12646.45,22814.400000000001,15031.4,14320.05,6916.89,1133.33
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,100,23.92,97.18,2797.65,862.71,50.74,645.16,1050,NA
　　交易性金融资产,307.66000000000003,2559.67,1995.05,2387.14,2357.98,1370.65,2755.84,7471.26,5036.5200000000004
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,1051.49,309.89999999999998,4611.96,9764.34,12132.78,21476.61,15701.27,1400,10150.450000000001
　　应收利息,141.76,154.63,152.21,320.73,495.22,534.95000000000005,573.91999999999996,711.84,684.63
　　发放贷款及垫款,18936.8,20732.13,29815.25,36966.019999999997,46811.43,57757.21,69366.03,81211.839999999997,82982.7
NA,19078.559999999998,20886.760000000002,29967.46,37286.75,47306.65,58292.159999999996,69939.95,81923.679999999993,NA
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,2820.5,4364.5600000000004,8522.77,8867.9,7745.06,6681.22,8901.18,15108.77,13720.06
　　持有至到期投资,3889.76,4602.55,3611.9,9387.27,6581.2,7243.63,9499.6200000000008,9584.31,21543.56
　　长期股权投资,15.61,15.61,15.61,15.58,15.58,15.58,15.58,NA,NA
　　应收款项类投资,1023.55,1110.9100000000001,2640.87,12580.94,13960.67,25239.23,27676.15,19121.990000000002,21953.45
　　固定资产,450.67,436.86,635.88,905.94,1040.6600000000001,1256.49,1282.9000000000001,1628.26,1701.41
　　无形资产,2.6,2.65,15.06,25.99,82.03,98.45,94.43,84.8,75.08
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,174.69,173.22,167.33,102.58,50.64,107.17,295.08999999999997,543.51,878.37
　　投资性房地产,386.67,377.43,309.48,116.42,66.760000000000005,NA,NA,NA,NA
　　其他资产,855.92,443.25,495.43,767.19,4829.99,4476.43,2521.1,348.14,399.8
