...1,2006-12-31,2007-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2318.75,2854.76,13223.42,17854.46,21200.86,23787.39,29464.959999999999,26511.64
　　存放同业和其它金融机构款项,1601.98,2100.61,14121.87,11069.6,19928.05,16130.35,17112.3,10645.07
　　贵金属,NA,NA,NA,NA,NA,1.1100000000000001,5.61,6.53
　　拆出资金,NA,NA,NA,5088.55,NA,NA,523.34,4120.45
　　交易性金融资产,NA,NA,NA,389.71,5710.17,3413.4,4976.6000000000004,4682.0200000000004
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,25859.77,18649.59,22127.4,14410.57,11870.93,13416.39
　　应收利息,NA,NA,169.35,428.47,355.63,457.87,467.92,1176.6300000000001
　　发放贷款及垫款,NA,NA,48691.1,58228.77,67272.38,77244.41,88277.23,98702.95
NA,NA,NA,NA,NA,NA,NA,NA,99879.58
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,971.77,2027.23,5646.45,8886.02,9950.36
　　持有至到期投资,NA,NA,13903.1,18721.919999999998,19540.669999999998,21652.36,23012.99,23908.21
　　长期股权投资,NA,NA,54,3,3,104.55,113,297.08
　　应收款项类投资,NA,NA,1130,30,935,765.51,7844.68,33839.54
　　固定资产,NA,NA,797.08,1014.72,1252.92,1473.8,1392.79,1497.47
　　无形资产,15.66,15.42,25.46,37.57,63.57,63.86,128.08000000000001,175.72
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,84.26,129.62,34.85,101.16,274.01,461.08
　　投资性房地产,NA,NA,9.3699999999999992,3.91,1.39,1.02,0.69,0.56999999999999995
　　其他资产,NA,NA,NA,NA,25,6.6,623.33000000000004,550.58000000000004
资产差额(特殊报表科目),NA,NA,98.72,145.54,108.87,60.95,NA,4386.45
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
资产总计,23314.46,25214.12,118167.5,132767.20000000001,160587,165321.37,194974.49,234328.73
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,2.61,NA,15206.98,18130.86,24560.67,15043.85,16561.48,20592.43
　　向中央银行借款,NA,NA,NA,NA,50,100,1120,400
　　拆入资金,NA,NA,NA,NA,500,614.72,1474.38,7596.08
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,20215.849999999999,19798.060000000001,26102.75,16724.740000000002,17879.150000000001,18844.990000000002
　　吸收存款,NA,NA,74404.42,84168.69,97163.07,118410.53,137203.20000000001,149766.34
NA,NA,NA,NA,NA,NA,NA,NA,197199.84
　　应付职工薪酬,NA,NA,65.22,114.42,134.88999999999999,274.08,242.67,220.69
　　应交税费,76.86,101.67,279.08,218.87,55.01,53.89,210.74,234.83
　　应付利息,NA,NA,767.82,1131.79,1556.23,2390.9699999999998,3270.44,3592.8
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,NA,3736.47,16805.28
　　递延所得税负债,NA,NA,NA,16.71,0.96,0.28999999999999998,14.2,57.44
　　预计负债,3021.26,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,170.74,391.21,226.45,533.48,704.25,1272.75
　　负债差额(特殊报表科目),NA,NA,74.81,88.62,122.85,154.46,NA,421.21
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,22472.12,23699.18,111184.91,124059.23,150472.87,154301.01,182416.98,219804.83
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,300,599.98,4000,4384,4384,4627.55,5293.91,5844.48
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,2.54,2.54,24.36,33.21,10.28,231.74,309.51,316.04000000000002
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,27.63,133.02000000000001
　　盈余公积金,198.35,258.05,514.16999999999996,1213.5899999999999,2037.78,2269.0500000000002,2580.9299999999998,3206.3
　　未分配利润,NA,70,638.28,951.92,1131.26,1107.76,1152.8599999999999,1027.3499999999999
　　一般风险准备,341.44,584.36,1749.35,2011.63,2423.5500000000002,2678.32,3067.87,3458.72
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
