...1,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,9964.41,12960.48,10329.01,9747.16,11538.7,11875.14
　　存放同业和其它金融机构款项,12025.02,10645.84,4411.79,4606.6400000000003,6999.53,12219.78
　　拆出资金,2401.9,2401.9,NA,500,428.15,200
　　衍生金融资产,NA,NA,NA,0.82,NA,NA
　　买入返售金融资产,NA,NA,NA,750,110,170
　　应收利息,40.799999999999997,24.86,130.63999999999999,218.95,288.45999999999998,413.31
　　发放贷款及垫款,26546.45,30562.15,31039.01,35762.43,40903.870000000003,50045.86
NA,26587.25,30587.010000000002,31169.649999999998,35981.379999999997,41192.33,50459.17
　　可供出售金融资产,334.95,332.06,1275.79,1832.2,2165.39,2376.5
　　持有至到期投资,1109.6500000000001,1101.69,1946.47,4478.9399999999996,5727.78,9693.77
　　长期股权投资,2.4,242.4,374.4,372.6,458.91,500.58
　　应收款项类投资,NA,NA,NA,261.16000000000003,NA,12050
　　固定资产,560.80999999999995,907.45,1123.0899999999999,1405.83,1662.71,1637.82
　　无形资产,0.56000000000000005,0.78,1.23,1.62,8.4499999999999993,17.440000000000001
　　递延所得税资产,NA,7,287.66000000000003,343.04,423.8,474.41
　　投资性房地产,71.58,NA,NA,NA,NA,NA
　　其他资产,0.04,NA,146.82,85.65,79.319999999999993,111.22
资产差额(特殊报表科目),1587.13,116.57,NA,NA,NA,NA
资产总计,54645.69,59303.19,51065.91,60367.03,70795.06,101785.83
负债：,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,7996.98,648.71,107.98,491.2,671.73,2890.39
　　向中央银行借款,NA,NA,NA,NA,50,500
　　拆入资金,NA,NA,NA,29.87,129.55000000000001,2797.92
　　衍生金融负债,NA,NA,NA,0.82,NA,NA
　　卖出回购金融资产款,NA,908.46,669.35,2745.25,3216.9,10083.379999999999
　　吸收存款,43053.55,53046.83,44803.51,51106.15,59649.02,73909.14
NA,51050.53,54604,45580.840000000004,54373.29,63717.2,90180.83
　　应付职工薪酬,5.44,114.73,120.12,164.97,203.85,122.78
　　应交税费,101.92,156.19,160.85,101.59,77.84,79.2
　　应付利息,320.10000000000002,437.97,748.82,988.02,1194.1400000000001,1542.5
　　应付债券,NA,NA,NA,NA,NA,2988.47
　　递延所得税负债,NA,NA,0.75,NA,7.02,9.9499999999999993
　　其他负债,611.99,119.33,211.29,172.83,107.07,787.77
　　负债差额(特殊报表科目),286.39,149.86000000000001,NA,NA,NA,NA
　　负债合计,52376.37,55582.06,46822.67,55800.7,65307.13,95711.51
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA
　　股本,1351.95,2000,2200,2200,2376,2376
　　资本公积金,0.45,540.84,543.09,503.22,540.84,540.84
　　其它综合收益,NA,NA,NA,NA,2.56,29.86
　　盈余公积金,72.010000000000005,138.35,275.18,381.3,528.04,695.72
　　未分配利润,374.04,462.75,542.58000000000004,703.79,1116.72,1292.72
　　一般风险准备,470.87,579.19000000000005,682.39,778.03,923.78,1139.18
　　归属于母公司所有者权益合计,2269.33,3721.13,4243.2299999999996,4566.34,5487.94,6074.32
　　所有者权益合计,2269.33,3721.13,4243.2299999999996,4566.34,5487.94,6074.32
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,0,NA
负债及股东权益总计,54645.69,59303.19,51065.91,60367.03,70795.06,101785.83
显示币种,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,保留意见,保留意见,保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2012-03-08,2012-03-08,2013-04-30,2014-04-28,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA
