...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,14908.06,21827.88,30620.23,35581.699999999997,53756.17,74486.7,97863.12,120885.51,126019.42,132054.54999999999,121097.41
　　存放同业和其它金融机构款项,10631.66,12637.55,11517.77,20636.23,14763.37,25125.15,66969.53,69973.490000000005,70429.33,92550.45,54315.85
　　拆出资金,NA,NA,NA,NA,596.12,787.09,4817.8599999999997,13897.97,6505.6,8595.17,5431.65
　　交易性金融资产,NA,NA,NA,2024.39,4752.45,2703.79,5187.96,5197.66,1642.98,5513.04,714.8
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,0.79,69.69,28.29
　　买入返售金融资产,NA,NA,NA,11560.52,27141.24,28336.6,22858.1,25853.45,62840.46,49933.919999999998,76181.789999999994
　　应收利息,NA,NA,157.75,NA,815.66,1184.26,1349.24,2313.9499999999998,3422.39,6017.74,6263.99
　　发放贷款及垫款,NA,NA,NA,131951.64000000001,189260.54,234203.83,283424.68,343559.99,401073.27,475363.55,546389.32999999996
NA,NA,NA,NA,131951.64000000001,190076.2,235388.09,284773.92,345873.94,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,5742.56,5915.89,5437.29,1818.98,11210.21,10781.62,8825.8700000000008,205823.88
　　持有至到期投资,NA,NA,NA,10408,9442.8799999999992,23243.01,17699.78,23050.12,40020.54,74844.509999999995,116133.97
　　长期股权投资,370.54,398.6,NA,66.03,65.67,62.77,70.64,NA,NA,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,3008.83,24184.94,30226.1,172311.67,139266.72
　　固定资产,2534.63,2484.23,NA,2647.29,3008.44,2998.2,3089.16,4160.8900000000003,4585.09,4929.16,5321.69
　　无形资产,36.729999999999997,37.94,42.51,48.04,507.71,738.82,750.41,724.94,723.38,727.15,692.98
　　递延所得税资产,NA,NA,NA,312.93,858.54,843.73,1197.46,1702.08,2001.64,2561.09,2611.5500000000002
　　投资性房地产,NA,NA,NA,130.59,NA,NA,NA,NA,NA,NA,NA
　　其他资产,NA,NA,NA,8542.0499999999993,19769.54,30304.67,4039.96,3613.61,3379.58,4011.5,2329.16
资产差额(特殊报表科目),NA,NA,NA,680.59,NA,NA,NA,NA,NA,NA,7730.27
资产总计,125713,151796.06,182214.06,230332.56,330654.2,430455.9,514145.72,650328.81000000006,763652.17,1038309.05,1290333.3400000001
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1373.24,1814.85,1271.54,2700.99,7297.84,13955.5,25555.97,46180.21,64264.68,205319.54,296364.73
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,20,100,5050,7300
　　拆入资金,NA,NA,NA,377.45,597.66999999999996,4817.45,4407.8999999999996,16597.93,6695.75,2243.3200000000002,6464.59
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.19,0.26
　　卖出回购金融资产款,2105,1317,1650.2,2924.7,16959.689999999999,15914.12,2226.17,1705.99,28532.83,40845.46,58949.96
　　吸收存款,NA,NA,NA,199852.13,278740.46999999997,359585.24,435005.05,532719.53,596553.92000000004,681297.33,776428.47
NA,3478.24,3131.85,2921.74,205855.27000000002,303595.67,394272.31,467195.08999999997,597223.66,NA,NA,NA
　　应付职工薪酬,NA,NA,NA,709.93,971.47,1340.39,2234.7199999999998,2851.1,3204.64,3276.04,3651.51
　　应交税费,240.41,285.58999999999997,590.12,817.24,619.15,880.55,1259.9000000000001,1848.01,1369.74,1090.71,1170.58
　　应付利息,677.91,885.06,1385.23,1889.54,1962.57,2186.86,3474.52,5558.62,7299.05,11478.08,13801.41
　　应付债券,NA,NA,NA,2038.23,4000,4000,7000,7000,5000,28978.79,51649.49
　　递延所得税负债,NA,NA,NA,229.59,220.63,185.11,153.01,NA,NA,NA,NA
　　预计负债,NA,NA,NA,30.87,NA,18.87,10.67,6.6,51.38,2.08,2.06
　　其他负债,NA,NA,NA,6368.25,4247.0200000000004,4879.4399999999996,5006.29,1571.95,2685.03,2632.41,4135.7299999999996
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4880
　　负债合计,121399.8,142792.32000000001,172811.11,217938.92,315616.51,407763.53,486334.19,616059.93999999994,715757.05,982243.96,1224798.77
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,4313.1899999999996,7850,7850,7850,8400,9100,9100,9100,10390,10390,10390
　　资本公积金,0.01,707.47,707.37,951.81,2154.58,4923.79,4937.0600000000004,4937.37,10097.370000000001,10097.370000000001,10097.370000000001
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,20.05,-275.05,42.91,597.28
　　盈余公积金,NA,NA,83.79,390.3,1110.8,1791.49,2793.42,4080.73,5601.89,7288.45,9104.58
　　未分配利润,NA,446.28,761.79,1286.77,1038.58,3731.59,7158.81,8608.9699999999993,13506.45,16338.58,19251.12
　　一般风险准备,NA,NA,NA,1914.76,2333.7199999999998,3145.5,3822.23,7403.97,8442.84,11777.89,15715.46
　　归属于母公司所有者权益合计,4313.21,9003.74,9402.9500000000007,12393.64,15037.69,22692.38,27811.53,34151.1,47763.5,55935.21,65155.81
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,117.77,131.63,129.88,378.76
　　所有者权益合计,4313.21,9003.74,9402.9500000000007,12393.64,15037.69,22692.38,27811.53,34268.870000000003,47895.13,56065.09,65534.559999999998
负债及股东权益总计,125713,151796.06,182214.06,230332.56,330654.2,430455.9,514145.72,650328.81000000006,763652.17,1038309.05,1290333.3400000001
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-08-26,2008-08-26,2008-06-17,2009-04-29,2010-04-30,2011-04-29,2014-06-30,2015-06-12,2015-06-12,2015-06-12,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
