...1,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,3526.97,4555.3500000000004,4626.75,4325.5
　　存放同业和其它金融机构款项,NA,NA,2337.2199999999998,1963.66,2426.15,1968.72
　　拆出资金,NA,NA,NA,NA,NA,129.87
　　买入返售金融资产,NA,NA,NA,492.69,95.28,NA
　　应收利息,NA,NA,45.06,106.02,161.62,126.32
　　发放贷款及垫款,NA,NA,11003.14,12726.49,15232.81,15236.99
NA,NA,NA,11048.199999999999,12832.51,15394.43,15363.31
　　可供出售金融资产,NA,NA,479.66,544.59,828.49,1250.51
　　持有至到期投资,NA,NA,520,1019.15,818.97,691.95
　　长期股权投资,NA,NA,184,184,NA,NA
　　应收款项类投资,NA,NA,233.32,859.01,1696.65,2924.56
　　固定资产,NA,NA,793.11,759.7,229.54,217.13
　　无形资产,NA,NA,19.440000000000001,17.579999999999998,15.97,14.76
　　递延所得税资产,NA,NA,44.77,52.02,23.09,163.38
　　其他资产,13068.66,15990.87,NA,538.1,1589.1,2425.19
资产差额(特殊报表科目),NA,NA,395.05,392.48,347.88,346.99
资产总计,13068.66,15990.87,19581.759999999998,24210.85,28092.3,29821.87
负债：,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,1000,2143.17,2649.58,2273.27
　　向中央银行借款,NA,NA,NA,NA,65,102
　　卖出回购金融资产款,NA,NA,NA,NA,227.87,NA
　　吸收存款,NA,NA,15582.07,18715.810000000001,21373.83,23589.17
NA,NA,NA,16582.07,20858.980000000003,24316.280000000002,25964.44
　　应付职工薪酬,NA,NA,46.04,42.7,47.1,34.880000000000003
　　应交税费,NA,NA,92.67,76.25,60.64,65.47
　　应付利息,NA,NA,186.61,298.18,407.72,441.69
　　递延所得税负债,NA,NA,31.57,27.65,21.5,19.45
　　其他负债,12331.03,13595.79,4.34,16.5,5.14,4.1500000000000004
　　负债差额(特殊报表科目),NA,NA,12.07,49.53,20.9,17.88
　　负债合计,12331.03,13595.79,16955.38,21369.78,24887.4,26554.880000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA
　　股本,NA,NA,1100,1210,1270.5,1397.55
　　资本公积金,NA,NA,913.99,804.14,743.55,616.5
　　其它综合收益,NA,NA,NA,NA,0.46,4.18
　　盈余公积金,NA,NA,88.27,123.48,146.88999999999999,164.97
　　未分配利润,NA,NA,304.87,413.8,367.88,324.48
　　一般风险准备,NA,NA,219.24,289.64999999999998,354.65,372.73
　　归属于母公司所有者权益合计,737.63,2395.08,2626.38,2841.07,2883.93,2880.42
　　少数股东权益,NA,NA,NA,NA,320.97000000000003,386.57
　　所有者权益合计,737.63,2395.08,2626.38,2841.07,3204.9,3266.99
负债及股东权益总计,13068.66,15990.87,19581.759999999998,24210.85,28092.3,29821.87
显示币种,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,NA,NA,点击浏览,点击浏览,点击浏览
公告日期,2013-04-30,2013-04-30,2014-03-30,2014-03-30,2015-03-31,2016-03-31
数据来源,NA,NA,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA
