...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,7312.68,8311.6200000000008,10288.23,15464.75,19412.990000000002,21870.05,27814.61,32850.21,31024.34
　　存放同业和其它金融机构款项,367.27,296.27,1403.75,1271.75,10016.57,3516.51,6061.01,20774.990000000002,22754.89
　　拆出资金,NA,NA,110.96,81.459999999999994,37.81,1277.1300000000001,18.29,129.5,231.39
　　交易性金融资产,NA,NA,632.13,1636.33,1509.57,1011.38,736.83,500.49,4204.84
　　买入返售金融资产,NA,NA,1840,7501.08,6796.28,2909.07,6143.71,5411.35,2475.0100000000002
　　应收利息,NA,NA,235.65,262.31,431.65,435.63,608.19000000000005,719.25,842.42
　　发放贷款及垫款,NA,NA,25958.26,32140.13,38103.56,48355.51,60719.3,72773.66,96782.24
NA,NA,NA,26193.91,32402.440000000002,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,3350.79,3350.82,4327.49,3777.09,6767.78,4616.74,24929.4
　　持有至到期投资,NA,NA,6788.02,7745.11,15768.46,15623.37,16213.07,15607.41,14343.33
　　长期股权投资,NA,NA,17.02,10.88,10.88,10.88,10.88,NA,NA
　　应收款项类投资,NA,NA,3478.14,4982.6099999999997,6212.89,17356.310000000001,19826.88,26835.96,22838.37
　　固定资产,NA,NA,257.64999999999998,268.13,251.17,318.82,394.66,622.4,630.30999999999995
　　无形资产,37.06,37.01,41.68,54.87,58.98,83.17,99.54,98.59,103.66
　　递延所得税资产,NA,NA,117.85,173.03,193.96,265.22000000000003,354.25,587.57000000000005,729.58
　　投资性房地产,NA,NA,NA,NA,29.52,17.059999999999999,3.32,2.87,NA
　　其他资产,246.45,144.61000000000001,326.24,890.18,3543.68,5288.8,6665.75,630.07000000000005,748.83
资产总计,38085.39,42561.19,54846.38,75833.440000000002,106705.44,122115.99,152438.07,182161.06,222638.6
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,302.89999999999998,114.36,133.35,117.97,12878.49,8935.0300000000007,11261.59,13479,14416.75
　　向中央银行借款,NA,NA,NA,NA,9.89,44.94,NA,309.92,668.3
