...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,703.07,1670.02,2351.8000000000002,2007.03,3152.39,3859.66,5408.69,6404.01,7691,7448.86
　　存放同业和其它金融机构款项,191.43,517.65,613.28,377.05,875.54,1607.55,7568.32,9156,5025.62,6518.48
　　拆出资金,NA,NA,NA,NA,NA,100,NA,NA,NA,NA
　　交易性金融资产,NA,NA,989.75,1359.76,1583.35,1714.74,980.58,336.41,531.97,NA
　　买入返售金融资产,NA,NA,NA,NA,675.22,1297,1336.74,652.53,2253.83,780
　　应收利息,NA,NA,31.43,42.07,48.71,52.08,114.71,205.34,393.1,366.46
　　发放贷款及垫款,NA,NA,5642.82,6790.08,8312.31,9841.92,11750.3,14156.04,18805.900000000001,24093.439999999999
NA,NA,NA,5674.25,6832.15,8361.0199999999986,9894,11865.009999999998,14361.380000000001,19199,24459.899999999998
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,823.93,2646.49,9611.51,22623.39
　　持有至到期投资,NA,NA,776.65,740.9,741.26,821.6,3073.69,6191.69,11990.78,8256.7000000000007
　　长期股权投资,NA,NA,8.25,8.25,8.25,8.25,8.25,8.25,NA,NA
　　固定资产,NA,NA,71.900000000000006,81.62,126.86,140.05000000000001,346.82,486.24,561.44000000000005,605.36
　　无形资产,1.87,2.98,2.92,2.86,2.79,10.91,20.72,77.78,107.39,93.79
　　递延所得税资产,NA,NA,39.159999999999997,58.92,49.16,41.22,60.91,81.56,89.76,228.64
　　投资性房地产,NA,NA,17.149999999999999,16.170000000000002,9.58,8.94,8.3000000000000007,2.34,2.82,0.61
　　其他资产,NA,NA,52.17,58.53,61.78,76.59,96,2936.06,3713.54,2778.14
资产总计,6622.07,8960.9,10597.27,11543.24,15647.2,19580.509999999998,31597.96,43340.76,60778.67,73793.88
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,3.01,1.59,NA,NA,150,NA,5470,8061.18,7088.71,11550.62
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,350,300
　　拆入资金,NA,NA,NA,NA,NA,200,190,275.10000000000002,231.73,64.94
　　卖出回购金融资产款,NA,274.8,NA,200,265,938.1,1575.46,1001.06,7250.6,600
　　吸收存款,NA,NA,9501.24,10179.08,13095.23,16083.2,20693.759999999998,28157.93,34646.17,44730.81
NA,NA,NA,9501.24,10379.08,13510.23,17221.3,27929.219999999998,37495.270000000004,49567.21,57246.369999999995
　　应付职工薪酬,NA,NA,5.23,0.83,0.72,13.07,24.37,16.55,22.94,30.09
　　应交税费,10.85,32.72,46.54,22.99,39.22,42.47,80.36,75.97,150.97999999999999,176.94
　　应付利息,NA,NA,28.82,30.76,34.409999999999997,47.98,97.93,262.62,367.34,511.48
　　应付债券,NA,NA,NA,NA,NA,NA,994.71,1991.86,5640.77,10660.61
　　递延所得税负债,NA,NA,2.52,1.35,3.21,0.91,1.43,1.01,13.71,18.04
　　其他负债,NA,NA,46.59,30.12,20.39,40.51,49.74,95.39,124.41,144.71
　　负债合计,5748.33,8048.84,9630.94,10465.120000000001,13608.18,17366.240000000002,29177.75,39938.65,55887.360000000001,68788.23
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,702.63,702.63,702.63,702.63,1266.7,1407.22,1407.22,1829.39,2235.4299999999998,2235.4299999999998
　　资本公积金,86.01,85.68,85.68,85.68,367.29,367.29,371.57,744.06,1600.52,1600.52
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,6.52,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,23.56,35.65
　　盈余公积金,15.61,20.45,39.79,57.36,84.98,121.84,188.06,260.58,333.69,394.37
　　未分配利润,36.43,54.72,59.58,151.06,211.59,179.46,204.2,240.66,211.38,105.5
　　一般风险准备,33.07,48.58,78.64,81.38,108.46,138.44999999999999,249.15,333.92,486.73,634.17999999999995
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,0.01,NA,NA
　　归属于母公司所有者权益合计,873.74,912.06,966.33,1078.1199999999999,2039.02,2214.2600000000002,2420.21,3402.1,4891.3100000000004,5005.6499999999996
　　所有者权益合计,873.74,912.06,966.33,1078.1199999999999,2039.02,2214.2600000000002,2420.21,3402.1,4891.3100000000004,5005.6499999999996
负债及股东权益总计,6622.07,8960.9,10597.27,11543.24,15647.2,19580.509999999998,31597.96,43340.76,60778.67,73793.88
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-30,2008-06-30,2012-12-13,2012-12-13,2011-05-12,2012-06-08,2013-04-25,2014-04-30,2015-04-28,2016-05-14
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
