...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2321.3200000000002,3568.4,4048.79,4638.28,7762.63,10328.69,13909,15248.86,17682.61,18601.22
　　存放同业和其它金融机构款项,164.19,27.01,97.45,807.06,227.73,792.79,6315.38,9385.57,4401.6899999999996,2962.73
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,320,350,200
　　买入返售金融资产,NA,NA,NA,2640,4137.21,6368.95,3265.29,3534.06,1970.86,17037.25
　　应收利息,NA,NA,61.71,76.48,116.64,251.12,365.13,398.95,874.09,1795.55
　　发放贷款及垫款,NA,NA,13115.26,15243.4,20637.689999999999,28656.21,36920.699999999997,42705.599999999999,49716.91,56124.13
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57919.68
　　可供出售金融资产,NA,NA,NA,3982.85,4579.6099999999997,5491.75,6261.77,3315.17,13005.6,25377.69
　　持有至到期投资,NA,NA,34.79,2156.35,5223.43,5982.77,6032.24,7047.86,6424.86,5642.22
　　长期股权投资,NA,NA,5931.27,0.25,0.25,0.25,0.25,0.25,NA,NA
　　应收款项类投资,NA,NA,NA,50,NA,3736.17,8419.7000000000007,14843.32,21801.84,32409.84
　　固定资产,NA,NA,314.32,316.39999999999998,329.14,313.32,218.75,281.76,548.83000000000004,584.45000000000005
　　无形资产,9.1300000000000008,8.7100000000000009,9.42,10.220000000000001,13.93,8.66,28.81,29.6,32.409999999999997,36.96
　　递延所得税资产,NA,NA,97.3,99.29,126.25,117.81,172.35,297.39,303.56,429.72
　　其他资产,37.08,36.729999999999997,760.3,732.14,215.21,150.87,65.03,318.89,156.43,226.4
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,5279.36
资产总计,20219.169999999998,22867.69,24470.6,30752.720000000001,43369.72,62199.360000000001,81974.399999999994,97727.29,117269.68,166707.5
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,30.78,54.32,53.17,2.88,288.61,2800.48,6643.64,10774.98,10677.28,14869.5
　　向中央银行借款,NA,NA,NA,30,200,210.09,287.98,920,1130,640
　　拆入资金,NA,NA,NA,NA,420,NA,1500,1500,800,4525
　　卖出回购金融资产款,2000,1587.2,1756.2,3007.8,3951.6,9115.82,10826.6,10607.47,11808.12,20565.04
　　吸收存款,NA,NA,20547.68,25320.86,35221.65,45363.88,55044.68,64767.1,76678.75,92316.51
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112881.54999999999
　　应付职工薪酬,NA,NA,5.04,6.48,13.79,95,112.48,148.16,111.55,156.49
　　应交税费,-8.43,17.420000000000002,32.42,48.19,87.58,139.11000000000001,206.62,250.22,284.38,406.42
　　应付利息,NA,NA,252.31,230.63,285.38,424.83,554.75,820.03,1162.43,1640.13
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,4986.24,17410.25
　　递延所得税负债,NA,NA,49.76,26.5,17.809999999999999,NA,NA,NA,NA,NA
　　其他负债,NA,NA,301.13,309.99,119.53,165.5,140.57,159.94,173.11,849.04
　　负债合计,19152.46,21674.16,22997.71,28983.33,40605.949999999997,58314.73,75317.31,89947.9,107811.86,153378.38
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,412.8,412.8,412.8,536.64,841,1682,2200,2200,2200,2650
　　资本公积金,511.02,511.02,597.66,535.07000000000005,730.98,268.67,1237.24,1145.3499999999999,1217.6099999999999,2792.61
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,48.25,97.84
　　盈余公积金,39.99,54.31,79.11,116.73,173.68,371.33,568.42999999999995,772.23,931.83,1210.02
　　未分配利润,102.91,215.41,373.4,569.86,848.45,882.77,1170.67,1825.55,2584.0300000000002,3373.8
　　一般风险准备,NA,NA,NA,NA,153,392.63,1000.08,1226.57,1529.54,2207.9499999999998
　　归属于母公司所有者权益合计,1066.71,1193.53,1462.98,1758.29,2747.1,3597.4,6176.43,7169.7,8511.26,12332.22
　　少数股东权益,NA,NA,9.92,11.11,16.66,287.24,480.67,609.67999999999995,946.57,996.9
　　所有者权益合计,1066.71,1193.53,1472.89,1769.39,2763.77,3884.64,6657.09,7779.38,9457.83,13329.11
负债及股东权益总计,20219.169999999998,22867.69,24470.6,30752.720000000001,43369.72,62199.360000000001,81974.399999999994,97727.29,117269.68,166707.5
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-20,2008-06-20,2009-06-16,2011-07-04,2011-07-04,2012-04-26,2013-04-26,2014-04-25,2015-04-24,2016-04-26
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
