...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,390.2,890.82,2052.2399999999998,2028.99,3499.9,5396.08,6322.79,6491.48,6067.88,6461.88
　　存放同业和其它金融机构款项,316.29000000000002,255.52,364.12,715.64,836.63,1252.1300000000001,981.83,1788.01,1811.23,1300.76
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.97
　　买入返售金融资产,NA,NA,NA,NA,1731.81,584.11,1986.92,2716.86,1602.26,200
　　应收利息,NA,NA,2.37,1.0900000000000001,13.13,35.5,52.35,60.79,109.51,255.21
　　发放贷款及垫款,NA,NA,3995.78,5748.67,7518.76,9945.56,13828.88,17098.52,20204.95,23426.36
NA,NA,NA,3998.15,5749.76,7531.89,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,100,100,494.52,2446.23,10487.55
　　持有至到期投资,NA,NA,129.76,70.569999999999993,330.11,10,NA,NA,800,2084.58
　　长期股权投资,NA,NA,10,10,20,20,30,30,NA,NA
　　固定资产,NA,NA,54.36,61.99,67.48,126.49,186.43,307.16000000000003,434.77,495.14
　　无形资产,NA,0.22,26.84,32.950000000000003,32.08,36.49,54.9,47.34,106,164.44
　　递延所得税资产,NA,NA,36.39,29.82,43,105.81,244.73,278.2,362.92,399.23
　　其他资产,16.34,27.03,NA,NA,NA,NA,NA,200,24.2,16.45
资产差额(特殊报表科目),NA,NA,169.08,292.57,358.34,262.48,843.99,823.24,228.12,163.22999999999999
资产总计,4312.7,5440.4,6840.95,8992.2800000000007,14451.24,17874.66,24632.82,30336.13,34198.080000000002,45480.81
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,130,81.099999999999994,8.59,13.73,70.2,63.08,55.15,1692.95
　　向中央银行借款,NA,NA,NA,NA,NA,89.83,200,467.64,394.92,1257.3399999999999
　　拆入资金,NA,NA,NA,NA,NA,NA,75.430000000000007,151.62,NA,300
　　卖出回购金融资产款,NA,NA,328,NA,303.43,NA,1056.4000000000001,NA,1054.0899999999999,3250.3
　　吸收存款,NA,NA,5748.06,8160.76,11880.05,15151.6,20166.12,26164.39,28529.21,34080.26
NA,NA,NA,6206.06,8241.86,12192.07,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,0.54,0.54,0.56999999999999995,1.02,25.89,39.85,31.99,35.090000000000003
　　应交税费,13,43.72,21.57,30.7,32.49,111.9,170.25,93.48,105.86,50.9
　　应付利息,NA,NA,53.52,58.17,72.989999999999995,106.83,198.81,385.89,601.45000000000005,778.07
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,13.27,27.13
　　其他负债,NA,NA,6.36,7.51,18.32,18.670000000000002,26.91,23.59,18.420000000000002,17.760000000000002
　　负债差额(特殊报表科目),NA,NA,8.57,9.1199999999999992,20.69,55.19,98.68,86.94,40.26,270.42
　　负债合计,4054.23,5140.18,6296.63,8347.91,12337.14,15548.77,22088.7,27476.48,30844.63,41760.239999999998
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,215.68,215.68,403.9,403.9,863.58,863.58,863.58,863.58,1001.76,1051.8399999999999
　　资本公积金,0.49,0.49,0.49,0.49,884.6,884.6,884.6,884.6,883.88,884.29
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,38.22,80.23
　　盈余公积金,26.08,55.05,20.43,33.450000000000003,52.03,81.69,176.99,291.7,421.52,549.63
　　未分配利润,16.22,29.01,36.909999999999997,123.95,152.88,273.81,261.70999999999998,327.5,404.11,399.46
　　一般风险准备,NA,NA,82.58,82.58,161.01,222.2,332.56,460.94,535.94000000000005,670.94
　　归属于母公司所有者权益合计,258.45999999999998,300.22000000000003,544.32000000000005,644.37,2114.1,2325.88,2519.44,2828.32,3285.43,3636.39
　　少数股东权益,NA,NA,NA,NA,NA,NA,24.67,31.34,68.02,84.18
　　所有者权益合计,258.45999999999998,300.22000000000003,544.32000000000005,644.37,2114.1,2325.88,2544.12,2859.65,3353.45,3720.57
负债及股东权益总计,4312.7,5440.4,6840.95,8992.2800000000007,14451.24,17874.66,24632.82,30336.13,34198.080000000002,45480.81
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-30,2008-04-30,2009-04-30,2010-04-28,2011-04-30,2012-04-28,2013-04-27,2014-04-30,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
