...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,513.73,848.83,1778.71,3035.08,5072.7299999999996,8649.14,7685.6,7070.28,9879.94,12068.53,13327.1,12753.97
　　存放同业和其它金融机构款项,528.04,541.07000000000005,616.21,2523.0500000000002,2752.51,3100.68,5968.04,3204.06,6888.5,7538.88,8989.39,7322.96
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,NA,NA,NA,659.67,1295.1300000000001,240,24.39,270.60000000000002,30
　　交易性金融资产,NA,NA,NA,NA,NA,NA,NA,2060,60,100,51.62,1562.51
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,NA,NA,NA,NA,110,1220.83,3784.52,3967.12,1055
　　应收利息,NA,NA,NA,NA,22.85,48.88,84.72,150.35,286.48,342.44,417.11,612.86
　　发放贷款及垫款,NA,NA,NA,NA,6481.47,10970.74,15557.31,22585.61,32041.85,41023.040000000001,47735.94,55858.23
NA,NA,NA,NA,NA,6504.3200000000006,11019.619999999999,15642.029999999999,22735.96,32328.329999999998,41365.480000000003,48153.05,56471.090000000004
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,3.72,26.03,73.400000000000006,100.75,1390.88
　　持有至到期投资,NA,NA,NA,NA,861.46,758.34,1261.1600000000001,2483.7600000000002,3439.99,4219.3,4966.26,6483.43
　　长期股权投资,NA,NA,NA,NA,NA,60.75,60.75,60.75,60.75,60.75,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,853.22,1455.1,646,1380.51,5714.91,13070.25
　　固定资产,NA,NA,NA,NA,206.72,465.83,478.45,499.97,1569.37,1785.27,1893.24,2596.27
　　无形资产,NA,NA,NA,1.56,6.81,20.46,92.12,91.53,117.34,116.8,119.72,123.84
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,NA,NA,NA,0.32,8.27,8.6,20.21,93.32,235.97,371.42,397.17
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其他资产,NA,NA,NA,NA,263.81,280.13,446.09,657.36,433.64,574.94000000000005,789,1748.5
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,2907.3,3991.16,5657.83,10139.379999999999,15668.66,24363.23,33155.730000000003,41747.83,57004.03,73328.740000000005,88714.19,105005.87
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,22.87,2.19,21.47,1172.8599999999999,2233.34,1940.91,5380.47,5616.7,6007.75,8148.24,15119.43,19940.16
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,5,41,290,395,365
　　拆入资金,NA,NA,14,NA,NA,NA,NA,290,NA,61,140.86000000000001,151.59
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,NA,NA,NA,NA,NA,800,917.83,99.46,1735.82,1864
　　吸收存款,NA,NA,NA,NA,12519.12,20560.009999999998,25163.95,31189.8,43809.89,54426.03,59966.57,66677.5
NA,NA,NA,NA,NA,14752.460000000001,22500.92,30544.420000000002,37901.5,50776.47,63024.729999999996,77357.679999999993,88998.25
　　应付职工薪酬,NA,NA,NA,NA,5.99,8.61,41.81,55.79,139.71,246.33,257.58999999999997,245.8
　　应交税费,1.4,9.2100000000000009,13.83,42.84,24.18,44.97,58.27,97.36,212.16,299.95999999999998,318.39,212.71
　　应付利息,NA,NA,NA,NA,52.47,60.32,97.2,206.51,432,746.03,929.57,1197.3699999999999
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,155,155,300,300,3289.91,3294.41,6790.89
　　递延所得税负债,NA,NA,NA,NA,14.4,13.06,12.23,11.43,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,NA,NA,12.47,24.38,30.81,91.8,132.65,281.73,313.11,533.07000000000005
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,2872.05,3756.7,5320.28,9407.82,14861.96,22807.26,30939.74,38664.379999999997,51992.98,67888.69,82470.75,97978.1
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,9.82,200,200,600,600,1000,1235,1305,1478.55,1478.55,1744.69,2791.5
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,1.1000000000000001,1.1000000000000001,59.32,NA,NA,92,183,533,1400.74,1400.74,1134.5999999999999,87.79
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　盈余公积金,4.83,6.57,9.32,20.94,35.549999999999997,58.18,90.24,130.72999999999999,184.72,246.45,316.29000000000002,386.24
　　未分配利润,19.5,26.8,68.91,66.709999999999994,133.51,206.6,405.27,684.83,1018.73,1217.76,1692.25,2130.0100000000002
　　一般风险准备,NA,NA,NA,43.91,37.65,160.65,246.12,340.57,496.94,630.91999999999996,845.31,1085.79
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,35.25,234.47,337.54,731.56,806.7,1517.42,2159.62,2994.13,4579.68,4974.42,5733.14,6481.32
　　少数股东权益,NA,NA,NA,NA,NA,38.549999999999997,56.37,89.32,431.36,465.63,510.3,546.45000000000005
　　所有者权益合计,35.25,234.47,337.54,731.56,806.7,1555.97,2215.9899999999998,3083.45,5011.05,5440.05,6243.44,7027.77
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,2907.3,3991.16,5657.83,10139.379999999999,15668.66,24363.23,33155.730000000003,41747.83,57004.03,73328.740000000005,88714.19,105005.87
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,NA,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-03,2008-06-03,2008-06-03,2008-06-30,2010-06-12,2010-06-12,2011-07-07,2013-02-21,2013-04-28,2014-04-30,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
