...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1177.8900000000001,1973.62,5387.78,6415.58,9204.7199999999993,9602.74,10727.78,16120.08,16977.060000000001,17231.189999999999
　　存放同业和其它金融机构款项,1219.8599999999999,1909.28,1702.21,2509.29,4116.3599999999997,4417.13,3444.3,7842.21,4694.16,2638.46
　　拆出资金,NA,NA,NA,NA,19.87,NA,31.43,NA,119.38,323.19
　　买入返售金融资产,NA,125.14,NA,678.3,175.95,NA,1171.7,444.93,NA,300
　　应收利息,4.96,9.94,43.21,66.45,141.41,235.93,314,490.25,747.9,604.53
　　发放贷款及垫款,5370.67,7409.48,10065.31,15215.92,21068.25,27596.75,34365.730000000003,40347.769999999997,49817.32,61808.639999999999
NA,5375.63,7419.4199999999992,10108.519999999999,15282.37,21209.66,27832.68,34679.730000000003,40838.019999999997,50565.22,62413.17
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,1634.13,2518.64,4791.1099999999997,4932.49
　　持有至到期投资,252.9,213.67,478.89,725.53,1215.76,4736.4399999999996,4765.66,2939.18,2822.18,2961.04
　　长期股权投资,NA,NA,NA,NA,24.95,NA,131.29,360.33,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,4217.63,3418.23,13615.85
　　固定资产,161.93,199.86,234.56,266.24,304.2,433.4,1305.78,1537.7,1780.6,1825.72
　　无形资产,18.579999999999998,20.82,34.799999999999997,37.119999999999997,66.45,87.37,87.36,123.57,139.52000000000001,221.48
　　递延所得税资产,0.96,0.56999999999999995,7.28,9.92,12.27,67.41,91.77,185.72,246.79,280.51
　　其他资产,65.97,28.26,141.59,324.76,372.78,654.03,651.47,553.65,1303.96,1973.34
资产总计,8273.7199999999993,11890.63,18095.63,26249.11,36722.97,47831.199999999997,58722.400000000001,77681.67,86858.22,108716.44
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,32.42,33.700000000000003,1030.5999999999999,682.3,1197.8800000000001,3535.48,1532.86,2440.58,5167.03,8909.1
　　向中央银行借款,NA,NA,NA,NA,NA,NA,35,125,130,305.5
　　拆入资金,NA,NA,NA,NA,50,524.04,900,269.32,925.6,604.94000000000005
　　卖出回购金融资产款,NA,NA,NA,595,175.95,644,2164.6999999999998,3234.64,1603,1074.97
　　吸收存款,7504.46,10908.54,15623.86,22759.22,32183.52,38687.980000000003,44823.23,60690.37,65417.41,79109.039999999994
NA,7536.88,10942.240000000002,16654.46,24036.52,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,2.4300000000000002,1.84,0.98,0.46,63.72,165.72,103.17,168.64,326.13,444.7
　　应交税费,37.130000000000003,47.92,54.51,55.51,124.17,147.54,130.72999999999999,215.27,257.20999999999998,346.37
　　应付利息,16.3,20.440000000000001,60.53,56.39,99.14,205.06,407.17,702.9,1083.92,1642.11
　　应付债券,NA,240,240,240,240,590,4489.8100000000004,4493.32,5196.57,8655.35
　　递延所得税负债,30.54,21.97,20.9,19.75,18.59,17.420000000000002,NA,NA,NA,NA
　　其他负债,200.94,41.32,219.64,211.8,188.42,125.41,322.47000000000003,812.08,930.45,587.23
　　负债合计,7824.23,11315.72,17251.009999999998,24620.42,34341.370000000003,44642.65,54909.13,73152.12,81037.320000000007,101679.31
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,240,240,523.26,1200,1200,1200,1200,3000,3000,3000
　　资本公积金,114.4,114.4,4.97,4.97,4.97,4.97,5.97,-67.52,4.97,4.97
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,34.86,71.510000000000005
　　盈余公积金,25.67,41.11,64.97,99.34,174.63,251.9,314.06,391.48,506.64,651.75
　　未分配利润,45.83,128.81,132.31,144.04,745.59,1335.45,1823.6,311.14999999999998,1187.45,1869.8
　　一般风险准备,23.59,50.59,119.1,180.33,256.41000000000003,361.46,432.73,850.29,1029.97,1372.57
　　归属于母公司所有者权益合计,449.49,574.91,844.61,1628.69,2381.6,3153.78,3776.35,4485.3999999999996,5763.89,6970.6
　　少数股东权益,NA,NA,NA,NA,NA,34.770000000000003,36.92,44.15,57.01,66.53
　　所有者权益合计,449.49,574.91,844.61,1628.69,2381.6,3188.55,3813.27,4529.55,5820.9,7037.14
负债及股东权益总计,8273.7199999999993,11890.63,18095.63,26249.11,36722.97,47831.199999999997,58722.400000000001,77681.67,86858.22,108716.44
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-06-24,2011-06-24,2011-06-24,2011-06-24,2011-06-24,2012-04-28,2013-04-19,2014-04-29,2015-04-29,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
