...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,926.73,1454.31,2499.77,2977.85,3750,3686.66,4415.74,5086.16,4809.49
　　存放同业和其它金融机构款项,486.39,1452.3,715.14,738.12,685.03,1268.1099999999999,974.95,1227.5899999999999,1381.11
　　拆出资金,NA,NA,NA,NA,29.31,109.78,90.81,29.31,29.31
　　买入返售金融资产,NA,NA,NA,NA,NA,NA,NA,427.8,NA
　　应收利息,NA,NA,NA,NA,21.41,25.12,40.85,88.53,108.78
　　发放贷款及垫款,NA,NA,NA,NA,9331.44,10609.33,11991.54,13413.24,15705.49
NA,NA,NA,NA,NA,9352.85,NA,NA,NA,NA
　　持有至到期投资,NA,NA,NA,NA,960,1210,1575.28,2040.8,1631.09
　　长期股权投资,NA,NA,NA,NA,9.1300000000000008,9.1300000000000008,12.13,12.13,12.13
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,1555.49
　　固定资产,170.98,193.79,152.12,159.84,212.26,228.85,314.45999999999998,405.17,329.59
　　无形资产,NA,NA,46.64,73.66,73.040000000000006,71.38,68.650000000000006,66.489999999999995,158.85
　　递延所得税资产,NA,NA,NA,NA,109.39,154.15,140.16,214.48,261.60000000000002
　　其他资产,NA,NA,NA,NA,NA,NA,NA,63.04,27.62
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,50.05,NA,NA
资产总计,8054.6,10016.870000000001,10827,13005.28,15195.93,17433.87,19674.63,23074.74,26010.55
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,2.62,702.39,39.74,NA,0.5,91.79,26.63,8.99,29.07
　　吸收存款,NA,NA,NA,NA,13331.48,15152.46,17053.8,20001.82,22630.6
NA,NA,NA,NA,NA,13331.98,NA,NA,NA,NA
　　应付职工薪酬,9.8800000000000008,NA,NA,42.14,73.17,81.08,87.07,88.69,85.8
　　应交税费,40.01,52.07,49.71,76.7,81.599999999999994,89.17,94.14,127.34,129.75
　　应付利息,NA,NA,NA,NA,87.72,128.19,189.05,252.83,301.14999999999998
　　递延所得税负债,NA,NA,NA,NA,0.32,NA,NA,NA,NA
　　其他负债,NA,NA,NA,NA,21.66,0.99,1.36,52.56,21.72
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,14.11,NA,NA
　　负债合计,7212.89,9047.77,9699.76,11732.9,13609.22,15559.04,17466.169999999998,20532.240000000002,23198.080000000002
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,300.02,300.02,330.02,363.02,508.22,508.22,508.23,508.23,1016.44
　　资本公积金,NA,0,NA,NA,0,0,0,0.03,0.03
　　盈余公积金,146.79,159.91,178.7,201.18,266.27999999999997,347.25,547.74,759.42,391.42
　　未分配利润,183.08,221.52,258.8,316.43,418.63,622.76,680.09,720.26,849.72
　　一般风险准备,211.82,287.64999999999998,359.72,391.75,393.59,396.6,472.41,554.55999999999995,554.85
　　归属于母公司所有者权益合计,841.7,969.1,1127.24,1272.3800000000001,1586.72,1874.83,2208.46,2542.5,2812.46
　　所有者权益合计,841.7,969.1,1127.24,1272.3800000000001,1586.72,1874.83,2208.46,2542.5,2812.46
负债及股东权益总计,8054.6,10016.870000000001,10827,13005.28,15195.93,17433.87,19674.63,23074.74,26010.55
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-19,2008-05-19,2009-04-30,2010-05-04,2011-05-03,2012-05-03,2013-09-05,2014-06-03,2015-05-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
