...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1093.96,1859.05,4875.57,6657.8,7677.47,11286.11,15477.67,15719.15,16209.05,15980.66
　　存放同业和其它金融机构款项,1025.28,1926.41,1153.1400000000001,1272.31,5397.14,6532.07,6825.81,2914.75,1751.8,1287.3699999999999
　　拆出资金,NA,NA,NA,NA,NA,165,290.70999999999998,300,21.42,100
　　交易性金融资产,NA,NA,NA,NA,NA,NA,101.75,1301.54,1026.9000000000001,4215.6499999999996
　　买入返售金融资产,NA,NA,390,2572.56,11129.11,9850.59,18988.57,16626.5,13479.23,7680.59
　　应收利息,53.79,83.13,34.909999999999997,53.86,65.48,145.37,249.92,207.38,210.29,265.26
　　发放贷款及垫款,NA,NA,11277.9,19731.47,24986.54,31323.15,40615.85,48901.54,53134.78,57752.88
NA,NA,NA,11312.81,19785.330000000002,25052.02,31468.52,40865.769999999997,49108.92,53345.07,58018.14
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,NA,1353.01,180.36
　　持有至到期投资,NA,NA,799.16,1767.62,675.23,880.64,1167.68,1705.58,1615.7,2066.46
　　长期股权投资,NA,NA,NA,70,110.89,336.92,452.89,488.64,530.23,552.70000000000005
　　应收款项类投资,NA,NA,NA,NA,1564,422.4,1319.73,17353.07,30765.75,40530.449999999997
　　固定资产,125.5,122.74,120.78,121.59,150.12,164.25,174.1,191.03,189.35,226.85
　　无形资产,3.25,3.17,3.09,22.99,32.479999999999997,33.29,41.83,40.19,851.41,829.42
　　递延所得税资产,NA,NA,9.65,9.49,7.88,68.47,158.08000000000001,208.38,314.17,428.67
　　投资性房地产,NA,NA,NA,10.94,NA,NA,NA,NA,NA,NA
　　其他资产,NA,NA,124.77,210.86,679.16,853.61,632.61,1156.76,966.65,951.95
资产总计,7517.61,11210.76,18788.98,32501.5,52475.5,62061.87,86497.2,107114.5,122419.74,133049.26999999999
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,84.08,256.23,1050.02,1893.96,5971.75,4185.32,9742.67,23439.7,30658.55,29702.2
　　向中央银行借款,NA,NA,NA,NA,NA,52,50,400,366.49,252.65
　　拆入资金,NA,NA,NA,NA,176.31,591.57000000000005,4427.95,1252.17,418.19,839.68
　　卖出回购金融资产款,NA,NA,410.81,402.6,5142.3100000000004,3678.49,6435.44,3918.19,1472.41,4050.4
　　吸收存款,NA,NA,15495.01,27326.799999999999,35229,46367.360000000001,56592.75,66896.289999999994,75416.679999999993,79115.88
NA,NA,NA,16955.84,29623.360000000001,46519.37,54874.74,77248.81,95906.349999999991,108332.31999999999,113960.81
　　应付职工薪酬,NA,NA,0.25,11.15,0.26,6.75,18.21,49.74,98.52,154.61000000000001
　　应交税费,46.5,62.99,36.299999999999997,60.53,91.85,161.83000000000001,203.21,207.53,248.74,252.5
　　应付利息,20.420000000000002,43.57,86.21,91.1,157.71,348.6,598.41,944.08,1326.38,1279.6500000000001
　　应付债券,NA,NA,208,500,500,500,500,292,1500,3500
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15
　　其他负债,NA,NA,457.92,63.79,921.53,383.69,832.91,574.32000000000005,715.6,2642.71
　　负债合计,6998.93,10373.93,17744.52,30349.93,48190.71,56275.62,79401.56,97974.02,112221.57,121796.45
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,262,613.08000000000004,613.08000000000004,800,1075.52,1200,1337.83,1532,3064,3064
　　资本公积金,89.53,79.680000000000007,79.680000000000007,733.9,2111.5,2733.9,3221.81,3909.18,2383.4299999999998,2377.1799999999998
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08
　　盈余公积金,47.02,60.7,81.94,108.53,156.54,232,329.57,445.19,576.65,712.38
　　未分配利润,72.38,21.86,155.44999999999999,278.87,611.97,1223.23,1403.78,2119.1999999999998,2771.54,3425.74
　　一般风险准备,47.74,61.51,114.31,230.27,329.26,397.13,756.69,1085.57,1347.18,1613.31
　　归属于母公司所有者权益合计,518.67999999999995,836.83,1044.46,2151.5700000000002,4284.79,5786.25,7049.68,9091.14,10142.82,11192.69
　　少数股东权益,NA,NA,NA,NA,NA,NA,45.96,49.34,55.36,60.13
　　所有者权益合计,518.67999999999995,836.83,1044.46,2151.5700000000002,4284.79,5786.25,7095.64,9140.48,10198.17,11252.83
负债及股东权益总计,7517.61,11210.76,18788.98,32501.5,52475.5,62061.87,86497.2,107114.5,122419.74,133049.26999999999
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-31,2008-05-31,2012-12-06,2010-05-27,2011-04-30,2012-04-24,2013-04-26,2014-04-17,2015-04-23,2016-04-20
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
