...1,2002-12-31,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,72462.100000000006,106736.26,141423.93,162601.26,205118.95,293248.76,366957.1,427563,476342,506067,481157
　　存放同业和其它金融机构款项,NA,NA,NA,5103.24,5011.9399999999996,3810.84,54129.3,143554.12,69539.710000000006,267876.47999999998,311293,233302,142287,111388
　　贵金属,NA,NA,NA,NA,NA,NA,NA,213.21,2.09,683.25,6673,3348,11707,28724
　　拆出资金,NA,NA,NA,9197.1,16497.439999999999,17662.82,23643.91,24122.35,31253.46,111415.3,85420,26828,21969,137806
　　交易性金融资产,9299.76,7922.97,8170.91,48898.14,49018.17,3816.22,NA,NA,NA,5866.84,18441,28627,32841,63746
　　衍生金融资产,NA,NA,NA,20.420000000000002,41.65,347.57,2287.77,607.34,1033.3499999999999,548.79,907,1946,2612,10610
　　买入返售金融资产,NA,NA,NA,20331.88,13786.12,80992.09,171471.73,53057.5,391932.14,281509.78000000003,267089,295953,196188,110218
　　应收利息,5.75,168.14,783.73,1157.55,1390.25,2195.4299999999998,5055.2299999999996,5435.92,6537.02,11071.07,13546,14709,17328,20437
　　发放贷款及垫款,NA,NA,NA,366646.38,448110.55,535657.65,681266.57,910508.03,1124112.99,1302323.95,1508806,1725745,1974614,2171413
NA,5.75,168.14,783.73,367803.93,449500.8,537853.08000000007,686321.79999999993,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,88784.13,57365.15,89214.8,104142.63,147929.13,150741,160593,222208,254846
　　持有至到期投资,NA,NA,NA,NA,NA,NA,110600.02,136745.99,143556.64000000001,158535.45000000001,159286,146253,121698,239703
　　长期股权投资,451.31,448.06,448.06,446,443.3,853.86,928.01,1370.87,1436.47,1856.86,2464,2268,1475,1599
　　应收款项类投资,NA,NA,NA,NA,NA,22384.55,23261.38,33657.199999999997,3707.12,8759.5400000000009,159734,515234,877171,1325032
　　固定资产,3903.21,4152.6099999999997,4633.91,5640.54,5716.5,5536.04,6259.85,7074.94,7518.66,8594.25,10101,10735,13929,19062
　　无形资产,210.36,203.04,210.97,230.71,226.93,239.58,207.22,205.36,405.28,457.03,517,758,858,879
　　递延所得税资产,1264.68,1744.19,2223.17,2672.5,3408.12,2894.6,2788.61,3108.66,3772.72,4269.8599999999997,5636,9382,10692,14427
　　其他资产,NA,NA,NA,0.01,NA,7253.24,5115.8599999999997,3686.38,5735.67,4833.07,16111,26537,40645,51648
资产差额(特殊报表科目),NA,NA,NA,37122.29,37876.53,1127.79,2443.58,5036.3500000000004,3476.04,1205.94,1379,1565,1635,1657
