...1,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2674.54,3848.93,4977.96,5863.66,6247.6,5853.3
　　存放同业和其它金融机构款项,796.56,1298.6099999999999,1611.71,1475.61,5434.83,6261.87
　　交易性金融资产,NA,NA,49.74,NA,NA,NA
　　衍生金融资产,NA,NA,0,NA,NA,0.04
　　买入返售金融资产,1308.6400000000001,730.49,1245.4000000000001,3187.49,1882.91,NA
　　应收利息,18.88,23.67,62.73,85.79,191.96,266.02999999999997
　　发放贷款及垫款,11424.25,13297.78,15866.02,19008.29,22315.46,24354.79
NA,11443.13,13321.45,15928.75,19094.080000000002,22507.42,24620.82
　　可供出售金融资产,NA,376.4,720.78,444.52,740.55,7462.22
　　持有至到期投资,1500.48,1756.96,2759.11,4906.99,5911.58,6068.7
　　长期股权投资,0.6,45.6,113.85,113.85,8.33,8.5
　　应收款项类投资,57.71,28.64,NA,NA,NA,NA
　　固定资产,111.73,152.53,172.26,202.96,275.56,305.31
　　无形资产,10.49,10.79,11.9,12.1,15.76,98.1
　　递延所得税资产,13.02,13.02,39.6,25.97,136.57,120.85
　　其他资产,NA,NA,NA,NA,5.38,5.53
资产差额(特殊报表科目),33.93,47.34,19.79,17.39,14.89,11.33
资产总计,17950.82,21630.75,27650.86,35344.629999999997,43181.38,50816.58
负债：,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,25.74,17.63,427.85,445.06,172.11,1334.14
　　向中央银行借款,NA,NA,50,NA,150,450
　　拆入资金,NA,NA,NA,NA,209.79,432.47
　　衍生金融负债,NA,NA,NA,0,NA,NA
　　卖出回购金融资产款,450,587.49,1816.08,4080.51,4621.42,4992.3599999999997
　　吸收存款,15508.11,18681.14,22468.05,27281.759999999998,32822.379999999997,37723.06
NA,15983.85,19286.259999999998,24761.98,31807.329999999998,37975.699999999997,44932.03
　　应付职工薪酬,NA,NA,NA,NA,120.01,100.97
　　应交税费,11.14,48.12,12.36,46.18,159.66999999999999,55.88
　　应付利息,279.58,357.34,586.65,868.22,1145.3499999999999,1461.74
　　应付债券,NA,NA,NA,NA,198.33,211.9
　　其他负债,365.94,26.86,118.7,84.26,47.51,87.01
　　负债差额(特殊报表科目),63.12,75.19,53.6,100.01,NA,NA
　　负债合计,16703.63,19793.77,25533.29,32905.99,39646.559999999998,46849.52
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA
　　股本,396,698,698,698,850,850
　　资本公积金,342.65,351.83,345.27,338.37,606,606
　　其它综合收益,NA,NA,NA,NA,29.96,66.75
　　盈余公积金,83.54,114.59,163.19,218.54,332.24,713.68
　　未分配利润,207.01,323.99,369,415.65,635.11,643.41999999999996
　　一般风险准备,217.99,348.57,542.11,768.09,1032.6500000000001,1035.29
　　归属于母公司所有者权益合计,1247.19,1836.99,2117.5700000000002,2438.64,3485.96,3915.14
　　少数股东权益,NA,NA,NA,NA,48.87,51.91
　　所有者权益合计,1247.19,1836.99,2117.5700000000002,2438.64,3534.83,3967.05
负债及股东权益总计,17950.82,21630.75,27650.86,35344.629999999997,43181.38,50816.58
显示币种,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2012-04-30,2012-04-30,2013-12-25,2014-04-30,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA
