...1,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,10052.9,12900.75,16443.28,18659.25,17957.080000000002
　　存放同业和其它金融机构款项,5098.7299999999996,20962.560000000001,6443.78,5037.3500000000004,1515.71
　　拆出资金,430,100,NA,NA,NA
　　交易性金融资产,148.62,1868.77,1700.1,3392.11,2872.63
　　买入返售金融资产,385.5,574.59,5146.71,10621.87,25054.6
　　应收利息,148.80000000000001,320.27,320.10000000000002,428.63,540.16999999999996
　　发放贷款及垫款,29408.22,39779.550000000003,50632.47,67943.05,74801.7
NA,29557.02,NA,NA,NA,NA
　　可供出售金融资产,NA,301.35000000000002,106.53,8.06,2843.89
　　持有至到期投资,3934.31,4861.8999999999996,3970.77,3931.8,13664.5
　　长期股权投资,1.81,1.81,1.81,NA,NA
　　应收款项类投资,NA,NA,NA,7942.3,11886.98
　　固定资产,710.54,766.8,832.12,1912.8,1976.72
　　无形资产,51.39,44.47,65.760000000000005,88.08,93.23
　　递延所得税资产,177.73,249.44,325.94,269.56,402.74
　　其他资产,7533.87,19546.41,17683.560000000001,1049.83,1094.19
资产总计,58082.42,102278.68,103672.92,121284.69,154704.14000000001
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,2491.5700000000002,21959.07,5335.98,7766.8,6577.33
　　向中央银行借款,NA,NA,NA,400,569.85
　　卖出回购金融资产款,2575,7385.74,1178.5999999999999,5492.28,14239.55
　　吸收存款,46932.11,63551.7,86082.64,91469.09,108964.6
NA,51998.68,NA,NA,NA,NA
　　应付职工薪酬,159.72999999999999,312.20999999999998,324.08999999999997,396.56,406.37
　　应交税费,229.52,238.67,227.94,121.51,320.05
　　应付利息,307.85000000000002,629.32000000000005,987.35,1332.06,1560.5
　　应付债券,NA,NA,NA,2490,7956.34
　　递延所得税负债,111.97,112.2,90.61,NA,NA
　　预计负债,11.59,6.59,6.59,6.59,6.59
　　其他负债,2002.2,665.38,999.97,1735.44,3043.11
　　负债合计,54821.56,94860.89,95233.77,111210.33,143644.28
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,1995.86,3284.44,3284.44,3500.44,3500.44
　　资本公积金,0,2165.84,2164.9499999999998,2510.42,2510.42
　　其它综合收益,NA,NA,NA,1.54,5.12
　　盈余公积金,63.59,165.37,292.89,424.74,535.49
　　未分配利润,572.32000000000005,993.64,1232.02,2135.5700000000002,2638.19
　　一般风险准备,629.09,808.5,1464.85,1501.64,1733.71
　　归属于母公司所有者权益合计,3260.86,7417.8,8439.15,10074.36,10923.37
　　少数股东权益,NA,NA,NA,NA,136.49
　　所有者权益合计,3260.86,7417.8,8439.15,10074.36,11059.86
负债及股东权益总计,58082.42,102278.68,103672.92,121284.69,154704.14000000001
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2012-04-30,2013-06-08,2014-06-13,2015-06-19,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
