...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4909.47,6972.2,9185.5300000000007,11576.05,14784.68,13940.01,14229.86
　　存放同业和其它金融机构款项,2324.67,604.4,1705.73,2421.0700000000002,4491.8599999999997,5371.65,6081.96
　　拆出资金,NA,NA,NA,NA,60.97,NA,NA
　　交易性金融资产,395.56,284.36,367.38,102.37,295.45999999999998,2028.49,1829.66
　　买入返售金融资产,NA,1455.48,NA,288.18,912,5079.88,5694.95
　　应收利息,77.930000000000007,168.11,183.35,185.51,268.08,441.94,646.83000000000004
　　发放贷款及垫款,18657.41,22907.15,26388.14,30683.95,35018.99,40970.25,42257.279999999999
NA,18735.34,23075.260000000002,26571.489999999998,30869.46,35287.07,41412.19,42904.11
　　可供出售金融资产,106.33,103.21,252.6,452.02,849.97,484.94,3355.99
　　持有至到期投资,4286.71,7012.82,7134.71,6067.59,5167.79,7504.93,7980.36
　　长期股权投资,20.09,20.09,20.260000000000002,30.24,30.24,30.24,NA
　　应收款项类投资,NA,NA,129.96,99.96,1079.96,2000.6,5990.98
　　固定资产,412.64,477.21,505.01,726.81,953.47,1015.96,1106.21
　　无形资产,22.29,27.07,23.89,29.14,42.09,54.94,50.73
　　递延所得税资产,57.75,87.41,129.91,177.05,199.22,399.46,475.05
　　投资性房地产,7.68,NA,NA,NA,NA,NA,NA
　　其他资产,170.45,205.25,173.9,3.84,206.34,3006.38,2085.85
资产差额(特殊报表科目),NA,NA,NA,178.98,NA,NA,NA
资产总计,31448.98,40324.769999999997,46200.37,53022.73,64361.120000000003,82329.67,91785.7
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,50.83,2.64,0.34,563.41,1628.91,8480.8700000000008,10799.88
　　向中央银行借款,66.739999999999995,NA,318.51,94.64,167.71,961.93,1133
　　拆入资金,299.89,110.86,18.899999999999999,458.42,121.94,501.76,551.96
　　卖出回购金融资产款,NA,1723.7,3474,1079,288,6566.8,4450
　　吸收存款,28629.41,34880.1,38191.56,45709.93,55436.1,56145.19,59699.31
NA,29046.87,36717.299999999996,42003.31,47905.4,57642.659999999996,72656.55,76634.149999999994
　　应付职工薪酬,14.88,65.39,87.25,82.61,75.97,110.53,190.3
　　应交税费,104.67,88.86,109.38,145.44,116.87,206.3,180.18
　　应付利息,243.21,176.27,259.73,417.59,655.5,868.2,854.2
　　应付债券,NA,NA,NA,NA,NA,2045.83,6635.58
　　递延所得税负债,2.36,1,1.95,1.75,NA,8.4,25.81
　　其他负债,66.209999999999994,777.29,62.56,13.51,190.93,89.63,163.69999999999999
　　负债差额(特殊报表科目),NA,NA,NA,112.32,NA,NA,NA
　　负债合计,29478.2,37826.129999999997,42524.17,48678.61,58681.93,75985.440000000002,84683.93
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,1396.81,1564.42,1744.42,2023.53,2387.77,2578.79,2785.09
　　资本公积金,22.85,20.52,380.16,380.6,752.05,778.81,779.82
　　其它综合收益,NA,NA,NA,NA,NA,NA,48.12
　　盈余公积金,86.75,143.56,205.87,277.87,351.08,417.39,491.12
　　未分配利润,315.29000000000002,513.51,1083.5999999999999,1070.6500000000001,1317.76,1386.41,1652.19
　　一般风险准备,130.38,236.43,236.43,559.25,782.13,1082.3699999999999,1233.17
　　归属于母公司所有者权益合计,1952.06,2478.44,3650.48,4311.8900000000003,5590.77,6243.76,6989.51
　　少数股东权益,18.73,20.2,25.71,32.22,88.41,100.47,112.26
　　所有者权益合计,1970.79,2498.65,3676.19,4344.12,5679.19,6344.24,7101.77
负债及股东权益总计,31448.98,40324.769999999997,46200.37,53022.73,64361.120000000003,82329.67,91785.7
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-04-27,2011-04-27,2014-08-01,2014-08-01,2014-08-01,2015-04-24,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
