...1,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,7950.68,9469.65,8550.18,7701.22,5245.63,4345.6099999999997,4154.7700000000004,3920.78
　　存放同业和其它金融机构款项,829.53,164.73,674.52,2412.23,294.33999999999997,903.03,1460.08,223.39
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,NA
　　交易性金融资产,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,3050,4184.8,1261.57,298,NA,NA,NA,NA
　　应收利息,210.66,207.69,180.72,152.91,87.53,78.28,87.76,79.53
　　发放贷款及垫款,29283.94,26751.88,24481.8,19453.32,18055.66,15425.61,15435.16,15808.66
NA,29494.6,NA,NA,NA,NA,NA,NA,NA
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,2767.8,2776.97,2222.38,2203.27,1159.99,1206.5,1238.9100000000001,1138.52
　　持有至到期投资,2227.5300000000002,2453.19,2458.29,2523.4699999999998,3069.71,2809.94,3540.72,3671.51
　　长期股权投资,NA,NA,38.25,38.25,28.25,28.25,18.25,8.25
　　应收款项类投资,5958.24,689.5,976.3,1860,NA,NA,NA,NA
　　固定资产,402.79,417.3,390.7,403.85,425.98,422.73,372.58,295.72000000000003
　　无形资产,10.09,25.06,7.01,3.54,13.35,7.6,5.46,NA
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,315.95,303.68,286.44,201.82,106.73,99.49,133.58000000000001,182.35
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA
　　其他资产,361.71,350.12,368.37,333.24,632.64,803.71,743.36,797.27
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
资产总计,53368.95,47794.54,41896.53,37585.11,29119.82,26130.76,27190.639999999999,26125.97
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1321.56,6.12,13.03,172.87,6.88,68.69,417.56,21.18
　　向中央银行借款,300,500,NA,NA,NA,NA,NA,NA
　　拆入资金,88.16,NA,NA,NA,NA,NA,NA,NA
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,198,NA,NA,694.5,1972.5,5653.72
　　吸收存款,45635.06,41580.480000000003,36631.769999999997,33678.269999999997,25582.09,22061.07,21540.94,19025.48
NA,47344.78,NA,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,222.33,180.69,152.36000000000001,138.51,83.16,71.040000000000006,78.89,82.01
　　应交税费,104.85,131.24,89.11,25.08,31.34,10.95,43.67,42.64
　　应付利息,726.65,690.18,632.72,502.37,187.29,181.07,271.95,168.71
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,137.81,50.65,1053.21,94.33,173.58,148.19,1694.79,293.48
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,48536.42,43139.360000000001,38770.21,34611.43,26064.34,23235.52,26020.29,25287.22
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2650,2650,2000,2000,2000,2000,1087.07,1087.07
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,1307.01,1307.01,845.55,947.14,806.51,833.64,37.090000000000003,-38.200000000000003
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,53.09,27.27,NA,NA,NA,NA,NA,NA
　　盈余公积金,125.74,84.09,44.62,29.95,24.9,6.16,4.62,NA
　　未分配利润,49.03,332.76,132.07,-107.49,168.64,NA,NA,-210.11
　　一般风险准备,647.66,254.07,104.07,104.07,55.43,55.43,41.58,NA
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,4832.53,4655.18,3126.31,2973.68,3055.47,2895.23,1170.3499999999999,838.75
