...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1024.8399999999999,1436.21,1466.82,1809.08,2114.3000000000002,2482.7600000000002,3028.77,3505.99,3470.16,6643.67
　　存放同业和其它金融机构款项,65.430000000000007,85.9,63.34,2.4500000000000002,5.23,1.46,1.96,1.84,835.51,2145.15
　　拆出资金,NA,NA,6.14,1.1299999999999999,NA,NA,NA,NA,NA,NA
　　交易性金融资产,NA,NA,344.63,250.53,400,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,NA,340,NA,NA,NA,NA,NA
　　应收利息,NA,NA,20.95,34.97,58.02,71.69,76.540000000000006,60.62,57.91,54.84
　　发放贷款及垫款,NA,NA,5740,6195.58,6586.83,7283.52,8051.62,9016.7000000000007,11386.48,16546.93
NA,NA,NA,5760.95,6230.55,6644.85,7355.21,8128.16,9077.3200000000015,11444.39,16601.77
　　持有至到期投资,NA,NA,1648.15,1810.83,3018.8,3444.31,3494.89,6736.3,8410.93,12373.7
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,1731.93,2463.83
　　固定资产,NA,NA,162,151.74,171.07,185.83,184.82,209,186.84,203.62
　　无形资产,4.62,3.84,13.95,14.13,10.92,11.67,12.74,14.17,29.11,36.9
　　递延所得税资产,NA,NA,55.26,65.44,39.69,38.35,25.52,54.01,76.739999999999995,111.61
　　投资性房地产,NA,NA,4.08,8.32,8.43,7.79,7.04,6.3,25.65,1.3
　　其他资产,225.5,224.8,265.92,286.02,289.72000000000003,151.99,151.29,490.27,852.58,803.82
资产差额(合计平衡项目),NA,NA,NA,0,NA,NA,NA,NA,NA,NA
资产总计,8024.28,8679.4,9791.24,10630.21,13043.01,13679.37,15035.21,20095.2,27063.85,41385.370000000003
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,42.19,25.99,2.6,0.28000000000000003,0.5,NA,0.04,604.15,3747.75,8805.9
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,471.03,94.02,32.15
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,310,900,900
　　卖出回购金融资产款,180,480.5,100,70,1578.8,1859.5,700,2308.6,2502.6999999999998,1147.8499999999999
　　吸收存款,NA,NA,8834.25,9374.31,10191.49,10837.41,12582.23,13382.1,16624.650000000001,25493.35
NA,NA,NA,8936.85,9444.59,11770.789999999999,12696.91,13282.27,17075.88,23869.120000000003,36379.25
　　应付职工薪酬,NA,NA,31.36,43.36,47.97,45.77,37.840000000000003,42.1,48.9,92.48
　　应交税费,NA,NA,7.24,6.03,24.17,9.15,7.39,32.94,40.93,88.45
　　应付利息,NA,NA,121.79,90.59,97.06,87.11,125.75,154.97999999999999,249.91,298.14999999999998
　　递延所得税负债,NA,NA,1.59,0.34,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,57.53,121.06,111.46,42.87,89.3,1177.76,81.03,295.35000000000002
　　负债合计,7422.91,8021.04,9156.35,9705.9699999999993,12051.46,12881.8,13542.54,18483.650000000001,24289.88,37153.67
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,330.26,330.26,330.26,603.28,646.88,646.88,1311.56,1430.53,2401.84,3295.18
　　资本公积金,221.56,221.56,221.56,221.56,221.56,NA,0.15,10.72,26.26,258.93
　　盈余公积金,0.41,1.41,13.43,17.23,22.41,32.159999999999997,44.48,55.4,80.11,116.01
　　未分配利润,49.13,105.13,69.64,82.16,100.7,118.53,136.47,114.9,240.76,346.57
　　一般风险准备,NA,NA,NA,NA,NA,NA,NA,NA,25,215
　　归属于母公司所有者权益合计,601.37,658.36,634.89,924.23,991.54,797.56,1492.67,1611.55,2773.97,4231.7
　　所有者权益合计,601.37,658.36,634.89,924.23,991.54,797.56,1492.67,1611.55,2773.97,4231.7
负债及股东权益总计,8024.28,8679.4,9791.24,10630.21,13043.01,13679.37,15035.21,20095.2,27063.85,41385.370000000003
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-29,2008-04-29,2009-04-30,2010-04-30,2011-04-29,2012-04-28,2013-04-26,2014-04-30,2015-04-30,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
