...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1913.68,2145.35,2710.96,3216.91,NA,5026.2,5932.7,5550.19
　　存放同业和其它金融机构款项,90.6,30.2,91.67,1137.04,NA,2595.17,2206.56,5515.07
　　交易性金融资产,NA,NA,NA,NA,NA,152.5,NA,2063.89
　　买入返售金融资产,4460.1400000000003,4420.66,4411.72,4475.7,NA,2787.67,1463.23,2798.47
　　应收利息,37.71,29.26,28.15,39.96,NA,87.05,126.73,321.91000000000003
　　发放贷款及垫款,6322.86,6957.03,8261.2099999999991,9394.81,NA,12124.06,13545.8,15855.5
NA,6360.57,6986.29,8289.3599999999988,9434.7699999999986,0,12211.109999999999,13672.529999999999,16177.41
　　可供出售金融资产,1800.02,1259.52,1639.74,1090.6099999999999,NA,2519.7399999999998,6206.04,14156.27
　　持有至到期投资,NA,520.83000000000004,421.33,989.19,NA,1837.19,2979.59,3138.28
　　长期股权投资,10,10,20,20,NA,30,NA,NA
　　固定资产,58.09,56.75,68.48,77.61,NA,150.62,185.84,183.91
　　递延所得税资产,32.4,46.44,43.85,38.94,NA,110.52,136.12,171.85
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,33.36
　　其他资产,131.5,50.58,61.09,151.85,NA,776.74,3076.68,2960.6
资产总计,14857.01,15526.63,17758.21,20632.63,NA,28197.47,35859.31,52749.3
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,155.13999999999999,374.21,900.08,1995.35,2156.02,2188.7600000000002,4678.76,8252.4599999999991
　　　　向中央银行借款,NA,NA,NA,NA,112.64,317.57,NA,NA
　　　　拆入资金,NA,NA,NA,200,NA,NA,NA,180
　　　　卖出回购金融资产款,3434.67,2250.85,1249.1500000000001,2633.3,2168.94,376.72,760,8040
　　吸收存款,10536.77,11959.96,14236.1,14077.83,18007.189999999999,22345.51,24943.040000000001,29652.15
NA,14126.58,14585.019999999999,16385.330000000002,18906.48,22444.79,25228.559999999998,30381.800000000003,46124.61
　　应付职工薪酬,13.89,17.59,28.56,56.28,23.01,28.83,40.130000000000003,37.119999999999997
　　应交税费,34.53,36.020000000000003,37.08,92.41,58.97,50.26,104.52,133.97
　　应付利息,105,106.52,115.82,170.94,254.17,347.37,445.07,472.98
　　应付债券,NA,NA,NA,NA,NA,NA,NA,600
　　递延所得税负债,22.51,3.11,1.22,NA,NA,NA,0.76,23.61
　　其他负债,11.8,214.74,46.75,176.16,311.20999999999998,659.75,2675.51,2739.61
　　负债合计,14314.3,14963,16614.77,19402.27,23092.16,26314.77,33647.79,50131.89
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,302,302,800,800,800,1051.26,1100,1100
　　资本公积金,67.52,9.34,3.65,NA,-0.81,249.18,300.04000000000002,300.04000000000002
其它综合收益,NA,NA,NA,NA,NA,NA,2.29,61.58
　　盈余公积金,14.39,22.3,38.11,57.98,85.34,108.97,139.66999999999999,176.71
　　未分配利润,85.94,159.36000000000001,301.68,372.37,322.64999999999998,401.44,567.07000000000005,843.07
　　一般风险准备,72.86,70.64,NA,NA,45.85,71.84,102.45,136.01
　　归属于母公司所有者权益合计,542.71,563.63,1143.44,1230.3499999999999,1253.03,1882.69,2211.52,2617.41
　　所有者权益合计,542.71,563.63,1143.44,1230.3499999999999,1253.03,1882.69,2211.52,2617.41
负债及股东权益总计,14857.01,15526.63,17758.21,20632.63,24345.18,28197.47,35859.31,52749.3
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-04-30,2010-04-30,2011-04-30,2012-04-30,2013-04-30,2014-04-30,2015-04-30,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
