...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2542.21,3394.35,6544.82,13041.09,14712.8,21310.84,30934.97,48145.120000000003,53692.07,65238.09,72079.240000000005,63787.73
　　存放同业和其它金融机构款项,743.04,2602.8000000000002,2389.4299999999998,3805.48,9405.35,18056.09,12821.9,16235.41,62276.49,62233.23,85560.98,84618.38
　　贵金属,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,NA,NA,500,NA,0,3000,61.02,1513.87,1017.29
　　交易性金融资产,NA,NA,NA,NA,3352.3,4524.0600000000004,1026.81,304.89,301.02999999999997,NA,NA,1462.02
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　买入返售金融资产,NA,NA,NA,NA,5780.85,5912.26,30324.84,4274.1899999999996,8929.93,15706.26,25941.59,32252.18
　　应收利息,NA,NA,NA,NA,518.38,594.09,646.28,1030.8,1380.99,2171.79,5379.59,6855.57
　　发放贷款及垫款,NA,NA,NA,NA,48236.93,66998.880000000005,81690.87,96762.45,112271.2,131557.89000000001,155946.85999999999,191531.73
NA,NA,NA,NA,NA,48755.31,67592.97,82337.149999999994,97793.25,113652.19,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,16672.12,14076.6,14680.51,18491.060000000001,22656.21,13069.78,25437.14,27359.93
　　持有至到期投资,NA,NA,NA,NA,11070.81,19767.41,23057.41,28717.79,28050.06,35399.660000000003,40627.47,51761.24
　　长期股权投资,NA,NA,NA,NA,291.99,353.69,408.81,563.96,267.45999999999998,287.18,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,2139.4499999999998,15964.62,25312.59,86122.2,234508.22
　　固定资产,NA,NA,NA,NA,1184.95,2343.04,2388.39,2298.52,2265.9,2326.44,3409.12,4057.42
　　无形资产,10.8,6.09,8.5,38.43,37.119999999999997,46.9,48.14,43.02,28.94,42.77,113.1,126.94
　　递延所得税资产,NA,NA,NA,NA,232.96,63.05,17.72,37.229999999999997,175.55,238.21,141.09,464.89
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　其他资产,NA,NA,NA,NA,3526.77,3603.33,3271.65,2162.91,1981.13,1787.26,1098.26,1824.98
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
资产总计,27095.7,37080.15,55300.9,80939.75,115023.33,158150.25,201318.29,221206.79,313241.58,355432.17,503370.51,701628.5
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,154.81,266.31,117.38,78.239999999999995,15433.72,17964.439999999999,28650.61,13138.46,38553.61,41327.5,92072.92,100617.15
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,6800
　　拆入资金,NA,NA,NA,NA,200,1700,425,1560.41,5620.14,1189.97,3667.72,11370.47
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　卖出回购金融资产款,1648,1900,4882.82,6863.7,7731.6,28067.91,27707.74,19142.509999999998,40773.449999999997,20919.47,42089.97,47085.57
　　吸收存款,NA,NA,NA,NA,81370.25,100676.08,132507.15,171474.49,207987.23,262912.73,315943.78999999998,402379.09
NA,NA,NA,NA,NA,104735.57,148408.43,189290.5,205315.87,292934.43,NA,NA,NA
　　应付职工薪酬,NA,NA,NA,NA,45.67,42.99,3.39,169.11,317.36,323.69,419.32,436.81
　　应交税费,NA,NA,NA,NA,-157.47,-212.6,46.23,130.97999999999999,455.5,622.08000000000004,965.16,1180.9000000000001
　　应付利息,NA,NA,NA,NA,1111.98,1106.6500000000001,1408.61,1553.53,2410.5300000000002,4825.6400000000003,7339.69,9816.6200000000008
　　应付债券,NA,NA,NA,NA,1205.5,1205.5,1200,2100,2100,900,3100,78485.440000000002
　　递延所得税负债,NA,NA,NA,NA,224.08,27.98,0.43,0,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　其他负债,NA,NA,NA,NA,1991.87,1935.83,2247.06,579.62,365.94,940.65,1638.45,1741.51
　　负债合计,27423.439999999999,35697.769999999997,52517.1,77347.320000000007,109157.19,152514.78,194196.2,209849.11,298583.76,333961.73,467237.03,659913.55000000005
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,639.74,1895.42,3000.01,3000.01,3396.01,3396.01,3396.01,3696.01,3696.01,4096.01,5646.01,5796.68
　　资本公积金,3.57,3.57,3.62,3.62,1455.78,907.77,814.95,2268.5100000000002,2022.38,3822.38,11106.92,11855.5
　　减：库存股,NA,NA,NA,NA,4.17,NA,NA,0,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,27.48,-248.7,565.57000000000005,618.04
　　盈余公积金,124.07,124.07,127.82,127.36,173.97,334.85,434.08,874.23,1223.44,1709.16,2733.4,3893.85
　　未分配利润,-1095.1199999999999,-640.69000000000005,-347.64,461.44,442.85,521.12,1872.43,3401.9,6072.63,8358.81,12101.93,12927.82
　　一般风险准备,NA,NA,NA,NA,401.72,475.73,604.62,1117.04,1224.1300000000001,3317.75,3545.73,6176.64
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,NA
　　归属于母公司所有者权益合计,-327.74,1382.37,2783.8,3592.43,5866.14,5635.47,7122.09,11357.68,14266.07,21055.41,35699.550000000003,41268.53
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,0,391.76,415.03,433.93,446.43
　　所有者权益合计,-327.74,1382.37,2783.8,3592.43,5866.14,5635.47,7122.09,11357.68,14657.82,21470.44,36133.49,41714.949999999997
负债及股东权益总计,27095.7,37080.15,55300.9,80939.75,115023.33,158150.25,201318.29,221206.79,313241.58,355432.17,503370.51,701628.5
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-11-21,2008-11-21,2008-11-21,2008-11-21,2010-04-29,2010-04-29,2011-04-20,2014-06-30,2015-11-27,2015-11-27,2015-11-27,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
