...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2539.19,3477.32,4202.18,5024.41,6514.33,7579.74,8617.4699999999993,9701.9,9337.75,9500.99
　　存放同业和其它金融机构款项,1106.6600000000001,1231.4000000000001,2613.7800000000002,2139.39,1649.42,2888.69,2428.7600000000002,3466.38,1459.82,2239.4699999999998
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,25,200,200
　　交易性金融资产,NA,NA,NA,1269.69,325.25,326.27999999999997,811.03,1484.48,1863.8,2950.14
　　买入返售金融资产,NA,NA,350.34,951.29,632.57000000000005,NA,2299.13,616.1,215.5,100
　　应收利息,NA,NA,43.85,53.8,85.61,95.31,133.88999999999999,160.01,237.06,343.45
　　发放贷款及垫款,NA,NA,18024.77,19654.990000000002,22556.33,24348.26,26029.25,29207.57,32447.63,36113.24
NA,NA,NA,18068.62,19708.79,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,755.29,692.26,702.46,757.35,805.03,1103.74,1890.63
　　持有至到期投资,NA,NA,2733.71,1830.22,2384.3000000000002,1899.32,2467.3000000000002,2619.9299999999998,2836.39,3835.84
　　长期股权投资,NA,NA,35.01,35.01,35.01,35.01,35.01,34.01,NA,NA
　　应收款项类投资,NA,NA,NA,200,180,414,832.68,1997.81,4652.83,27826.21
　　固定资产,NA,NA,169.58,176.92,352.4,395.91,510.1,573.62,588.79,624.07000000000005
　　无形资产,NA,NA,NA,NA,114.3,115.82,122.77,123.42,123.5,128.46
　　递延所得税资产,NA,NA,91.41,130.9,156.53,121.37,141.78,138.6,139.35,172.72
　　投资性房地产,NA,NA,85.21,79.61,74.010000000000005,68.42,62.82,53.79,48.58,43.22
　　其他资产,NA,NA,1030.02,1096.68,85.68,60.1,111.03,114.78,514.04999999999995,578.28
资产总计,19636.37,23000.720000000001,29379.85,33398.19,35838,39050.69,45360.37,51122.41,55768.78,86546.72
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,58.34,1.71,1500.34,1500.16,1200.1199999999999,2260.29,2568.36,3233.88,2549,9066.57
　　向中央银行借款,NA,NA,NA,NA,NA,400,410,600,530,640
　　卖出回购金融资产款,NA,500,745,NA,400,300,2104.2600000000002,2328,4064.9,5548.4
　　吸收存款,NA,NA,23557.72,28442.87,31181.56,32550.52,35239.18,39284.49,40226.839999999997,47592.13
NA,NA,NA,25803.06,29943.03,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,NA,NA,7.25,5.86,44.09,52.37,49.96,83.59,68.42,111.08
　　应交税费,82.55,97.09,78.19,47.17,77.38,31.65,65.540000000000006,74.17,35.299999999999997,69.27
　　应付利息,NA,NA,250.74,230.36,267.85000000000002,389.33,506.56,614.86,746.45,825.07
　　应付债券,NA,NA,NA,NA,NA,NA,NA,498.48,2641.34,17726.89
　　递延所得税负债,NA,NA,NA,NA,NA,NA,0.83,NA,4.4800000000000004,25.92
　　预计负债,NA,NA,11.78,18.68,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,1237.67,1059.97,243.44,164.08,1221.96,345.98,542.4,287.47000000000003
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.01
　　负债合计,18888.900000000001,21443.05,27388.69,31305.05,33414.449999999997,36148.239999999998,42166.64,47063.44,51446.69,81943.81
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,556.02,983.65,983.65,983.65,983.65,983.65,983.65,1209.3,1307.6600000000001,1307.6600000000001
　　资本公积金,31.87,245.68,245.68,241.47,233.46,243.34,242.31,633.23,658.58,658.58
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,3.81,29.69
　　盈余公积金,39.43,68.19,77.45,148.54,261.47000000000003,364.5,456.24,544.12,571.85,606.91
　　未分配利润,120.15,260.14,486.38,481.47,646.96,903.78,978.15,1017.08,1012.42,867.25
　　一般风险准备,NA,NA,198,238,298,358,478,598,698,1065.0999999999999
　　归属于母公司所有者权益合计,747.47,1557.67,1991.16,2093.13,2423.5500000000002,2853.28,3138.36,4001.72,4252.3100000000004,4535.1899999999996
　　少数股东权益,NA,NA,NA,NA,NA,49.17,55.38,57.24,69.78,67.72
　　所有者权益合计,747.47,1557.67,1991.16,2093.13,2423.5500000000002,2902.45,3193.73,4058.97,4322.08,4602.91
负债及股东权益总计,19636.37,23000.720000000001,29379.85,33398.19,35838,39050.69,45360.37,51122.41,55768.78,86546.72
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),保留意见,保留意见,保留意见,保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-05-24,2008-05-24,2009-06-15,2010-06-03,2014-05-09,2012-04-28,2013-04-27,2014-04-28,2015-04-20,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
