...1,2006-12-31,2007-12-31,2008-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,857.49,967.45,2912.78,4494.18,4869.5200000000004,7676.76,8040.26,7651.66,7879.06
　　存放同业和其它金融机构款项,69.14,81.27,321.97000000000003,385.36,734.18,1904.54,409.44,987.49,1032.8699999999999
　　交易性金融资产,NA,NA,NA,NA,NA,NA,1730.79,3543.07,6021.68
　　买入返售金融资产,NA,NA,250,NA,300,300,10403.26,7245.34,8571.09
　　应收利息,1.66,21.71,26.54,92.33,47.1,152.91,171.96,273.88,432.43
　　发放贷款及垫款,NA,NA,5337.24,9120.24,11875.68,13465.91,15825.64,18683.32,21558.09
NA,NA,NA,5363.78,9212.57,11922.78,13618.82,15997.599999999999,18957.2,21990.52
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,7.75,7.75
　　持有至到期投资,NA,NA,1740.95,6499.73,4218.72,9351.49,5291.84,4985,5003
　　长期股权投资,4.79,5.89,13.25,18.100000000000001,18.100000000000001,18.100000000000001,318.10000000000002,337.19,193.45
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,426.18,1484.34
　　固定资产,67.63,65.81,87.93,106.17,103.67,107.3,131.58000000000001,122.97,112.32
　　无形资产,2.52,3.61,3.35,6.15,4.7699999999999996,7.66,6.37,4.88,10.09
　　递延所得税资产,NA,NA,NA,NA,32.64,45,63.53,98.47,112.77
　　其他资产,NA,NA,284.73,229.66,983.39,1051.99,NA,0,0
资产差额(特殊报表科目),NA,NA,413,197.52,196.61,125.66,111.27,219.01,277.7
资产总计,5973.24,7871.07,11391.73,21149.439999999999,23384.38,34207.339999999997,42504.02,44586.23,52696.639999999999
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,132.66,334.45,182.01,163.02000000000001,480.3,1062.33,510.04,997.5,932.49
　　向中央银行借款,NA,NA,NA,NA,NA,300,NA,317.88,720
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,100
　　卖出回购金融资产款,NA,NA,900,1000,1984,7598.2,13043.22,11234.99,15002.59
　　吸收存款,NA,NA,9552.94,18690.71,18280.27,22170.66,26336.21,28519.08,31175.61
NA,NA,NA,10634.95,19853.73,20744.57,31131.19,39889.47,41069.449999999997,47930.69
　　应付职工薪酬,NA,NA,3.85,3.71,2.2400000000000002,2.25,5.41,23.94,30.79
　　应交税费,4.28,6.65,6.01,18.53,131.1,168.08,177.78,131.12,57.3
　　应付利息,17.22,29.29,NA,45.88,85.95,161.75,302.82,430.56,543.69000000000005
　　应付债券,NA,NA,NA,110,110,110,110,NA,NA
　　其他负债,NA,NA,382.95,273.23,1100.8599999999999,1079.04,23.8,37.630000000000003,178.74
　　负债差额(特殊报表科目),NA,NA,8.48,28.63,55.21,28.34,33.08,49.47,41.52
　　负债合计,5763.42,7645.29,11036.24,20333.7,22229.919999999998,32680.639999999999,40542.370000000003,41742.160000000003,48782.720000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,164.63,164.63,227.63,300.63,420.88,420.88,420.88,420.88,622
　　资本公积金,NA,0,0,NA,NA,NA,NA,409.23,854.74
　　盈余公积金,25.98,38.54,22.94,54.18,187.82,356.77,500.15,752.15,858.22
　　未分配利润,19.21,22.6,21.1,382.42,445.25,617.52,625.16999999999996,846.35,1163.5
　　一般风险准备,NA,NA,31.5,78.5,100.51,131.53,415.45,415.45,415.45
　　归属于母公司所有者权益合计,209.82,225.77,303.18,815.73,1154.46,1526.7,1961.66,2844.07,3913.92
　　所有者权益合计,209.82,225.77,303.18,815.73,1154.46,1526.7,1961.66,2844.07,3913.92
负债及股东权益总计,5973.24,7871.07,11339.42,21149.439999999999,23384.38,34207.339999999997,42504.02,44586.23,52696.639999999999
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-18,2008-06-18,2009-05-14,2012-04-25,2012-04-25,2013-04-27,2014-04-30,2015-04-30,2016-03-31
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
