...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,5390.99,7543.79,12135.88,15734.35,21462.05,26259.34,24338.75
　　存放同业和其它金融机构款项,2654.84,10135.82,11477.7,12256.25,28743.86,27236.3,12874.45
　　贵金属,NA,NA,NA,9.27,17.690000000000001,10.32,0.43
　　拆出资金,NA,NA,NA,100,3431.16,5983,8359.11
　　交易性金融资产,NA,NA,NA,151.13,NA,1516.21,2114.29
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,5580.73,9063.0400000000009,32291.35,21792.55,14760.75,9071.01
　　应收利息,NA,NA,369.42,716.55,1099.19,1315.83,1217.95
　　发放贷款及垫款,18286.98,21989,31181.42,41894.410000000003,53181.06,70076.94,86501.93
NA,NA,NA,NA,NA,NA,NA,87719.87999999999
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,6466.09,8476.7000000000007,11328.08,19908.04,27830.27
　　持有至到期投资,NA,NA,6925.67,6389.49,5110.49,5025.01,6019.33
　　长期股权投资,5404.82,7425.65,431.08,471.26,462.41,380.02,361.44
　　应收款项类投资,118.93,NA,3308.32,7394.11,14477.15,28295.69,47683.33
　　固定资产,551.38,839.12,1309.1600000000001,1971.59,2025.03,2136.17,3498.52
　　无形资产,196.96,195.64,205.49,202.15,307.25,323.37,357.89
　　商誉,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,6.09,NA,130.58000000000001,103.58,275.3,294.67,369.93
　　投资性房地产,NA,NA,NA,13.77,12.65,11.44,1.07
　　其他资产,NA,NA,79.58,194.85,166.7,657.44,169.99
资产差额(特殊报表科目),123.98,456.2,NA,49.45,67,59.39,131.69999999999999
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
资产总计,32734.97,54165.96,83083.42,128420.26,163959.62,204249.92,230901.38
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,323.23,172.84,847.05,13185.83,28661.32,43581.1,48398.05
　　向中央银行借款,NA,NA,NA,70,8,894.25,45.95
　　拆入资金,NA,NA,NA,1960.87,515.04,1207.18,2549.3200000000002
　　交易性金融负债,NA,NA,NA,NA,NA,NA,3.12
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,2200,3031.22,14567.95,25815.32,19767.09,11111.49,10559.56
　　吸收存款,27544.18,37305.379999999997,52884.77,70662.179999999993,96348.91,123935.43,132213.63
NA,30067.41,40509.439999999995,68299.76999999999,111694.2,145300.35999999999,180729.44999999998,193769.63
　　应付职工薪酬,84.14,90.23,184.2,271.43,327.36,552,485.51
　　应交税费,48.15,93.51,145.46,239.78,316.10000000000002,454.73,408.09
　　应付利息,NA,NA,573.69000000000005,1026.94,1786.28,2626.02,3297.17
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,2000,12476.4
　　递延所得税负债,NA,NA,23.69,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,NA,123.94,277.33999999999997,585.79999999999995,486.95,823.58
　　负债差额(特殊报表科目),428.98,730.34,NA,NA,NA,18.399999999999999,17.25
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
　　负债合计,30628.68,41423.519999999997,69350.759999999995,113509.69,148315.9,186867.55,211277.62
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,933.39,3000,3000,3000,3000,3000,3000
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,302.01,8525.3700000000008,8552.98,8723.81,8406.68,8577.65,8578.49
　　减：库存股,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,345.87,680.61
　　盈余公积金,285.64999999999998,406.23,601.54999999999995,739.58,961.29,1209.8800000000001,1474.95
　　未分配利润,350.86,530.73,1077.97,1375.2,1602.35,1938.98,2163.04
　　一般风险准备,234.38,280.11,372.09,921.18,1470.55,2045.27,2771.17
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,2106.29,12742.44,13604.59,14759.77,15440.87,17117.66,18668.25
　　少数股东权益,NA,NA,128.07,150.80000000000001,202.86,264.70999999999998,955.5
　　所有者权益合计,2106.29,12742.44,13732.66,14910.57,15643.73,17382.37,19623.759999999998
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,32734.97,54165.96,83083.42,128420.26,163959.62,204249.92,230901.38
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-04-30,2011-04-30,2012-04-30,2013-04-30,2014-04-30,2015-04-27,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
