...1,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,1880.51,2025.83,1240.53
　　存放同业和其它金融机构款项,NA,NA,332.59,1181.06,1225.3399999999999
　　拆出资金,NA,NA,6212.03,10277.74,7109.66
　　交易性金融资产,NA,NA,694.6,97.92,18.03
　　衍生金融资产,NA,NA,457,899.89,411.87
　　应收利息,NA,NA,83.42,97.34,82.04
　　发放贷款及垫款,6833.25,4646.88,4763.3500000000004,5852.15,2291.37
NA,6833.25,4646.88,4846.7700000000004,NA,NA
　　可供出售金融资产,NA,NA,1972.41,1549.58,2308.7399999999998
　　固定资产,NA,NA,32.61,21.67,14.87
　　递延所得税资产,NA,NA,67.83,126.84,74.180000000000007
　　其他资产,21573.39,18396.2,187.49,116.95,97.35
资产总计,28406.639999999999,23043.08,16683.830000000002,22246.959999999999,14873.99
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,632.28,401.35,2460.3000000000002
　　拆入资金,NA,NA,2301.16,6495.34,1208.6099999999999
　　交易性金融负债,NA,NA,1275.32,2247.5,228.65
　　衍生金融负债,NA,NA,448.39,1124.3800000000001,428.16
　　卖出回购金融资产款,NA,NA,NA,NA,683
　　吸收存款,10523.22,8588.66,6550.74,6703.52,4606.57
NA,10523.22,8588.66,11207.89,16972.09,9615.2900000000009
　　应付职工薪酬,NA,NA,55.05,44.44,26.73
　　应交税费,NA,NA,87.41,130.63,-30.34
　　应付利息,NA,NA,50.69,59.84,80.34
　　其他负债,13484.06,9658.26,499.49,383.74,325.64
　　负债合计,24007.279999999999,18246.919999999998,11900.54,17590.73,10017.67
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,NA,NA,4500,4500,4500
　　资本公积金,NA,NA,9.6199999999999992,-1.42,9.7799999999999994
　　其它综合收益,NA,NA,NA,NA,-1066.9000000000001
　　盈余公积金,NA,NA,120.06,122.81,141.34
　　未分配利润,NA,NA,811.95,781.47,948.24
　　一般风险准备,NA,NA,268.61,323.85000000000002,323.85000000000002
　　外币报表折算差额,NA,NA,-926.95,-1070.48,NA
　　归属于母公司所有者权益合计,4399.3599999999997,4796.16,4783.29,4656.2299999999996,4856.32
　　所有者权益合计,4399.3599999999997,4796.16,4783.29,4656.2299999999996,4856.32
负债及股东权益总计,28406.639999999999,23043.08,16683.830000000002,22246.959999999999,14873.99
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,NA,点击浏览,点击浏览,点击浏览
公告日期,2011-04-30,2012-04-30,2013-04-30,2014-04-30,2015-04-30
数据来源,NA,NA,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
