...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1561.43,2319.91,3000.8,3511.09,4169.04,5872.66,7065.89,9148,10503.78,9687.4599999999991
　　存放同业和其它金融机构款项,151.97999999999999,208.77,353.87,528.89,804.66,3676.04,4818.01,4703.13,3162.5,491.61
　　拆出资金,NA,NA,NA,NA,NA,495.1,1996.85,NA,477.28,64.94
　　买入返售金融资产,NA,1095.8399999999999,NA,1032.03,4208.53,5531.54,4794.66,5652.29,2073.46,1619.97
　　应收利息,0.17,36.020000000000003,16.52,22.44,72.709999999999994,102.26,301.75,169.66,177.68,189.14
　　发放贷款及垫款,8081.22,7989.4,7634.06,9844.93,12614.63,15117.87,19994.03,24310.34,27375.62,30865.24
NA,8081.39,8025.42,7650.5800000000008,9867.3700000000008,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,50,50,310,3840,776.19,848.66,50,1958.13,1334.7,870.24
　　持有至到期投资,815.17,966.92,2786.64,1736.5,1741.13,1967.05,2062.5,3190.88,2576.73,4075.75
　　长期股权投资,50,50,60,315.10000000000002,310,330,330,330,195.86,345.96
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,5494.47,13583
　　固定资产,126.1,203.58,277.54000000000002,338.74,450.37,586.47,656.08,1041.18,1084.52,1171.76
　　无形资产,4.7,8.02,20.5,21.92,44.25,62.88,66.42,72.81,77.459999999999994,79.040000000000006
　　递延所得税资产,4.95,3.93,38.36,59.1,55.04,62.91,110.13,181.03,128.94,280.72000000000003
　　其他资产,35.270000000000003,37,73.66,70.59,77.42,160.61000000000001,498.05,524.91,588.16999999999996,870.87
资产总计,10880.99,12969.38,14571.95,21321.33,25323.98,34814.04,42744.35,51282.37,55251.18,64195.67
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,0.34,0.48,3.97,302.49,350.34,2493.77,6376.15,4599.91,4567.8599999999997,9809.0300000000007
　　向中央银行借款,500,450,200,450,450,400,200,600,300,550
　　拆入资金,NA,185.67,208.14,NA,NA,100,22,164.19,961.66,1649.7
　　卖出回购金融资产款,2189.34,2300.2800000000002,200,1102.73,1526.68,3993.66,142.6,1919.91,150,NA
　　吸收存款,7447.14,8821.9699999999993,12567.01,17032.16,20282.12,22240.07,29603.59,34984.89,40189.089999999997,42328.42
NA,10136.82,11758.4,13179.12,18887.38,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,12.85,45.28,24.76,29.52,87.87,135.1,146.30000000000001,166.59,130.97999999999999,183.12
　　应交税费,42.02,83.27,81.93,68.47,115.81,197.28,232.67,215.88,228.15,144.55000000000001
　　应付利息,49.22,67.73,116.49,119.02,120.19,144.41,380.57,300.62,377.43,407.26
　　应付债券,NA,NA,NA,NA,NA,NA,NA,2043.8,2043.8,3062.33
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
　　其他负债,31.83,28.19,61.53,186.45,88.34,113.01,235.14,317.33999999999997,373.17,351.89
　　负债差额(特殊报表科目),NA,200,200,400,300,480,480,500,500,500
　　负债合计,10272.75,12182.88,13663.82,19690.84,23321.34,30297.31,37819.01,45813.11,49822.15,58987.91
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,414.78,414.78,414.78,600,600,1000,1000,2000,2000,2000
　　资本公积金,7.21,7.21,7.21,470.27,470.27,2070.27,2070.27,1070.27,1078.94,1070.27
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-0.37,4.8
　　盈余公积金,39.85,67.66,95.47,126.53,185.81,255.48,322.82,383.4,447.55,463.76
　　未分配利润,84.78,235.23,292.43,326.77999999999997,603.63,905.15,1152.97,1333.59,1346.61,1150.77
　　一般风险准备,61.63,61.63,98.24,106.92,106.92,139.62,185.38,227.6,413.55,490.56
　　归属于母公司所有者权益合计,608.24,786.51,908.13,1630.49,1966.62,4370.51,4731.4399999999996,5014.8500000000004,5286.28,5180.17
　　少数股东权益,NA,NA,NA,NA,36.01,146.21,193.9,454.4,142.75,27.59
　　所有者权益合计,608.24,786.51,908.13,1630.49,2002.64,4516.7299999999996,4925.34,5469.25,5429.04,5207.75
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,0,NA,NA
负债及股东权益总计,10880.99,12969.38,14571.95,21321.33,25323.98,34814.04,42744.35,51282.37,55251.18,64195.67
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-04-29,2008-04-29,2009-05-22,2010-04-30,2011-04-29,2012-04-27,2013-04-26,2014-04-28,2015-04-28,2016-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
