...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3199.98,3294.39,5839.36,6850.38,10508.77,13130.66,17455.8,20298.52,22643.95,25815.91,23953.06
　　存放同业和其它金融机构款项,1253.29,243.02,252.06,505.43,192,6166.72,9414.1200000000008,15135.24,11150.36,8585.42,28771.14
　　拆出资金,264.95999999999998,230.95,185.91,185.85,462.77,421.77,220.53,NA,213.39,465.3,1264.3
　　交易性金融资产,NA,NA,NA,1094.74,5756.31,59.22,856.05,5936.8,1927.12,322.97000000000003,932.68
　　买入返售金融资产,NA,NA,NA,3488.56,2413.96,7329.56,9041.7199999999993,4066.31,10125.200000000001,10144.56,14332.88
　　应收利息,10.24,3.65,2.85,89.48,143.72999999999999,215.31,234.25,535.09,478.38,491.99,632.35
　　发放贷款及垫款,19956.88,23511.26,25160.080000000002,26055.15,30113.99,36800.6,43399.67,51159.14,60086.29,70475.75,83535.83
NA,19967.120000000003,23514.91,25162.93,26144.63,30257.72,37015.909999999996,43633.919999999998,51694.229999999996,60564.67,70967.740000000005,84168.180000000008
　　可供出售金融资产,NA,NA,NA,1002.06,NA,965.36,3393.93,3992.68,10531.16,20771.04,37770.11
　　持有至到期投资,NA,NA,NA,10872.84,11242.4,12823.47,14779.74,19762.34,15287.48,12840.8,9731.31
　　长期股权投资,2921.48,3977.9,3329.69,27.09,18.600000000000001,18.05,18.05,8,8,100,101.64
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7617.46
　　固定资产,242.78,250.55,232.98,214.16,200.96,349.64,184.04,551.62,579.62,613.49,600.41
　　无形资产,8.2899999999999991,8.0500000000000007,7.81,7.57,7.33,7.1,6.91,NA,39.53,38.299999999999997,37.049999999999997
　　递延所得税资产,NA,NA,NA,NA,8.36,4.2300000000000004,1.79,252.96,270.82,260.92,379.26
　　其他资产,NA,NA,NA,-194.16,-144.75,-154.26,3346.43,309.94,339,355.48,364.13
资产差额(特殊报表科目),2715.36,6822.58,6049.54,1465.74,1722.51,2746.65,NA,40.76,NA,NA,NA
资产差额(合计平衡项目),80,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
资产总计,30653.26,38342.36,41060.28,51664.9,62646.92,80884.06,102353.06,122049.41,133680.29999999999,151281.93,210023.6
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,82.37,16.91,210.09,NA,NA,NA,10859.34,18138.73,7996.34,6751.36,10068.94
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,NA,34,400,430
　　拆入资金,NA,NA,NA,NA,NA,1331.13,657.52,NA,3009.97,NA,2000
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,868.11,NA,NA,NA
　　卖出回购金融资产款,NA,NA,NA,7972.51,5177.92,8174.51,5927.29,5470,9941.64,8138.56,13572.84
　　吸收存款,26883.01,32412.73,32982.370000000003,40239.64,52516.15,65547.31,76434.22,89452.97,102603.23,111975.3,121709.22
NA,26965.379999999997,32429.64,33192.46,48212.15,57694.07,75052.95,93878.37,113929.81,123585.18,127265.22,147781
　　应付职工薪酬,39,47.02,50.53,78.25,61.95,98.26,145.16999999999999,154.31,134.19,63.62,88.61
　　应交税费,16.02,51.52,106.68,142.66999999999999,64.12,87.02,125.04,134.18,164.71,193.59,206.41
　　应付利息,88.53,148.58000000000001,240.54,308.27999999999997,361.4,408.4,423.76,776.8,1130.08,1543.55,1731.69
　　应付债券,NA,NA,NA,NA,NA,NA,NA,NA,NA,9753.64,45043.77
　　递延所得税负债,NA,NA,NA,2.92,2.5,6.16,1.04,NA,NA,NA,NA
　　其他负债,NA,NA,NA,NA,NA,NA,2534.2399999999998,280.14,375.56,2636.22,753.24
　　负债差额(特殊报表科目),2122.6,3662.4,5545,1090.01,595.86,768.71,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
　　负债合计,29231.52,36339.17,39135.21,49834.28,58779.9,76421.509999999995,97107.61,115275.23,125389.72,141455.85999999999,195604.72
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1191.3499999999999,1685.75,1685.75,1685.75,3000,3000,3000,3000,3000,3000,4000
　　资本公积金,NA,4.9400000000000004,4.9400000000000004,6.46,12.98,-7.72,-0.38,11.95,136.74,133.51,2133.6999999999998
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.93,62.24
　　盈余公积金,115.87,130.76,141.52000000000001,152.75,139.25,210.84,293.5,413.67,565.17999999999995,734.36,924.11
　　未分配利润,114.53,191.15,112.34,13.94,715.9,825.24,1292.25,2550.4499999999998,3150.07,4385.74,5501.6
　　一般风险准备,NA,NA,NA,NA,27.44,463.32,655.73,792.92,1379.33,1487.66,1730.27
　　外币报表折算差额,NA,-9.4,-19.489999999999998,-28.89,-29.01,-33.270000000000003,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,1421.74,2003.2,1925.07,1830.02,3866.56,4458.41,5241.1000000000004,6768.98,8231.32,9763.2099999999991,14351.92
　　少数股东权益,NA,NA,NA,0.6,0.46,4.1399999999999997,4.3499999999999996,5.19,59.26,62.86,66.959999999999994
　　所有者权益合计,1421.74,2003.2,1925.07,1830.62,3867.03,4462.5600000000004,5245.45,6774.17,8290.58,9826.06,14418.88
负债及股东权益总计,30653.26,38342.36,41060.28,51664.9,62646.92,80884.06,102353.06,122049.41,133680.29999999999,151281.93,210023.6
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-01-04,2011-01-04,2011-01-04,2011-01-04,2011-01-04,2011-04-28,2012-04-28,2015-06-11,2015-06-11,2015-06-11,2016-04-29
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
