...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3885.7,6069.6,8923.42,8820.89,12602.14,17436.32,21792.31,21601.35,26137.67,29490.959999999999
　　存放同业和其它金融机构款项,1808.3,1265.3599999999999,707.98,1057.3599999999999,3102.44,8455.4699999999993,11633.24,10722.23,11406.99,4218.8900000000003
　　贵金属,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　拆出资金,24.33,24.33,NA,2.96,NA,NA,NA,NA,NA,100
　　交易性金融资产,411.84,1066.96,966.89,1805.83,2705.16,4276.22,3594.4,3692.84,2956.65,1072.74
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,1000,NA,3530,3080,1455.6,2965,550,2138.6,6020
　　应收利息,55.4,62.75,175.38,182.46,222.31,261.20999999999998,475.35,611.30999999999995,873.12,1130.27
　　发放贷款及垫款,16716.990000000002,18462.73,20233.990000000002,24277.69,29976.32,36505.730000000003,45384.66,55285.23,67785.69,80213.87
NA,16772.390000000003,18525.48,20409.370000000003,24460.149999999998,30198.63,36766.94,45860.01,55896.54,68658.81,81344.14
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,1503.17,1814.25,3117.46,5372.93,7699.21,9875.11,10161.68,9931.93,11935.88,48976.43
　　持有至到期投资,2042.29,1875.49,3443.22,3087.85,2571.52,2172.96,7037.11,12347.8,19008.560000000001,37108.46
　　长期股权投资,8.6,8.6,13.61,13.62,13.4,13.4,NA,NA,NA,NA
　　应收款项类投资,NA,544.54,121.59,208.78,263.41000000000003,470,869,5317,10438.6,25514.35
　　固定资产,434.06,411.29,408.23,388.78,435.77,460.77,640.25,958,1304.79,1304.3399999999999
　　无形资产,2.11,1.62,1.25,5.8,14.34,15.84,15.86,50.99,50.09,49.19
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,423.22,308.62,390.9,298.52,411.47,377.27,381.15,555.44000000000005,544.08000000000004,807.31
　　投资性房地产,30.79,26.68,25.46,37.47,40.81,37.94,33.51,NA,NA,NA
　　其他资产,278.60000000000002,304.32,342.69,368.32,305.95999999999998,252.63,735.86,925,1518.8,2189.75
资产差额(特殊报表科目),756.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
资产总计,28381.89,33247.14,38872.089999999997,49459.27,63444.25,82066.460000000006,105719.38,122549.12,156099.53,238196.55
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,626.16999999999996,561.67999999999995,44.62,18.73,10.11,320.64999999999998,528,533.77,6988.75,8742.16
　　向中央银行借款,450,NA,NA,NA,NA,NA,NA,100,200,230
　　拆入资金,NA,10,50,50,100,50,2827.43,NA,NA,NA
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,NA,305.31,650,2390,3384.92,595.28,2583.35,1960
　　吸收存款,25913.62,30590.74,36363.29,45946.65,57722.53,71524.23,88241.02,109639.65,130451.82,180987.01
NA,26989.79,31162.420000000002,36457.910000000003,46320.69,58482.64,74284.87999999999,94981.37000000001,110868.7,140223.92000000001,191919.17
　　应付职工薪酬,104.96,120.75,113.59,85.41,134.36000000000001,293.3,442.27,415.32,488.49,476.46
　　应交税费,185.06,182.04,176.01,30.18,34.31,41.48,50.24,22.21,41.17,149.54
　　应付利息,91.08,120.64,203.19,215.01,295.27999999999997,448.19,790.68,967.35,1456.46,1787.63
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,592.80999999999995,594.62,1790.1,1792.65,2786.64,28078.85
　　递延所得税负债,0.71,10.47,32.880000000000003,0.3,NA,12.16,7.61,NA,11.26,144.93
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA,10.5,NA
　　其他负债,157.80000000000001,559.6,267.64,124.19,171.25,1052.6099999999999,979.34,524.83000000000004,369.88,1506.08
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,27529.41,32155.919999999998,37251.22,46775.77,59710.65,76727.23,99041.63,114591.08,145388.32,224062.67
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1032.6199999999999,1159.6199999999999,1159.6199999999999,1466.62,1663.29,1798.59,1798.59,1798.59,1798.59,1798.59
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,165.79,173.81,240.17,655.73,810.72,1228.24,1246.22,1246.22,1246.22,1246.22
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,-53.46,-384,33.770000000000003,432.35
　　盈余公积金,12.38,12.38,33.25,74.209999999999994,154.37,270.5,427.94,607.80999999999995,850.17,1170.47
　　未分配利润,-377.41,-273.69,168.74,368.83,745.32,1629.31,2741.56,3666.6,5454.93,7843.82
　　一般风险准备,19.100000000000001,19.100000000000001,19.100000000000001,118.1,359.9,366.39,475.57,976.6,1165.82,1462.61
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,852.48,1091.22,1620.87,2683.5,3733.61,5293.04,6636.43,7911.83,10549.5,13954.06
　　少数股东权益,NA,NA,NA,NA,NA,46.19,41.32,46.21,161.71,179.82
　　所有者权益合计,852.48,1091.22,1620.87,2683.5,3733.61,5339.23,6677.75,7958.04,10711.21,14133.88
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
负债及股东权益总计,28381.89,33247.14,38872.089999999997,49459.27,63444.25,82066.460000000006,105719.38,122549.12,156099.53,238196.55
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-05-27,2010-05-27,2010-05-27,2010-05-27,2011-04-28,2014-06-30,2015-07-01,2015-07-01,2015-07-01,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
