...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,725.78,1401.83,2734.03,3281.21,5078.01,8667.48,13018.64,12367.89,12909.51,11902.73
　　存放同业和其它金融机构款项,30,NA,NA,78.92,1329.26,5582.77,8712.94,2063.35,705.32,311.73
　　拆出资金,NA,NA,15.3,15.3,NA,NA,NA,NA,NA,NA
　　交易性金融资产,NA,NA,NA,NA,NA,NA,NA,1562.31,283.43,1764.97
　　买入返售金融资产,NA,NA,NA,1320,6277.24,4294.5200000000004,3620,7164.86,2939.05,1747.29
　　应收利息,NA,NA,19.8,23.9,105.85,171.93,221.74,227.51,331.78,373.74
　　发放贷款及垫款,NA,NA,5631.16,8437.7999999999993,10507.27,12710.17,15271.1,18096.3,25377.55,31085.61
NA,NA,NA,5650.96,8461.6999999999989,10613.12,12882.1,15492.84,18323.809999999998,25709.329999999998,31459.350000000002
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,136.78,3387,5219.7700000000004
　　持有至到期投资,NA,NA,980.26,1774.73,7860.06,8889.48,8294.01,7212.94,6935.74,6933.37
　　长期股权投资,NA,NA,14.6,7.5,7.5,7.5,7.5,7.5,NA,NA
　　应收款项类投资,NA,NA,NA,NA,750.15,5481.13,11512.89,14393.85,14023.37,17854.72
　　固定资产,141.85,145.29,42.07,69.38,232.34,364.58,552.64,788.73,1224.22,1086.3900000000001
　　无形资产,427.96,432.58,0.03,42.21,42.75,43,65.97,69.36,108.1,116.04
　　递延所得税资产,NA,NA,8.8000000000000007,9.7100000000000009,17.93,31.28,74.59,147.25,219.72,262.12
　　投资性房地产,NA,NA,49.91,48.4,46.88,45.37,43.9,NA,NA,242.27
　　其他资产,NA,NA,571.64,634.63,666.23,1877.04,2855.78,3333.72,4873.62,11014.24
资产总计,5201.8500000000004,7091.48,10067.59,15743.7,32921.47,48166.239999999998,64251.7,67572.36,73318.41,89914.99
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,NA,315.56,NA,300,300.81,2463.42,NA,389.13,3232.16
　　向中央银行借款,NA,NA,NA,NA,NA,NA,18,48,448,848
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,213.39,338.38,45.76
　　卖出回购金融资产款,NA,NA,NA,NA,2485.6999999999998,4019.3,5375.4,4956.88,5002.97,5219.41
　　吸收存款,NA,NA,8790.2199999999993,14292.33,26956.43,38224.86,49702.1,54074.9,56075.15,61663.97
NA,NA,NA,9105.7799999999988,14292.33,29742.13,42544.97,57558.92,59293.17,62253.630000000005,71009.3
　　应付职工薪酬,NA,NA,7.06,3.39,6.24,21.22,32.44,52.96,93.87,101.02
　　应交税费,7.91,19.14,4.8899999999999997,35.119999999999997,70.94,155.25,102.77,201.23,150.86000000000001,172.25
　　应付利息,NA,NA,99.6,80.540000000000006,119.67,207.31,286.02,511.66,649.29999999999995,757.07
　　应付债券,NA,NA,NA,NA,NA,500,500,500,500,1337.68
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,NA,13.46,40.75
　　其他负债,NA,NA,125.25,131.38999999999999,388.45,1622.44,1963.22,2453.87,4292.3999999999996,10456.66
　　负债合计,4870.45,6584.6,9342.58,14542.78,30327.43,45051.199999999997,60443.38,63012.88,67953.5,83874.73
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,330.83,429.33,513.27,654.4,1226.3800000000001,1226.3800000000001,1226.3800000000001,1226.3800000000001,1226.3800000000001,1226.3800000000001
　　资本公积金,0.01,19.71,85.34,268.8,788.52,788.52,786.33,776.43,786.33,786.33
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,40.369999999999997,87.06
　　盈余公积金,1.04,12.37,35.15,71.25,146.33000000000001,273.54000000000002,440.88,624.73,806.58,965.71
　　未分配利润,-0.48,45.47,76.819999999999993,157.19,298.45999999999998,681.67,859.78,1166.3399999999999,1565.22,1812.07
　　一般风险准备,NA,NA,14.44,36.17,119.2,126.89,445.21,705.09,867.02,1082.6199999999999
　　归属于母公司所有者权益合计,331.4,506.88,725.01,1187.82,2578.89,3097,3758.58,4498.96,5291.91,5960.17
　　少数股东权益,NA,NA,NA,13.1,15.15,18.04,49.74,60.52,73,80.09
　　所有者权益合计,331.4,506.88,725.01,1200.92,2594.04,3115.04,3808.32,4559.4799999999996,5364.9,6040.26
负债及股东权益总计,5201.8500000000004,7091.48,10067.59,15743.7,32921.47,48166.239999999998,64251.7,67572.36,73318.41,89914.99
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-04,2008-06-04,2009-06-04,2011-12-06,2011-05-16,2012-04-06,2013-04-18,2014-04-22,2015-04-28,2016-06-03
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
