...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3869.44,6349.12,8980.0400000000009,11581.57,19992.189999999999,15857.27,13955.37,12413.98
　　存放同业和其它金融机构款项,1800,152.34,267.12,1130.33,1181.73,5648.14,5568.25,1546.65
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,1100
　　交易性金融资产,NA,NA,NA,NA,NA,NA,2185.7800000000002,5410.8
　　买入返售金融资产,NA,NA,NA,NA,NA,1795.8,2280,1500
　　应收利息,4.4800000000000004,9.1199999999999992,36.33,57.25,117.05,176.61,345.15,302.35000000000002
　　发放贷款及垫款,11052.93,15249.56,18636.07,22735.61,27733.24,31710.46,36827.120000000003,40278.25
NA,11057.41,15258.68,18672.400000000001,22792.86,27850.29,NA,NA,NA
　　持有至到期投资,1449.82,2705.25,3044,7404.31,3645.28,3068.22,2693.14,3535.38
　　长期股权投资,8,8,56.05,8,8,8,8,8
　　应收款项类投资,NA,NA,NA,NA,5679.21,11806.28,12378.43,22238.07
　　固定资产,343.11,356.14,563.41,607.61,1396.11,1509.12,1203.06,877.05
　　无形资产,6.49,11.43,8.66,12.64,14.55,15.64,14.43,22.2
　　递延所得税资产,128.21,153.79,166.29,136.15,148.44999999999999,160.26,238.55,342
　　投资性房地产,13.82,23.71,NA,NA,NA,NA,NA,NA
　　其他资产,24.38,11.5,46.85,220.83,584.12,2675.99,3883.85,3004.74
资产差额(特殊报表科目),140.29,231.45,943.59,988.59,NA,NA,NA,NA
资产总计,18840.98,25261.39,32748.41,44882.89,60499.92,74431.78,81581.14,92579.46
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,18.38,0.01,30.68,102.92,257.68,288.85000000000002,680.89,6539.93
　　向中央银行借款,NA,NA,NA,NA,NA,NA,500,500
　　拆入资金,NA,NA,NA,NA,NA,NA,3.88,4.96
　　卖出回购金融资产款,NA,NA,NA,NA,NA,NA,794,2446
　　吸收存款,17353.12,22816.5,29657.33,39861.919999999998,54084.66,64065.71,67020.210000000006,70254.3
NA,17371.5,22816.51,NA,NA,NA,NA,NA,NA
　　应付职工薪酬,0.81,0.33,0.96,5.82,75.790000000000006,81.88,62.96,60.16
　　应交税费,56.38,57.41,70.45,124.41,133,115.07,210.97,192.15
　　应付利息,180.59,138.5,177.87,244.95,457.27,755.94,926.63,1036.54
　　应付债券,NA,NA,NA,595.79999999999995,600,600,1096.3599999999999,1596.73
　　递延所得税负债,NA,NA,NA,NA,NA,NA,NA,28.78
　　其他负债,86.28,46.59,95.33,211.06,321.05,2579.8000000000002,3772.5,2920.88
　　负债差额(特殊报表科目),40.909999999999997,33.75,79.63,46.3,NA,NA,NA,NA
　　负债合计,17736.46,23093.09,30112.26,41193.17,55929.46,68487.259999999995,75068.41,85580.43
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,803.01,1619.01,1729.01,2019.01,2239.0100000000002,2639.01,2639.01,2639.01
　　资本公积金,0.7,0.7,99.7,389.7,609.70000000000005,1039.7,1039.7,1039.7
　　盈余公积金,56.86,59.15,296.08999999999997,497.85,615.99,768.29,931.32,1090.49
　　未分配利润,243.95,362.94,274.85000000000002,334.16,411.74,505.41,581.62,587.9
　　一般风险准备,NA,126.5,236.5,326.5,552.02,832.02,1141.24,1454.72
　　归属于母公司所有者权益合计,1104.51,2168.3000000000002,2636.15,3567.21,4428.46,5784.44,6332.88,6811.82
　　少数股东权益,NA,NA,NA,122.51,142.01,160.09,179.85,187.21
　　所有者权益合计,1104.51,2168.3000000000002,2636.15,3689.72,4570.47,5944.52,6512.73,6999.03
负债及股东权益总计,18840.98,25261.39,32748.41,44882.89,60499.92,74431.78,81581.14,92579.46
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2011-12-21,2011-12-21,2011-12-21,2012-04-27,2013-04-24,2014-04-28,2015-04-28,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
