...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3390.08,5532.57,6225.32,6843.31,10119.64,12375.95,18435.84,22980.12,33854.83,33008.31
　　存放同业和其它金融机构款项,361.26,59.13,5,313.42,33.39,52.22,2084.5100000000002,6196.05,1835.24,7679.08
　　拆出资金,654.16,654.16,250.44,NA,NA,NA,NA,886,NA,5519.56
　　交易性金融资产,297.27,622.9,1969.58,4169.08,6071.7,4149.88,6704.53,7990.37,10967.37,13001.52
　　买入返售金融资产,50,NA,189.8,NA,1031.93,NA,2181.3200000000002,7267.35,6575.52,9716.31
　　应收利息,22.16,20.79,106.06,133.63,177.74,223.09,416.31,711.94,962.48,NA
　　发放贷款及垫款,11178.21,13286.92,15750.27,19635.62,26218.67,36717.480000000003,49153.25,61535.98,76226.19,91604.44
NA,11200.369999999999,13307.710000000001,15856.33,19769.25,26396.41,36940.57,49569.56,62247.920000000006,NA,NA
　　可供出售金融资产,NA,304.56,852.85,1085.1600000000001,1404.47,1799.75,2906.08,588.08000000000004,3965.18,11206.01
　　持有至到期投资,2318.88,3172.52,3337.91,4703.5200000000004,6408.27,14226.45,7097.53,16730.400000000001,22064.639999999999,23901.91
　　长期股权投资,9.35,9.35,9.35,18.399999999999999,38.4,66.400000000000006,91.5,127.56,146.11000000000001,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,13173.3,22411.5,45502.36,65105.66
　　固定资产,233.4,288.82,312.73,417.63,704.69,739.77,738.53,926.06,1158.57,1604.56
　　无形资产,17.3,16.91,20.64,20.14,19.64,19,43.62,54.85,85.22,NA
　　递延所得税资产,NA,NA,NA,NA,70.27,98.6,166.6,251.32,338.18,589.14
　　其他资产,6190.32,6415.02,4963.1000000000004,5086.8,5427.92,2016.88,541.1,676.68,607.32000000000005,2490.9699999999998
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,195.63
资产总计,24722.38,30383.62,33993.06,42426.7,57726.73,72485.47,103734.01,149334.28,204289.21,265623.09000000003
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,779.58,208.24,1279.3599999999999,1032.17,1160.1600000000001,1611.23,7927.81,14212.74,32187.31,21453.18
　　向中央银行借款,1772.84,1472.84,1172.8399999999999,870,568.57000000000005,770,NA,175.01,NA,NA
　　拆入资金,208,11,11,11,NA,NA,200,2000,1003.1,5820.24
　　卖出回购金融资产款,600,2072.36,1600,2000,6561.75,5795,11328.31,13490.14,15782.6,19602.599999999999
　　吸收存款,19980.68,24391.56,27171.42,34939.550000000003,44628.800000000003,54976.43,74654.47,102096.8,132561.38,169195.47
NA,23341.1,28156,31234.62,38852.720000000001,52919.28,63152.66,94110.59,131974.69,181534.39,NA
　　应付职工薪酬,7.56,4.1399999999999997,6.69,6.19,9.4499999999999993,2.33,191.22,213.78,294.88,NA
　　应交税费,41.37,39.4,12.03,59.54,68.55,99.45,138.36000000000001,302.66000000000003,260.07,505.82
　　应付利息,35.799999999999997,52.37,88.23,96.97,143,200.4,607.95000000000005,1239.6300000000001,1834.07,NA
　　应付债券,NA,NA,NA,690,690,690,690,5690,8503.83,27039.07
　　递延所得税负债,NA,NA,NA,NA,2.67,14.23,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,48.33,48.33,10.65,5,3.88,NA
　　其他负债,353.11,871.04,800.56,647.70000000000005,1072.25,1996.32,313.89999999999998,372.06,452.51,4182.7
　　负债合计,23778.94,29122.95,32142.13,40353.120000000003,54953.52,66203.73,96062.66,139797.82,192883.63,247799.07
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,763.93,963.93,1433.93,1433.93,1433.93,3941.93,3941.93,3941.93,3941.93,5141.93
　　资本公积金,54.37,54.37,54.37,54.37,65.72,123.94,114.61,77.87,100.33,2662.56
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-25.14,NA
　　盈余公积金,102.49,115.93,134.96,157.22999999999999,221.16,315.39999999999998,465.59,655.78,902.09,1237.79
　　未分配利润,22.64,56.43,227.67,308.06,655.97,1347.28,2116.02,3237.68,4173.17,5634.28
　　一般风险准备,NA,70,NA,120,396.42,553.20000000000005,1033.2,1623.2,2313.1999999999998,3163.2
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,-44.93
　　归属于母公司所有者权益合计,943.44,1260.67,1850.93,2073.59,2773.2,6281.75,7671.35,9536.4699999999993,11405.58,17794.84
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.18
　　所有者权益合计,943.44,1260.67,1850.93,2073.59,2773.2,6281.75,7671.35,9536.4699999999993,11405.58,17824.02
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA,0,NA,NA,NA,NA
负债及股东权益总计,24722.38,30383.62,33993.06,42426.7,57726.73,72485.47,103734.01,149334.28,204289.21,265623.09000000003
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-12-28,2009-12-28,2009-04-30,2010-04-22,2011-04-21,2012-04-28,2013-05-13,2014-04-29,2015-04-30,2016-03-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
