...1,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,300.38,738.47,550.95000000000005,1753.41,5146.09,9865.83,5506.03,6942.12,8576.7099999999991,7878.93,9187.5400000000009,6946.53
　　存放同业和其它金融机构款项,188.01,319.10000000000002,631.86,584.29,1269.23,6681.1,3730.96,6734.13,3228.34,6936.31,3787.11,3572.75
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,NA,4.72,NA,100,NA
　　买入返售金融资产,NA,NA,NA,NA,NA,NA,7350.92,1508.3,2330.2600000000002,2621.65,2149.65,2871
　　应收利息,0.83,NA,0.45,0.02,0.11,2.74,0.5,4.09,14.31,78.05,224.15,297.56
　　发放贷款及垫款,NA,NA,NA,NA,4632.3100000000004,7331.77,9205.16,12610.93,13080.66,12324.31,16557.13,19683.8
NA,NA,NA,NA,NA,4632.42,7334.51,9205.66,12615.02,13094.97,12402.359999999999,16781.280000000002,19981.36
　　持有至到期投资,NA,NA,NA,NA,NA,NA,NA,483.15,795,1043.81,1908.08,3579.38
　　长期股权投资,NA,NA,NA,NA,NA,NA,111.5,126,35,NA,NA,NA
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,2846.36,7870.5,9830.7000000000007,13118.06,20885.07
　　固定资产,NA,NA,10.84,54.21,80.430000000000007,210.02,256.45999999999998,632.73,1136.19,1461.25,1494.84,1530.72
　　无形资产,0.84,1.01,0.93,2.99,5.29,10.210000000000001,23.45,36.58,44.78,51.5,54.22,59.28
　　投资性房地产,NA,NA,NA,NA,0.13,0.12,0.36,0.34,2.99,NA,NA,NA
　　其他资产,0.24,0.02,NA,NA,16.02,14.36,1267,20.54,33.29,73.88,715.84,1962.98
资产总计,1326.26,1692.13,2559.9499999999998,5122.47,11149.61,24116.15,27452.34,31945.27,37152.74,42300.37,49296.62,61389.07
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,0,0,0,0,0,650,600.54,526.77,3764.7,4382.43,7664.73,11032.57
　　向中央银行借款,30,NA,50,NA,NA,NA,NA,25,225,1101.6500000000001,560,259
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,40,100,50,345
　　卖出回购金融资产款,NA,NA,NA,NA,NA,NA,NA,1100.98,476.45,1163.6300000000001,400,2852.97
　　吸收存款,NA,NA,NA,NA,10475.66,21924.65,24772.68,27296.53,28578.33,30675.72,32896.79,38805.33
NA,NA,NA,NA,NA,10475.66,22574.65,25373.22,28949.279999999999,33084.480000000003,37423.43,41571.520000000004,53294.87
　　应付职工薪酬,NA,NA,NA,NA,33.36,63.18,110.83,223.94,167.14,215.91,231.53,198.51
　　应交税费,3.37,5.1100000000000003,3.67,17.34,22.53,60.07,17.989999999999998,51.84,96.78,61.68,25.96,119.14
　　应付利息,3.43,4.12,6.54,9.18,20.07,40.98,57.89,74.37,97.26,155.96,265.36,436.86
　　其他负债,NA,NA,NA,NA,24.48,91.91,112.22,284.55,249.31,179.9,304.82,348.22
　　负债合计,1306.9000000000001,1659.01,2385.4299999999998,4725.03,10576.1,22830.799999999999,25672.15,29583.99,33694.959999999999,38036.870000000003,42399.199999999997,54397.59
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,10.1,10.1,131.49,310.10000000000002,310.10000000000002,610.1,610.1,610.1,610.1,610.1,1610.1,1610.1
　　资本公积金,0.03,0.02,0.02,4.6100000000000003,4.6100000000000003,292.61,292.61,292.61,292.61,292.61,1612.61,1612.61
　　盈余公积金,3.15,4.3600000000000003,7.55,15.73,35.340000000000003,60.39,110.41,170.07,255.4,318.87,346.86,362.35
　　未分配利润,6.08,18.64,21.83,45.74,176.51,246.67,548.01,918.94,1472.24,2041.17,2190.19,2189.48
　　一般风险准备,NA,NA,13.63,21.26,46.95,75.599999999999994,219.05,294.89999999999998,481.66,531.27,617.61,676.5
　　归属于母公司所有者权益合计,19.36,33.11,174.52,397.43,573.51,1285.3599999999999,1780.19,2286.63,3112.01,3794.02,6377.37,6451.03
　　少数股东权益,NA,NA,NA,NA,NA,NA,NA,74.66,345.77,469.48,520.05999999999995,540.45000000000005
　　所有者权益合计,19.36,33.11,174.52,397.43,573.51,1285.3599999999999,1780.19,2361.29,3457.78,4263.5,6897.42,6991.49
负债及股东权益总计,1326.26,1692.13,2559.9499999999998,5122.47,11149.61,24116.15,27452.34,31945.27,37152.74,42300.37,49296.62,61389.07
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,NA,NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-09-18,2008-09-18,2008-09-18,2008-09-18,2009-10-17,2011-06-23,2011-06-23,2012-06-28,2013-04-27,2014-04-26,2015-04-28,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
