...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,4088.12,2657.75,5389.4,7464.93,11271.49,11909.57,17819.43,20895.27
　　存放同业和其它金融机构款项,4056.81,4344.8599999999997,477.76,2188.77,540.75,4301.2700000000004,2046.42,5436.76
　　拆出资金,NA,NA,NA,NA,1645,1894.88,500,2500
　　交易性金融资产,NA,684.87,595.08000000000004,576.16,598.30999999999995,548.75,418.51,344.89
　　买入返售金融资产,504.24,354.63,20801.560000000001,24367.51,16596.5,10982.04,17700.7,16455.7
　　应收利息,13.85,79.94,111.83,153.19999999999999,271.18,379.08,495.82,734.73
　　发放贷款及垫款,3739.62,7941.65,10036.209999999999,13620.53,17481.22,21739.84,26227.15,31602.74
NA,3753.47,8021.5899999999992,10148.039999999999,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,20,57.14,827.47,1823.77,3243.71,6680.58,11342.88
　　持有至到期投资,170.08,809.91,2902.25,2930.81,3711.22,4534.17,4014.47,8124.69
　　长期股权投资,0.65,0.65,0.65,0.65,0.65,0.25,NA,NA
　　应收款项类投资,6208.5,9530,4960,7823.89,11341.09,16418.32,24040.21,33827.01
　　固定资产,92.53,90.37,96.31,210.57,297.95999999999998,326.60000000000002,408.49,430.19
　　无形资产,10.57,15.36,17.97,72.819999999999993,76.72,84.68,107.96,99.03
　　递延所得税资产,3.85,6.43,1.65,20.190000000000001,18.350000000000001,71.8,106.88,146.61000000000001
　　其他资产,45.43,32.840000000000003,107.43,164.28,186.4,320.81,324.95,689.25
资产总计,18934.240000000002,26569.27,45555.24,60421.77,65860.600000000006,76755.759999999995,100891.58,132629.74
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1812.73,1924.12,4506.46,3284.73,1959.35,4070.08,3104.15,8838.2900000000009
　　向中央银行借款,NA,NA,887.85,1090.46,1047.93,1050,743.52,700
　　拆入资金,NA,NA,NA,NA,NA,187.38,52.01,1107.1400000000001
　　卖出回购金融资产款,NA,NA,13201.02,21060.79,14631.52,8533.0499999999993,15138.14,11955.82
　　吸收存款,9398.58,15772.26,20448.38,31387.35,43030.720000000001,56512.85,67854.789999999994,90981.69
NA,11211.31,17696.38,39043.710000000006,NA,NA,NA,NA,NA
　　应付职工薪酬,23.52,26.09,40.619999999999997,97.24,53.89,3.3,1.34,35.9
　　应交税费,73.17,66.86,49.16,72.849999999999994,82.83,104.05,246.7,314.75
　　应付利息,37.64,41.47,83.25,107.82,189.75,261.18,525.48,636.69000000000005
　　应付债券,NA,NA,NA,NA,900,900,3900,5284.79
　　递延所得税负债,NA,NA,NA,0.43,12.25,0.09,13.28,71.819999999999993
　　其他负债,5331.17,6289.67,3606.52,153.21,108.91,198.73,3170.92,2812.69
　　负债合计,16676.8,24120.47,42823.26,57254.87,62017.14,71820.7,94750.34,122739.58
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2011.79,2011.79,2011.79,2011.79,2011.79,2353.8000000000002,2353.8000000000002,3059.93
　　资本公积金,0.1,0.1,0.03,1.39,24.8,-88.67,3.24,1500.26
　　其它综合收益,NA,NA,NA,NA,NA,NA,26.93,191.66
　　盈余公积金,24.55,51.74,88.11,141.44,216.82,317.20999999999998,449.48,615.83000000000004
　　未分配利润,172.01,155.63,234.75,498.73,786.65,1549.32,2067.11,2846.3
　　一般风险准备,48.99,229.55,397.3,513.54,803.41,803.41,1240.69,1676.19
　　归属于母公司所有者权益合计,2257.44,2448.8000000000002,2731.98,3166.9,3843.47,4935.05,6141.24,9890.16
　　所有者权益合计,2257.44,2448.8000000000002,2731.98,3166.9,3843.47,4935.05,6141.24,9890.16
负债及股东权益总计,18934.240000000002,26569.27,45555.24,60421.77,65860.600000000006,76755.759999999995,100891.58,132629.74
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-04-29,2010-04-29,2011-05-05,2012-12-25,2013-04-28,2014-04-30,2015-04-30,2016-04-27
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
