...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2954.58,3566.51,5991.77,7559.94,11126.71,15065.42,19339.86,25243.33,32822.75,35699.089999999997,38201.370000000003
　　存放同业和其它金融机构款项,2757.76,1085.55,4076.55,2716.33,1392.73,1920.8,5696.07,2065.0300000000002,6390.68,2879.28,45856.56
　　拆出资金,105,150,NA,NA,NA,530,3974.5,167.3,1911.38,2586.04,NA
　　交易性金融资产,1120.6099999999999,218.23,100.44,570.51,170.59,414.71,1615.2,2413.85,2009.54,4798.21,2312.59
　　买入返售金融资产,2432,1700.39,1757.57,7365.18,9818.16,15584.24,14669.16,16299.73,23841.4,48944.14,NA
　　应收利息,72.3,94.31,118.5,150.44,241.87,274.19,324.02999999999997,520.13,867.24,1299.5899999999999,NA
　　发放贷款及垫款,14519.62,18517.88,23269.46,28124.58,41495.21,51954.95,62824.93,75256.87,88637.82,104114.76,121816.45
NA,14591.92,18612.190000000002,23387.96,28275.02,41737.08,52229.14,63148.959999999999,NA,NA,NA,NA
　　可供出售金融资产,2029.47,1639.23,1423.09,1982.1,3848.39,4895.18,1414.09,3045.05,4934.1099999999997,10293.700000000001,18970.97
　　持有至到期投资,2945.38,4797.91,7021.26,6996.17,8860.49,9915.01,9720.84,7656.07,7473.24,7297.64,13816.72
　　长期股权投资,29.35,28.2,187.16,184.06,184.06,184.06,205.84,207,47.22,26.41,NA
　　应收款项类投资,NA,NA,NA,NA,2700,6087.07,5768.8,21232.14,35000.559999999998,53388.38,73008.210000000006
　　固定资产,466.5,489.83,477.02,481.75,496.33,543.9,785.42,1015.69,2068.9699999999998,2396.65,2627.01
　　无形资产,2.86,7.66,15.68,16.239999999999998,203.47,204.08,210.52,218.72,232.39,230.61,NA
　　递延所得税资产,195.11,124.72,101.13,149.36000000000001,123.45,158.65,166.53,176.7,305.64999999999998,317.76,505.92
　　投资性房地产,7.28,9.8800000000000008,12.58,11.01,7.19,9.35,9.6999999999999993,9.2899999999999991,7.63,5.03,NA
　　其他资产,519.63,117.96,79.11,134.01,197.72,497.76,491.14,621.59,236.43,253.85,2662.98
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.21
资产差额(合计平衡项目),NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
资产总计,30157.43,32548.26,44631.32,56441.68,80866.38,108239.38,127216.65,156148.49,206787.01,274531.15000000002,319807.99
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,1027.82,1035.08,2570.7800000000002,5064.7,6070.27,12673.73,10452.69,13846.16,22768.27,40696.769999999997,73235.55
　　向中央银行借款,NA,NA,NA,NA,NA,487.1,691.68,1496.86,2458.2199999999998,2918.1,NA
　　拆入资金,36.32,NA,8.5299999999999994,904.83,2100,1309.8699999999999,2627.5,25.14,1054.68,3500,NA
　　卖出回购金融资产款,4433.3,NA,3413.5,3528.66,6709.25,12367.9,14673.7,12290.99,7468.41,34520.86,NA
　　吸收存款,22700.97,28815.22,35331.040000000001,42243.78,59248.21,73856.47,89306.55,114043.18,148801.04,167932.44,199298.7
NA,28198.410000000003,29850.300000000003,41323.85,51741.97,74127.73,100695.07,117752.12,141702.32999999999,182550.62,249568.16999999998,NA
　　应付职工薪酬,46.67,53.25,71.62,152.68,130.6,107.54,122.43,142.02000000000001,175.96,315.18,NA
　　应交税费,59.14,82.8,273.77999999999997,210.98,41.53,121.95,174.07,282.20999999999998,286.61,379.53,271.99
　　应付利息,51.71,65.23,94.83,242.15,261.20999999999998,330.94,648.88,1068.07,1741.43,2392.7800000000002,NA
　　应付债券,NA,NA,NA,NA,993.4,993.97,994.56,1789.89,4777.7700000000004,3785.08,18490.740000000002
　　递延所得税负债,20.399999999999999,22.52,5.63,17.62,1.79,0.54,NA,2.04,NA,NA,NA
　　预计负债,13.8,70.8,NA,7.67,NA,NA,NA,NA,NA,NA,NA
　　其他负债,220.84,230.58,232.85,777.46,1273.99,998.42,1137.02,2914.82,3775.36,2187.4,7218
　　负债合计,28610.97,30375.48,42002.57,53150.52,76830.27,103248.41,120829.08,147901.38,193307.74,258628.12,298514.99
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1607.73,2020.62,2020.62,2020.62,2020.62,2020.62,2020.62,2020.62,2705.23,2705.23,3127.05
　　资本公积金,12.24,21.88,4.7300000000000004,12.13,-17.73,-34.75,-0.28000000000000003,-28.42,2332.65,2444.62,4680.6400000000003
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.61,NA
　　盈余公积金,NA,27.47,83.13,148.63,236.21,344.52,490.83,689.7,922.49,1205.21,NA
　　未分配利润,-73.510000000000005,102.82,492.77,783.89,1375.42,2060.44,3065.6,4554.88,5675.81,6954.92,8148
　　一般风险准备,NA,NA,27.5,325.89999999999998,421.59,600.15,810.8,1010.33,1843.08,2502.4299999999998,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5337.3
　　归属于母公司所有者权益合计,1546.46,2172.7800000000002,2628.75,3291.16,4036.11,4990.97,6387.57,8247.11,13479.27,15903.02,21292.99
　　所有者权益合计,1546.46,2172.7800000000002,2628.75,3291.16,4036.11,4990.97,6387.57,8247.11,13479.27,15903.02,21292.99
负债及股东权益总计,30157.43,32548.26,44631.32,56441.68,80866.38,108239.38,127216.65,156148.49,206787.01,274531.15000000002,319807.99
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-03-25,2009-03-25,2009-03-25,2009-03-25,2010-04-29,2011-04-22,2012-03-08,2013-04-19,2016-02-16,2016-02-16,2016-03-18
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
