...1,2003-12-31,2004-12-31,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,NA,NA,2666.09,4613.54,6028.1,9176.75,13067.07,19996.759999999998,22713.18,23258.58,30170.5,30099.32
　　存放同业和其它金融机构款项,NA,NA,NA,1357.98,287.14,1353.08,904.1,1629.56,4105.97,8759.2000000000007,9359.42,12520.6,14954.99
　　拆出资金,NA,NA,NA,NA,NA,NA,NA,1808.33,NA,NA,1980.59,NA,649.36
　　交易性金融资产,271.7,390,1026.6199999999999,NA,NA,673.76,642.20000000000005,591.61,902.77,324.17,58.5,9990.25,15560.21
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.68
　　买入返售金融资产,NA,NA,NA,NA,NA,552.5,4575.8999999999996,15320.8,2810.6,1147.18,NA,NA,NA
　　应收利息,NA,NA,NA,NA,NA,92.04,92.39,221.11,478.54,536.19000000000005,727.15,1560.16,2571.9699999999998
　　发放贷款及垫款,NA,NA,NA,NA,NA,19721.27,30445.94,40001.919999999998,50655.21,61781.08,76728.789999999994,86548.79,97313.21
NA,NA,NA,NA,NA,NA,19813.310000000001,30538.329999999998,40223.03,51133.75,62317.270000000004,77455.939999999988,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,2864.12,2881.91,3120.46,4261.49,9460.67,14884.22,17256.240000000002,19278.07
　　持有至到期投资,NA,NA,NA,NA,NA,2899.42,3738.75,14516.52,6013.24,7975.47,7587.62,7339.59,7711.33
