...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,6316.13,5800.24,7957.17,12024.28,14504.97,17945.689999999999,22474.29
　　存放同业和其它金融机构款项,800.25,1929.01,9432.2199999999993,2430.79,7513.2,9313.92,11588.59
　　拆出资金,NA,NA,NA,NA,NA,NA,297
　　交易性金融资产,NA,252.62,538.57000000000005,995.85,1388.13,2357.69,20.22
　　买入返售金融资产,1837.59,4545.91,1153.1500000000001,4841.1899999999996,18348.23,18833.75,29494.49
　　应收利息,2.39,79.650000000000006,145.91,190.7,303.42,374.09,367.44
　　发放贷款及垫款,NA,13495.6,19405.27,31310.87,40756.160000000003,51347.77,61350.45
NA,NA,13575.25,19551.18,31501.57,41059.58,51721.859999999993,61717.89
　　代理业务资产,701.08,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,NA,NA,NA,NA,40.74,40.74
　　持有至到期投资,NA,2920.33,5676.4,6134.57,8450.42,8036.38,11805.57
　　长期股权投资,2.76,10.74,10.74,10.74,10.74,NA,NA
　　应收款项类投资,NA,1393,1981.85,8333.5,7673,11837.36,18977.23
　　固定资产,420.53,600.41999999999996,661.05,577.36,726.94,825.35,1197.8699999999999
　　无形资产,447.99,328.13,328.77,428,421.53,419.86,564.55999999999995
　　递延所得税资产,NA,43.3,105.58,178.33,183.57,247.36,418.88
　　其他资产,0,1038.56,3833.18,9214.08,5189.3900000000003,4837.7,1294.9100000000001
资产总计,24121.5,32437.51,51229.88,76670.25,105469.7,126417.65,159892.24
负债：,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,798.58,1631.28,7983.17,6142.78,20317.189999999999,24458.53,11867.8
　　向中央银行借款,NA,30,30,50,50,350,300
　　拆入资金,NA,NA,200,820,NA,102.65,900
　　卖出回购金融资产款,837.59,NA,100,3968.12,6499.1,7403.45,20131.89
　　吸收存款,NA,25677.02,34655.550000000003,51326.09,66580.789999999994,77632.61,100250.09
NA,NA,27338.3,42968.72,62306.99,93447.079999999987,109947.24,133449.78
　　应付职工薪酬,15.59,23.21,78.849999999999994,77.069999999999993,127.6,155.41,236.83
　　应交税费,55.34,153.4,196.54,263.64,271.62,244.47,252.37
　　应付利息,67.47,92.37,145.78,233.27,492.76,807.77,855.09
　　应付债券,NA,NA,NA,NA,NA,1995.74,12316.5
　　递延所得税负债,NA,25.59,23.59,20.64,17.690000000000001,27.81,11.88
　　预计负债,NA,0.1,NA,NA,NA,NA,NA
　　其他负债,NA,1065.79,3704.94,9083.84,5093.49,4685.24,2865.72
　　负债差额(合计平衡项目),NA,0,NA,NA,NA,NA,NA
　　负债合计,20950.060000000001,28698.75,47118.43,71985.440000000002,99450.240000000005,117863.69,149988.16
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA
　　股本,3000,3000,3000,3000,3180,4070.17,4638.87
　　资本公积金,0,252.53,353.78,443.03,524.89,1170.78,1347.51
　　盈余公积金,15.7,34.869999999999997,85.38,156.91,287.02,417.6,526.15
　　未分配利润,155.75,304.20999999999998,475.49,724.87,1314.76,1957.3,2166.11
　　一般风险准备,NA,136.43,182.97,341.85,688.93,909.03,1167.68
　　归属于母公司所有者权益合计,3171.44,3728.03,4097.6099999999997,4666.6499999999996,5995.6,8524.89,9846.32
　　少数股东权益,NA,10.72,13.84,18.16,23.86,29.07,57.76
　　所有者权益合计,3171.44,3738.75,4111.45,4684.8100000000004,6019.46,8553.9599999999991,9904.08
负债及股东权益总计,24121.5,32437.51,51229.88,76670.25,105469.7,126417.65,159892.24
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-03-10,2011-04-29,2012-05-01,2013-04-30,2014-04-30,2015-04-30,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA
