...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1533.09,1632.68,2044.32,2274.59,2698.33,2938.7,3456.04,2604.52,2734.37
　　存放同业和其它金融机构款项,866.62,1085.01,2427.6999999999998,3351.75,1847.79,1996.82,1703.57,1748.96,878.73
　　买入返售金融资产,NA,NA,NA,NA,NA,NA,NA,2392.86,299.14
　　应收利息,3.34,7.69,4.07,2.96,5.45,28.8,26.88,46.75,75.11
　　发放贷款及垫款,NA,NA,5535.73,5641.36,6865.39,7530.65,8706.59,8406.94,9197.85
NA,NA,NA,5539.7999999999993,5644.32,6870.84,7559.45,8733.4699999999993,8453.69,9272.9600000000009
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,NA,303.75
　　持有至到期投资,NA,NA,NA,NA,NA,164.95,95,673.01,543.12
　　长期股权投资,NA,NA,NA,NA,174.89,20,49.3,68.400000000000006,76.63
　　应收款项类投资,NA,NA,NA,NA,NA,NA,1022.04,2426.27,6198.3
　　固定资产,61.08,75.569999999999993,90.55,84.88,91,84.7,76.290000000000006,74.150000000000006,173.68
　　无形资产,NA,NA,NA,NA,0.85,NA,2.5,8.3699999999999992,48.76
　　递延所得税资产,NA,NA,NA,NA,NA,39.28,65.83,77.239999999999995,85.21
　　其他资产,NA,NA,1392.54,853.28,NA,20.170000000000002,50.16,116.32,35.83
资产差额(特殊报表科目),NA,NA,199.59,200.51,519.96,NA,NA,NA,NA
资产总计,8467.76,8974.2800000000007,11694.5,12409.33,12203.66,12824.06,15254.2,18643.8,20650.48
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,17.989999999999998,0.47,0,NA,586.99,177.91,294.20999999999998,3036.61,4044.18
　　　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,300,364
　　　　拆入资金,NA,NA,NA,NA,NA,NA,NA,200,NA
　　　　卖出回购金融资产款,NA,NA,NA,NA,NA,NA,NA,496.15,592.66999999999996
　　吸收存款,NA,NA,9670.19,10888.2,10462.57,11926.81,13206.08,12752.89,13497.28
NA,NA,NA,9670.19,10888.2,11049.56,12104.72,13500.289999999999,16785.650000000001,18498.13
　　应付职工薪酬,NA,NA,3.6,NA,5.5,22.54,40.200000000000003,27.17,25.07
　　应交税费,6.1,5.96,5.52,2.92,7.69,-9.06,51.9,58.94,67.16
　　应付利息,43.59,96.21,127.5,132.94999999999999,196.32,163.61000000000001,265.56,361.03,498.12
　　其他负债,NA,NA,1394.13,856.33,1.31,156.27000000000001,113.48,37.369999999999997,81.69
　　负债差额(特殊报表科目),NA,NA,8.1999999999999993,17.14,361.97,NA,NA,NA,NA
　　负债合计,8025.6,8483.83,11209.13,11897.54,11622.35,12438.07,13971.44,17270.16,19170.16
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,282.75,282.75,327.99,327.99,327.99,327.99,1000,1000,1000
　　资本公积金,16.16,16.16,16.21,16.21,16.21,16.21,16.21,16.21,16.21
其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,4.41
　　盈余公积金,25.34,32.72,41.73,45.73,53.73,4.18,29.53,45.49,65.95
　　未分配利润,110.9,151.81,92.43,114.86,176.38,37.6,237.02,194.91,255.03
　　一般风险准备,7,7,7,7,7,NA,NA,117.03,138.71
　　归属于母公司所有者权益合计,442.16,490.45,485.37,511.79,581.30999999999995,385.99,1282.76,1373.64,1480.32
　　所有者权益合计,442.16,490.45,485.37,511.79,581.30999999999995,385.99,1282.76,1373.64,1480.32
负债及股东权益总计,8467.76,8974.2800000000007,11694.5,12409.33,12203.66,12824.06,15254.2,18643.8,20650.48
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-07-31,2008-07-31,2009-10-28,2010-09-15,2011-05-11,2012-07-25,2013-07-04,2014-05-27,2015-06-25
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
