...1,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,940.08,2014.98,2065.6,3181.18,5296.39,9984.06,11728.61,14442.83,15011.83
　　存放同业和其它金融机构款项,840.24,676.08,1409.35,928.32,1410.14,4030.95,7920.03,2635.45,3058.37
　　拆出资金,NA,NA,25.9,NA,NA,NA,29,20,NA
　　买入返售金融资产,NA,NA,85,260,2184.6,2688.34,3165.22,4064.53,489
　　应收利息,7.55,8.7200000000000006,16.97,22.03,33.99,21.15,14.05,20.78,23.05
　　发放贷款及垫款,NA,NA,5919.66,7230.32,10517.94,14380.83,19530.78,27589.21,35232.31
　　可供出售金融资产,NA,NA,NA,NA,NA,NA,NA,NA,56
　　持有至到期投资,NA,NA,844.06,1999.26,1666.63,3821.73,6287.31,4381.34,5564.87
　　长期股权投资,76,76,91.8,97.8,98.26,98.97,111.69,128.03,74.790000000000006
　　应收款项类投资,NA,NA,NA,NA,NA,NA,NA,13122.72,17531.79
　　固定资产,NA,NA,170.12,162.85,362.02,364.83,700.58,1080.32,1061.54
　　无形资产,9.76,7.28,142.44,139.96,385.13,385.02,299.92,162.18,162.08000000000001
　　递延所得税资产,NA,NA,NA,NA,6.81,0.57999999999999996,0.61,0.96,0.78
　　其他资产,NA,NA,106.92,170.54,336.37,388.5,475.28,430.7,297.61
资产总计,7646.7,8921.5400000000009,10877.81,14192.27,22298.28,36164.959999999999,50263.08,68079.06,78564
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,198.27,340.87,734.44,400.04,114.88,69.62,3005.1,3611.59,7598.08
　　向中央银行借款,NA,NA,NA,NA,533.87,180,195.77,446,310
　　拆入资金,NA,NA,NA,NA,NA,NA,NA,NA,440.74
　　卖出回购金融资产款,130,197.4,NA,995.6,NA,NA,477.5,2439.6,2128.9
　　吸收存款,NA,NA,9394.07,11533.16,19966,32601.53,41520.76,55109.72,57023.42
　　应交税费,1.64,10.88,25.1,36.229999999999997,24.61,29.62,65.84,93.42,94.76
　　应付利息,55.45,88.2,149.68,117.54,157.97999999999999,288.98,432.77,649.6,625.07000000000005
　　应付债券,NA,NA,NA,NA,206.3,206.3,206.3,417.48,3939.01
　　其他负债,NA,NA,25.07,313.12,35.06,608.33000000000004,99.4,43.12,304.94
　　负债合计,7290.86,8428.2999999999993,10328.36,13395.69,21038.71,33984.379999999997,46003.44,62810.53,72464.91
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,342.68,480.18,531.17999999999995,701.18,1014.73,1339.73,2039.73,2239.73,2358.2399999999998
　　资本公积金,NA,NA,NA,NA,37.46,362.46,1342.46,1694.78,1896.24
　　盈余公积金,3.1,NA,3.73,11.85,24.4,56.65,103.65,162.77000000000001,234.21
　　未分配利润,10.06,13.06,14.53,83.55,126.74,365.5,717.57,559.4,695.45
　　一般风险准备,NA,NA,NA,NA,56.24,56.24,56.24,611.85,914.95
　　归属于母公司所有者权益合计,355.84,493.24,549.45000000000005,796.58,1259.57,2180.58,4259.6400000000003,5268.53,6099.1
　　所有者权益合计,355.84,493.24,549.45000000000005,796.58,1259.57,2180.58,4259.6400000000003,5268.53,6099.1
负债及股东权益总计,7646.7,8921.5400000000009,10877.81,14192.27,22298.28,36164.959999999999,50263.08,68079.06,78564
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-06-13,2008-06-13,2010-08-30,2010-08-30,2011-08-08,2012-05-25,2013-04-30,2014-05-24,2015-04-30
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
