...1,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,13646.29,15446.85,20470.27,23907.040000000001,21729.759999999998
　　存放同业和其它金融机构款项,14063.79,14412.87,13441.45,10197.92,11854.59
　　贵金属,NA,NA,NA,NA,NA
　　拆出资金,976.6,NA,NA,400,NA
　　交易性金融资产,NA,NA,NA,NA,NA
　　衍生金融资产,NA,NA,NA,NA,NA
　　买入返售金融资产,491,1551.38,5135.21,6163.55,2499.29
　　应收利息,259.91000000000003,342.1,576.17999999999995,704.24,905.95
　　发放贷款及垫款,48790.55,59621.87,71064.12,82273.03,90141.51
NA,49050.460000000006,NA,NA,NA,NA
　　代理业务资产,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,240.21,2322.62,3978.02,14908.35
　　持有至到期投资,5726.44,6501.51,6820.04,7432.33,10918.17
　　长期股权投资,5.2,5.2,5.2,NA,NA
　　应收款项类投资,NA,NA,1844.3,5949.39,6674.97
　　固定资产,1399.4,2697.7,3153.87,3198.5,3512.2
　　无形资产,NA,70.97,63.75,56.54,49.32
　　商誉,NA,NA,NA,NA,NA
　　递延所得税资产,298.83,535.15,614.05999999999995,627.91,556.04999999999995
　　投资性房地产,3.3,4.33,3.81,1.1399999999999999,0.92
　　其他资产,90.08,123.32,104.68,203.49,1134.46
资产差额(特殊报表科目),NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA
资产总计,85751.37,101553.46,125619.56,145093.07999999999,164885.53
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,55.66,554.52,594.37,3104.52,4273.2700000000004
　　向中央银行借款,200,NA,NA,1100.17,NA
　　拆入资金,12.6,NA,NA,400,2000
　　交易性金融负债,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA
　　卖出回购金融资产款,2192,2023.63,4067.9,4020.7,5908
　　吸收存款,76958.44,86271.76,105960.78,119121.2,129219.14
NA,79418.7,NA,NA,NA,NA
　　应付职工薪酬,757.55,859.34,1146.44,1619.66,1621.38
　　应交税费,542.24,525.71,577.38,761.39,669.04
　　应付利息,1009.25,1547.92,1933.7,2305.09,2804.25
　　代理业务负债,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA
　　递延所得税负债,66.61,57.1,47.34,47.17,3953.18
　　预计负债,NA,NA,3.82,5.29,7.15
　　其他负债,743.23,745.7,752.38,774.65,1135.27
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA
　　负债合计,82537.58,92585.67,115084.12,133259.82,151590.67000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,1093.1300000000001,5000,5000,5000,5000
　　其它权益工具,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA
　　资本公积金,1214.74,2214.9499999999998,2132.48,2214.8000000000002,2214.8000000000002
　　减：库存股,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,12.32,110.03
　　盈余公积金,NA,57.65,222.66,557.99,916.01
　　未分配利润,228.72,518.88,1921.98,2085.4499999999998,2816.15
　　一般风险准备,677.21,1176.31,1258.31,1962.69,2237.88
　　外币报表折算差额,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,3213.8,8967.7900000000009,10535.44,11833.26,13294.86
　　少数股东权益,NA,NA,NA,NA,NA
　　所有者权益合计,3213.8,8967.7900000000009,10535.44,11833.26,13294.86
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA
负债及股东权益总计,85751.37,101553.46,125619.56,145093.07999999999,164885.53
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),带强调事项段的无保留意见,带强调事项段的无保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2015-09-10,2015-09-10,2015-09-10,2015-09-10,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
