...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,NA,5869.06,9255.8799999999992,14785.69,20071.73,20870.66,23609.59,19920.3
　　存放同业和其它金融机构款项,NA,324.64999999999998,1084.01,1710.48,3586.04,2480.81,2018.83,3585.27
　　贵金属,NA,NA,NA,NA,NA,1.32,17.170000000000002,16.989999999999998
　　拆出资金,NA,169,353.07,2070.6799999999998,1062.6500000000001,700,1156.49,1108.1400000000001
　　交易性金融资产,NA,80.459999999999994,NA,NA,283.75,184.5,190.19,297.60000000000002
　　衍生金融资产,NA,NA,NA,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,7725.78,11357.33,4222.88,5857.21,8207.8799999999992,2697.63,2516.98
　　应收利息,NA,181.7,278.43,541.26,612.91,708.2,937.26,1090.55
　　发放贷款及垫款,NA,21973.98,27035.49,33283.25,44495.6,54105.93,61248.34,70655.22
NA,NA,22155.68,27313.920000000002,33824.51,45108.51,54814.13,62185.599999999999,71745.77
　　代理业务资产,NA,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,1316.89,1536.36,5066.1899999999996,9462.26,6053.61,14122.54,17120.79
　　持有至到期投资,NA,4102.5,9697.89,13215.51,13362.9,18905.990000000002,19721.43,22575.279999999999
　　长期股权投资,NA,23.25,23.25,23.25,23.25,23.25,NA,NA
　　应收款项类投资,NA,NA,1427.62,1046.93,562.44000000000005,20469.689999999999,27209.06,44786.79
　　固定资产,NA,229.25,566.78,616.27,606.91,758.98,865.54,1021.16
　　无形资产,NA,9.77,19.22,56.67,66.55,104.94,176.87,226.23
　　商誉,NA,NA,NA,NA,NA,NA,NA,NA
　　递延所得税资产,NA,42.19,134.87,175.23,225.8,361.58,337.47,279.39999999999998
　　投资性房地产,NA,NA,NA,NA,NA,NA,NA,NA
　　其他资产,NA,1580.79,167.22,211.39,1378.21,1752.04,1857.54,2034.57
资产差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
资产总计,32520.97,43629.279999999999,62937.42,77025.679999999993,101658.22,135689.37,156165.94,187235.25
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,NA,1700.77,1700.35,1700.13,2817.16,12553.37,20362.59,27335.87
　　向中央银行借款,NA,NA,NA,NA,NA,1024.24,1003.68,528.91
　　拆入资金,NA,772.91,700,1269.03,4261.07,260.33999999999997,1379.84,3051.99
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,3905.78,5995.6,5391.5,10248.01,10130,10069.14,2000
　　吸收存款,NA,32236.33,49538.82,60243.83,75039.960000000006,96283.91,101733.66,115322
NA,NA,38615.79,57934.770000000004,68604.490000000005,92366.200000000012,120251.86,134548.91,148238.76999999999
　　应付职工薪酬,NA,155.35,351.16,414.48,474.07,523.04999999999995,727.39,908.16
　　应交税费,NA,-17.8,101.24,120.39,90.85,184.13,151.46,176.8
　　应付利息,NA,156.61000000000001,182.52,262.13,548.38,1431.26,1966.27,2134.31
　　代理业务负债,NA,NA,NA,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA,4986.74,8335.0300000000007,16314.31
　　递延所得税负债,NA,1.33,NA,NA,NA,NA,NA,NA
　　预计负债,NA,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,599.04999999999995,222.27,665.99,742.09,107.19,652.23,2849.27
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA,NA,NA,NA
　　负债合计,28618.36,39510.32,58791.96,70067.47,94221.59,127484.22,146381.29,170621.6
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,NA,1984.55,1984.55,2555.98,2555.98,2555.98,2555.98,4011.53
　　其它权益工具,NA,NA,NA,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA,NA,NA,NA
　　资本公积金,NA,1357.36,1332.22,2835.09,2759.44,2564.96,2750.18,6708.02
　　减：库存股,NA,NA,NA,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA,NA,103.41,483.12
　　盈余公积金,NA,159.38999999999999,193.83,267.68,359.69,473.88,623.41,804.79
　　未分配利润,NA,377.77,239.4,741.39,893.74,1276.28,1865.05,2215.0100000000002
　　一般风险准备,NA,239.89,395.46,558.07000000000005,867.79,1334.06,1886.63,2391.1799999999998
　　外币报表折算差额,NA,NA,NA,NA,NA,NA,NA,NA
