...1,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,3687.78,4153.1499999999996,6434.84,8856.73,10864.87,13642.64,15104.86,16795.39,16702.43
　　存放同业和其它金融机构款项,454.09,3595.49,2015.54,2301.79,4080.22,5383.1,5147.7,5599.08,5868.35
　　买入返售金融资产,NA,500,500,2023.45,308.64999999999998,NA,1269.3399999999999,NA,NA
　　应收利息,NA,35.33,33.36,26.4,48.23,93.92,130.44,196.58,286.33
　　发放贷款及垫款,NA,11630.87,19187.57,23408.19,27236.55,31545.56,36959.15,41472.5,45310
NA,NA,11666.2,NA,NA,NA,NA,NA,NA,NA
　　可供出售金融资产,NA,369.36,NA,NA,NA,NA,NA,50,NA
　　持有至到期投资,NA,1344.12,5196.12,2448.2399999999998,2973.98,649.61,2005.42,1928.93,2825.23
　　长期股权投资,NA,NA,5.24,81.08,110.66,131.31,153.33000000000001,172.05,185.39
　　应收款项类投资,NA,NA,NA,NA,NA,3120,5990,12660.99,19354.310000000001
　　固定资产,NA,247.05,317.79000000000002,325.57,469.89,493.89,536.87,551.47,697.08
　　无形资产,4.32,7.81,9.3000000000000007,11.3,14.41,14.51,20.79,28.94,26.58
　　商誉,NA,NA,458.3,413.3,368.3,276.3,NA,NA,NA
　　递延所得税资产,NA,84.32,164.82,213.39,266.27,324.02999999999997,438.63,521.37,648.49
　　投资性房地产,NA,156.71,139.05000000000001,135.04,101.19,98.86,96.06,92.87,90.09
　　其他资产,406.46,1092.9100000000001,609.70000000000005,829.07,2092.7199999999998,1583.5,492.35,544.5,1147.1400000000001
资产总计,17146.650000000001,23217.11,35071.620000000003,41073.56,48935.94,57357.23,68344.94,80614.66,93141.42
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,0.13,25.78,25.61,120.61,14.64,67.13,308.25,2425.27,980.52
　　向中央银行借款,NA,NA,NA,NA,NA,NA,NA,570.37,807.8
　　卖出回购金融资产款,0.31,NA,NA,NA,373.58,NA,274.39999999999998,NA,NA
　　吸收存款,NA,20321.16,31419.759999999998,36334.61,42160.84,50692.71,59921.42,68129.27,80078.95
NA,NA,20346.939999999999,31445.37,36455.22,42549.06,50759.839999999997,60504.07,NA,NA
　　应付职工薪酬,NA,11.64,10.56,4.2,8.66,7.95,6.72,5.99,5.56
　　应交税费,46,48.08,58.05,111.69,163.34,212.08,181.41,174.76,208.71
　　应付利息,NA,191.71,276.61,332.12,421.86,742.93,1267.27,1660.02,2219.4699999999998
　　应付债券,NA,NA,NA,NA,695.71,696.02,696.35,696.7,697.08
　　递延所得税负债,NA,1.99,NA,NA,NA,NA,NA,NA,NA
　　其他负债,NA,468.36,198.03,147.16999999999999,646.55999999999995,84.8,108.22,100.43,794.66
　　负债合计,16073.77,21068.71,31988.61,37050.42,44485.18,52503.61,62764.03,73762.820000000007,85792.74
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,790.35,1700.35,2200.35,2500.35,2500.35,2500.35,2700.35,3000.35,3000.35
　　资本公积金,1.29,7.24,1.29,301.29000000000002,301.29000000000002,301.29000000000002,601.29,1051.29,1051.29
　　盈余公积金,94.96,136.44999999999999,239.81,341.62,457.55,587.55999999999995,682.46,836.09,979.05
　　未分配利润,80.72,181.69,437.99,630.15,893.49,937.89,914.87,1062.31,1163.29
　　一般风险准备,105.57,122.66,203.57,249.73,298.07,526.53,681.94,901.8,1154.7
　　归属于母公司所有者权益合计,1072.8800000000001,2148.4,3083.01,4023.14,4450.75,4853.62,5580.91,6851.84,7348.68
　　所有者权益合计,1072.8800000000001,2148.4,3083.01,4023.14,4450.75,4853.62,5580.91,6851.84,7348.68
负债及股东权益总计,17146.650000000001,23217.11,35071.620000000003,41073.56,48935.94,57357.23,68344.94,80614.66,93141.42
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2008-08-15,2011-12-16,2010-06-12,2011-05-20,2012-06-20,2013-04-26,2014-04-29,2015-04-27,2016-04-28
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA
