...1,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,1304.47,1088.19,1290.6300000000001,2112.67,2983,3554.76,6010.8,4244.1499999999996
　　存放同业和其它金融机构款项,829.12,673.22,914.5,3155.61,3936.9,4186.26,7414.93,2074.81
　　拆出资金,1004.69,1973.13,1507.31,2242,2739.95,3171.34,7083.79,4704.74
　　买入返售金融资产,NA,NA,NA,162.03,NA,NA,NA,NA
　　应收利息,67.13,43.65,33.82,58.94,51.41,59.54,331.99,80.62
　　发放贷款及垫款,8932.2199999999993,7023.85,8428.4599999999991,7824.49,9551,11819.73,18501.23,20289.14
NA,NA,NA,NA,NA,NA,NA,NA,20369.759999999998
　　可供出售金融资产,NA,NA,129.68,181.13,201.75,187.68,90.03,82.2
　　持有至到期投资,68.349999999999994,NA,NA,NA,NA,NA,NA,NA
　　应收款项类投资,NA,NA,NA,NA,680.33,1967.9,3442.3,1814.58
　　固定资产,75.58,71.430000000000007,64.42,56.42,65.73,79.69,100.93,95.52
　　无形资产,22.99,21.73,19.850000000000001,18.600000000000001,17.579999999999998,19.89,51.72,52.01
　　递延所得税资产,1.53,22.92,24.76,23.12,20.48,8.3699999999999992,68.95,77.290000000000006
　　其他资产,69.28,53.4,146.53,53.7,73.180000000000007,110.62,371.83,136.71
资产总计,12375.36,10971.52,12559.97,15888.73,20321.310000000001,25165.8,43468.49,33651.769999999997
负债：,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,2528.0500000000002,2370.66,1024.93,1053.56,1084.74,270.44,147.35,378.58
　　拆入资金,4062.91,1365.64,1396.06,1190.4100000000001,757.25,609.69000000000005,2888.14,3207.45
　　卖出回购金融资产款,200,NA,NA,NA,NA,NA,NA,NA
　　吸收存款,3411.44,5097.8100000000004,7849.51,11222.78,15933.4,21679.46,34539.31,24487.41
NA,NA,NA,NA,NA,NA,NA,NA,28073.439999999999
　　应付职工薪酬,6.14,11,13.75,18.55,17.59,21.74,41.04,32.090000000000003
　　应交税费,7.76,25,16.28,20.73,12.47,13.65,43.52,44.02
　　应付利息,109.36,52.72,61.17,87.2,124.64,136.43,470.38,229.04
　　其他负债,47.82,36.56,116.24,35.01,28.7,41.44,377.95,146.5
　　负债合计,10373.48,8959.39,10477.93,13628.24,17958.79,22772.86,38507.68,28525.09
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,2000,2000,2000,2000,2000,2000,3350,3350
　　资本公积金,-58.68,-58.68,-61.35,-59.55,-59.23,-61.28,963.33,963.33
　　其它综合收益,NA,NA,NA,NA,NA,NA,-0.19,0.79
　　盈余公积金,7.93,8.9600000000000009,16.22,33.880000000000003,44.05,47.3,49.35,65.84
　　未分配利润,52.63,61.85,127.18,152.76,207.31,194.68,165.1,313.5
　　一般风险准备,NA,NA,NA,133.4,170.39,212.23,433.22,433.22
　　归属于母公司所有者权益合计,2001.88,2012.12,2082.04,2260.4899999999998,2362.52,2392.94,4960.8100000000004,5126.68
　　所有者权益合计,2001.88,2012.12,2082.04,2260.4899999999998,2362.52,2392.94,4960.8100000000004,5126.68
负债及股东权益总计,12375.36,10971.52,12559.97,15888.73,20321.310000000001,25165.8,43468.49,33651.769999999997
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,NA,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-04-30,2010-04-30,2011-04-30,2012-05-17,2013-05-21,2014-05-20,2015-05-15,2016-05-12
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA
