...1,2005-12-31,2006-12-31,2007-12-31,2008-12-31,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31
报告期,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,2429.39,3843.28,5893.88,9918.75,8638.64,19283.810000000001,14757.35,16545.98,18496.98,22952.73,25868.61
　　存放同业和其它金融机构款项,566.46,341.31,569.72,215.55,344.1,305.67,1664.52,2228.67,1968.72,1688.69,1387.22
　　拆出资金,NA,NA,NA,75.180000000000007,150.22,162.59,185.92,50,NA,NA,NA
　　交易性金融资产,NA,NA,NA,1106.6199999999999,2480.8000000000002,81.069999999999993,50.24,49.97,425.18,386.96,144.31
　　买入返售金融资产,NA,NA,NA,744.56,4452.8900000000003,3228.79,392.66,360,1816.56,7403.1,5130
　　应收利息,7.3,3.56,2.88,187.46,200.57,286.17,301.86,314.07,385.27,646.1,1043.95
　　发放贷款及垫款,NA,NA,NA,27783.39,33885.230000000003,42629.24,40917.699999999997,45061.03,51431.89,59109.58,66983.58
NA,NA,NA,NA,27970.85,34085.800000000003,42915.409999999996,41219.56,45375.1,51817.159999999996,59755.68,68027.53
　　可供出售金融资产,NA,NA,NA,5865.45,6924.44,7476.48,7628.64,9275.48,8283.0499999999993,9723.42,17491.98
　　持有至到期投资,NA,NA,NA,1503.33,1976.21,6800.2,6451.57,5857.75,5787.4,13843.37,20343.22
　　长期股权投资,NA,NA,NA,NA,NA,609.38,631.38,642.38,756.56,858.6,938.27
　　应收款项类投资,NA,NA,NA,1175.3699999999999,1613.55,2213.02,1834.42,904.66,2244.81,4043.22,11411.63
　　固定资产,165.98,592.71,566.73,610.24,596.03,586.38,535.82000000000005,509.46,497.8,642.44000000000005,662.99
　　无形资产,3.87,13.26,13.68,20.010000000000002,48.47,36.5,27.37,19.57,16.79,16.45,20.6
　　递延所得税资产,NA,NA,NA,137.19,312.61,947.12,788.25,562.55999999999995,597.04999999999995,611.74,632.16999999999996
　　投资性房地产,NA,NA,NA,39.6,47.55,44.43,41.32,38.200000000000003,30.46,28.68,26.91
　　其他资产,NA,NA,NA,145.05000000000001,89.07,1074.71,1030.18,1228.26,1233.6300000000001,884.64,738.92
资产差额(特殊报表科目),NA,NA,NA,16.829999999999998,28.47,40.22,40.18,31.62,31.47,41.56,57.13
资产总计,25123.68,32408.6,37841.19,49544.58,61788.86,85805.77,77279.39,83679.66,94003.63,122881.29,152881.49
负债：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,218.61,938.52,323.32,1509.61,1925.71,1521.49,1244.0999999999999,1204.25,398.06,2105.39,1112.48
　　向中央银行借款,NA,NA,NA,NA,NA,NA,639.39,489.72,1284.51,1,1675.72
　　拆入资金,NA,NA,NA,NA,54.63,39.74,NA,NA,NA,NA,NA
　　交易性金融负债,NA,NA,NA,NA,NA,NA,NA,NA,207,186.73,NA
　　卖出回购金融资产款,NA,NA,NA,619.45000000000005,39,8877.35,4058.08,4194.8999999999996,382.2,9239.5,13155.6
　　吸收存款,NA,NA,NA,43891.47,53660.4,70104.53,65122.85,70401.2,83284.92,101134.93,123327.19
NA,NA,NA,NA,46020.53,55679.740000000005,80543.11,71064.42,76290.069999999992,85556.69,112667.54999999999,139270.99
　　应付职工薪酬,19.62,35.47,32.25,103.2,120.09,181.85,207.26,227.1,386.91,433.45,614.11
　　应交税费,108.67,85.05,96.03,115.42,145.44999999999999,46.24,61.41,50.63,65.56,133.79,298.23
　　应付利息,80.58,106.83,144.88999999999999,270.98,285.77999999999997,425.59,626.08000000000004,690.43,1051.25,1145.77,1407.34
　　应付债券,NA,NA,NA,NA,700,700,700,700,700,997.47,797.39
　　预计负债,NA,NA,NA,45.6,41.84,40.25,39.909999999999997,93.1,NA,53.39,25.05
　　其他负债,NA,NA,NA,318.3,2001.32,242.46,178.94,300.8,241.63,226.07,416.86
　　负债合计,23766.38,30559.46,35845.25,46874.03,58974.22,82179.509999999995,72878.009999999995,78352.13,88002.03,115657.49,142829.98000000001
所有者权益(或股东权益)：,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
　　股本,1157.1600000000001,1500,1500,1668.75,1668.75,2368.75,2368.75,2368.75,2368.75,2368.75,2840.75
　　资本公积金,25.53,80.38,80.38,406.36,150.61000000000001,1542.88,1505.77,1571.65,1621.58,1628.71,2658.39
　　其它综合收益,NA,NA,NA,NA,NA,NA,NA,NA,-311.73,44.05,403.8
　　盈余公积金,94.11,115.03,143.58000000000001,219.77,303.83,184.66,209.11,295.38,403.53,512.02,629.91
　　未分配利润,80.5,153.72,271.98,298.87,332.76,-546.82000000000005,8.16,413.21,1031.42,1412.74,1740.8
　　一般风险准备,NA,NA,NA,76.8,358.7,76.8,286.87,657.01,864.42,1228.97,1685.91
　　归属于母公司所有者权益合计,1357.3,1849.13,1995.94,2670.55,2814.64,3626.26,4378.6499999999996,5306,5977.97,7195.23,9959.57
　　少数股东权益,NA,NA,NA,NA,NA,NA,22.73,21.54,23.63,28.57,91.94
　　所有者权益合计,1357.3,1849.13,1995.94,2670.55,2814.64,3626.26,4401.38,5327.54,6001.6,7223.8,10051.52
负债及股东权益总计,25123.68,32408.6,37841.19,49544.58,61788.86,85805.77,77279.39,83679.66,94003.63,122881.29,152881.49
显示币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1,1,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),NA,标准无保留意见,标准无保留意见,标准无保留意见,保留意见,带强调事项段的无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
原始报表,NA,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2009-12-22,2009-12-22,2009-12-22,2009-04-18,2010-04-29,2013-04-28,2013-04-27,2013-04-28,2015-06-11,2015-06-11,2016-03-26
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
