...1,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-12-31
报告期,年报,年报,年报,年报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表
资产：,NA,NA,NA,NA,NA
　　现金及存放中央银行款项,17531.439999999999,15733.66,28257.33,33337.82,31934.33
　　存放同业和其它金融机构款项,1372.83,30393.040000000001,47491.07,60050.45,37744.019999999997
　　贵金属,NA,NA,NA,NA,NA
　　拆出资金,NA,NA,NA,2000,NA
　　交易性金融资产,NA,39.979999999999997,16786.84,15989.5,15072.28
　　衍生金融资产,NA,NA,NA,NA,NA
　　买入返售金融资产,NA,2671.35,18966.900000000001,18519.490000000002,923.2
　　应收利息,66.59,214.04,1077.25,1119.6099999999999,984.21
　　发放贷款及垫款,15156,19665.5,25131.81,34592.199999999997,46043.88
NA,15222.59,19879.54,26209.06,35711.81,47028.09
　　代理业务资产,NA,NA,NA,NA,NA
　　可供出售金融资产,1088.8900000000001,2263.23,4511.3100000000004,5136.45,4794.6899999999996
　　持有至到期投资,3039.09,1411.36,983.56,5506.64,6364.95
　　长期股权投资,65.040000000000006,40.9,NA,NA,NA
　　应收款项类投资,NA,7930.04,7308.94,7245.37,25294.2
　　固定资产,696.45,756.19,1394.91,1458.27,1437.04
　　无形资产,550.15,538.89,192.61,151.66999999999999,140.28
　　商誉,NA,NA,NA,NA,NA
　　递延所得税资产,135.24,154.44,106.53,195.61,452.23
　　投资性房地产,NA,NA,NA,NA,NA
　　其他资产,824.53,1391.56,810.11,752.28,783.61
资产差额(特殊报表科目),NA,NA,NA,NA,NA
资产差额(合计平衡项目),NA,NA,NA,NA,NA
资产总计,40526.25,83204.160000000003,153019.17000000001,186055.36,171968.91
负债：,NA,NA,NA,NA,NA
　　同业和其它金融机构存放款项,58.68,11091.48,28359.82,39973.949999999997,31033.040000000001
　　向中央银行借款,NA,50,60,141.05000000000001,206.95
　　拆入资金,NA,NA,NA,NA,1500
　　交易性金融负债,NA,NA,NA,NA,NA
　　衍生金融负债,NA,NA,NA,NA,NA
　　卖出回购金融资产款,NA,NA,22869.89,20554.27,4832.1400000000003
　　吸收存款,36019.620000000003,64509.02,93372.97,114094.98,120777.34
NA,36078.300000000003,75650.5,144662.68,174764.25,158349.47
　　应付职工薪酬,30.18,51.84,202.95,256.11,416.51
　　应交税费,112.11,160.22999999999999,162.84,504.49,649.34
　　应付利息,220.78,362.93,1135.3699999999999,1156.68,1335.25
　　代理业务负债,NA,NA,NA,NA,NA
　　应付债券,NA,NA,NA,NA,NA
　　递延所得税负债,5.08,4.5,NA,NA,NA
　　预计负债,6.65,6.11,NA,NA,NA
　　其他负债,975.7,3304.09,493.84,185.31,468.22
　　负债差额(特殊报表科目),NA,NA,NA,NA,NA
　　负债差额(合计平衡项目),NA,NA,NA,NA,NA
　　负债合计,37428.82,79540.2,146657.67000000001,176866.84,161218.79
所有者权益(或股东权益)：,NA,NA,NA,NA,NA
　　股本,3080,3080,3720,4360,4360
　　其它权益工具,NA,NA,NA,NA,NA
　　　　其它权益工具：优先股,NA,NA,NA,NA,NA
　　资本公积金,0.01,12.57,1053.01,1709.28,1638.18
　　减：库存股,NA,NA,NA,NA,NA
　　其它综合收益,NA,NA,NA,NA,NA
　　盈余公积金,1.74,48.6,148.75,318.56,499.95
　　未分配利润,15.68,73.81,906.77,1815.4,2105.71
　　一般风险准备,NA,365,441.44,845.41,1905.47
　　外币报表折算差额,NA,NA,NA,NA,NA
　　未确认的投资损失,NA,NA,NA,NA,NA
　　股东权益差额(特殊报表科目),NA,NA,NA,NA,NA
　　股权权益差额(合计平衡项目),NA,NA,NA,NA,NA
　　归属于母公司所有者权益合计,3097.43,3579.98,6269.96,9048.65,10509.31
　　少数股东权益,NA,83.98,91.54,139.88,240.81
　　所有者权益合计,3097.43,3663.96,6361.5,9188.5300000000007,10750.11
负债及股东权益差额(特殊报表项目),NA,NA,NA,NA,NA
负债及股东权益差额(合计平衡项目),NA,NA,NA,NA,NA
负债及股东权益总计,40526.25,83204.160000000003,153019.17000000001,186055.36,171968.91
显示币种,CNY,CNY,CNY,CNY,CNY
原始币种,CNY,CNY,CNY,CNY,CNY
转换汇率,1,1,1,1,1
利率类型,期末汇率,期末汇率,期末汇率,期末汇率,期末汇率
审计意见(境内),标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见,标准无保留意见
审计意见(境外),NA,NA,NA,NA,NA
原始报表,点击浏览,点击浏览,点击浏览,点击浏览,点击浏览
公告日期,2010-04-30,2011-04-30,2012-04-30,2013-05-22,2014-07-11
数据来源,公司公告值,公司公告值,公司公告值,公司公告值,公司公告值
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
数据来源：Wind资讯,NA,NA,NA,NA,NA
