银行,年份,资产：现金及存放中央银行款项,资产：存放同业和其它金融机构款项,资产：贵金属,资产：拆出资金,资产：交易性金融资产,资产：衍生金融资产,资产：买入返售金融资产,资产：应收利息,资产：发放贷款及垫款,资产：可供出售金融资产,资产：持有至到期投资,资产：长期股权投资,资产：应收款项类投资,资产：固定资产,资产：无形资产,资产：递延所得税资产,资产：投资性房地产,资产：其他资产,资产：资产总计,负债：同业和其它金融机构存放款项,负债：向中央银行借款,负债：拆入资金,负债：衍生金融负债,负债：卖出回购金融资产款,负债：吸收存款,负债：应付职工薪酬,负债：应交税费,负债：应付利息,负债：应付债券,负债：递延所得税负债,负债：预计负债,负债：其他负债,负债：负债差额(特殊报表科目),负债：负债合计,所有者权益：股本,所有者权益：资本公积金,所有者权益：其它综合收益,所有者权益：盈余公积金,所有者权益：未分配利润,所有者权益：一般风险准备,所有者权益：归属于母公司所有者权益合计,所有者权益：少数股东权益,所有者权益：所有者权益合计,所有者权益：负债及股东权益总计,资产差额(特殊报表科目),负债：交易性金融负债,所有者权益：外币报表折算差额,资产：代理业务资产,资产：商誉,资产差额(合计平衡项目),负债：代理业务负债,负债：负债差额(合计平衡项目),所有者权益：其它权益工具,所有者权益：　　其它权益工具：优先股,所有者权益：减：库存股,所有者权益：未确认的投资损失,所有者权益：股东权益差额(特殊报表科目),所有者权益：股权权益差额(合计平衡项目),负债及股东权益差额(特殊报表项目),负债及股东权益差额(合计平衡项目),资产：　　拆出资金,负债：　　向中央银行借款,负债：　　拆入资金,负债：　　卖出回购金融资产款,其它综合收益
上海农商银行,2005,10124.14,7172.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680.65,4524.84,NA,NA,NA,127416.88,996.78,NA,NA,NA,7947.12,NA,39.72,70.81,NA,NA,NA,697.71,NA,NA,121263.35,3000.29,NA,NA,213.33,327.57,2612.33,6153.53,NA,6153.53,127416.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2006,13664.27,1668.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737.6,4436.8599999999997,NA,NA,NA,136149.32,1050.46,NA,NA,NA,400,NA,155.06,82.96,NA,NA,NA,745.94,NA,NA,129662.36,3000.29,4.51,NA,278.85000000000002,585.49,2617.8200000000002,6486.96,NA,6486.96,136149.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2007,22746.05,3481.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4328.13,NA,NA,NA,157472.75,3053.56,NA,NA,NA,NA,NA,NA,235.14,NA,NA,NA,1662.45,NA,NA,148846.21,3745.69,1241.92,NA,377.24,638.38,2623.3,8626.5400000000009,NA,8626.5400000000009,157472.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2008,25943.18,5217.9799999999996,NA,NA,NA,NA,5767.73,NA,NA,NA,NA,NA,NA,851.92,4248.13,NA,NA,NA,173327.35,405.4,NA,NA,NA,142.18,NA,87.82,41.68,NA,NA,NA,1443.07,NA,NA,161684.23000000001,3745.69,1241.92,NA,731.59,3287.4,2636.51,11643.11,NA,11643.11,173327.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2009,31294.37,3178.79,NA,NA,129.28,NA,10515.16,828.63,116579.76,10472.02,26740.28,547.45000000000005,3222.71,3029.67,NA,717.26,4138.01,856.97,212250.36,224.27,NA,NA,NA,6523,179234.05,98.97,672.69,2870.53,1500,134.88,262.14,6959.97,700.97,199181.48,3745.69,1563.57,NA,873.71,4213.5600000000004,2625.54,13022.07,46.81,13068.88,212250.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2010,43887.93,5597,1.78,86.09,47.43,NA,9904.7099999999991,733.03,138785.60000000001,16740.73,28973.7,467.19,2616.5700000000002,3186.7,NA,516.4,NA,556.04999999999995,252100.92,1057.99,NA,100,NA,5273.88,211834.3,324.5,788.03,3319.69,1500,NA,249.12,3938.74,488.86,228875.11,5000,8577.4599999999991,NA,3738.25,3231.53,2625.54,23172.78,53.03,23225.81,252100.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2011,52107.21,13659.94,9.81,4063.01,438.5,NA,19106.29,1097.0999999999999,162279.88,14290.74,34306.57,361.59,1464.51,4750.54,NA,1389.96,NA,601.41999999999996,309927.08,10025.39,NA,8051.82,NA,10067.26,247548.15,682.91,1205.46,3853.45,1500,NA,319.33999999999997,467.46,1139.5,284860.74,5000,7552.35,NA,4260.17,5554.8,2625.54,24992.86,73.48,25066.35,309927.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2012,60674.25,14540.33,2.97,1251.42,3523.84,NA,18663.46,1434.51,189902.58,26242.99,36222.79,357.16,187.71,5884.11,NA,1440.17,NA,1640.13,361968.42,8918.8799999999992,165,6364.39,NA,6470,292100.21999999997,1109.75,880.8,5832.17,6500,NA,343.88,765.79,2917.47,332368.34999999998,5000,8177.07,NA,5099.3500000000004,7840.04,2625.54,28742,858.07,29600.07,361968.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2013,74649.58,9106.02,2.88,5281.19,757.27,1.87,17029.63,1717.34,223021.02,30268.21,44260.45,358.42,5126.4399999999996,5920.4,NA,1638.91,NA,1752.68,420892.31,8919.7999999999993,1149,2044.65,1.02,8485.0499999999993,347891.1,899.23,653.47,6898.98,6500,NA,361.35,548.74,3551.31,387903.69,5000,7738.2,NA,6136.03,9415.99,3578.03,31868.25,1120.3699999999999,32988.620000000003,420892.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2014,77687.460000000006,11117.22,50.73,16401.84,2925.32,8.58,11315.92,1996.36,252017.63,51385.91,40420.57,354.14,9791.83,6687.42,NA,1721.16,NA,1421.11,485303.18,9145.9599999999991,2169,1902.87,17.670000000000002,18569.53,395507.55,1635.74,1032.49,8293.83,7955.16,NA,NA,929.86,NA,447159.67,5000,8111.06,493.46,7404.87,11904.94,3968.46,36882.79,1260.72,38143.51,485303.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海农商银行,2015,71054.78,12363.96,625.65,20096.28,1757.09,225.39,16693.63,2536.7199999999998,289035.45,95619.56,56809.69,581.42999999999995,9711.85,6675.53,NA,1770.2,NA,1456.32,587013.54,48693.93,3434.5,1382.7,42.67,21903.57,450368.33,1931.08,1001.9,9771.57,3968.32,NA,NA,1188.5,NA,543687.06999999995,5000,8111.06,777.13,8941.61,13886.01,5184.17,41899.980000000003,1426.5,43326.48,587013.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2005,21301.61,4257.9399999999996,1.34,5427.79,15419.86,NA,12950.18,955.73,118168.01,6978.5,46356.88,NA,1822.69,1815.27,137.26,777.82,NA,1041.67,237662.66,23194.01,NA,NA,NA,13262.07,184784.58,105.37,22.69,907.91,3000,NA,70,1998.07,NA,227344.69,2600,1376.43,NA,3267.03,3074.52,NA,10317.969999999999,NA,10317.969999999999,237662.66,250.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2006,34681.39,1192.58,248.99,8715.31,14953.14,NA,8525.5300000000007,1278.54,121188.43,11227.7,55407.31,NA,1436.17,2030.44,134.07,513.99,NA,1122.81,262902.62,29238.26,NA,850.76,NA,13738.62,200368.85,138.37,93.76,1244.9100000000001,3000,NA,57,1831,NA,250561.52,2600,1327.71,NA,3589.31,3334.08,1490,12341.1,NA,12341.1,262902.62,246.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2007,41276.33,4657.18,644.80999999999995,13897.68,7917.84,65.22,15996.05,1738.29,145879.67000000001,26978.04,41688.410000000003,NA,3719.29,2381.4699999999998,210.51,558.83000000000004,157.61000000000001,944.81,308986.01,38242.519999999997,NA,2074.66,57.84,25100.53,220888.8,261.27999999999997,759.79,1603.94,3000,NA,49.5,2185.7800000000002,NA,294224.65000000002,2600,1125.6400000000001,NA,3627.03,4718.7,2690,14761.36,NA,14761.36,308986.01,273.97000000000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2008,64957.04,4202.68,42.78,13503.91,6770.15,151.81,9937.9500000000007,2149.94,172626.38,39423.68,45640.87,NA,3247.04,3120.33,213.24,612.55999999999995,152.81,731.08,367735.97,36340.74,NA,5166.62,185.44,32457.29,266363.07,496.83,547.12,2534.06,3000,NA,115.71,1688.99,NA,348895.86,2600,2517.25,NA,4709.21,5273.66,3740,18840.11,NA,18840.11,367735.97,251.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2009,74910.289999999994,12163.96,5.61,11960.04,5453.03,17.59,2614,1752.62,238136,44222.57,64112.72,NA,5118.8999999999996,3070.67,259.22000000000003,1037.83,147.63999999999999,598.79,466038.95,80298.02,NA,9603.5499999999993,15.69,6325,333420.87,496.78,529.75,2723.23,8000,NA,126.39,2987.57,NA,444526.86,2600,1956.37,NA,5632.35,7123.37,4200,21512.09,NA,21512.09,466038.95,457.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2010,93142.25,1286.58,NA,9346.85,2905.89,32.049999999999997,22007.3,1900.26,290088.26,43201.65,80652.539999999994,NA,14713.17,3233.53,272.64,1510.1,142.82,1881.43,566775.19999999995,75280.600000000006,NA,12548.56,51.78,27885,409522.28,558.27,826.77,3598.43,5000,NA,74.64,1941.78,NA,537288.11,4234,3659.21,NA,6719.21,10114.67,4760,29487.09,NA,29487.09,566775.19999999995,457.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2011,107011.86,36781.08,NA,29791.34,6306.91,47.2,9997.06,2679.95,325523.45,46689.67,73610.73,NA,6330.19,3551,298.14999999999998,1493.37,NA,5688.06,655800.01,89699.69,NA,16497.16,37.65,29015.22,466764.06,786.75,714.01,4892,10000,NA,NA,2117.04,NA,620523.59,4234,4003.06,NA,8227.66,12734.3,5930,35129.01,147.41,35276.42,655800.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
上海银行,2012,105809.18,142401.23000000001,NA,15215.91,4848.66,182.5,8323.9699999999993,4815.54,381217.51,61539.88,67415.44,NA,17031.32,3851.41,321.37,1750.09,NA,2179.96,816903.95,160002.73000000001,40,15169.19,196.62,30195.200000000001,545031.71,1167.1300000000001,1118.24,7422.97,12219.16,NA,NA,2069.39,NA,774632.33,4234,3869.55,NA,9969.3799999999992,16651.060000000001,7230,41953.98,317.64,42271.62,816903.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
